,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.692254217521245,-0.0793413651436995,0,0.0180303185039096,0,0,0.0566567700503337,0.0252633920897533,0,0.0318421740187536,0.0404141878691638,0,0,0,0,-0.090473179027676
ETH,0,0,0.0977090491268159,0,0.161774600052183,0,0.0473800069263506,0.0747343483189283,0,0,0.00813837341362829,0,0,0.0346779812746563,0,0,0,0,0,0
XRP,-0.212982852730078,0.188461329635248,0,0,0,0,0,0.0779004243121522,0.408824558231474,0,0.0585303613578973,-0.0511838192775889,0,0.00398897778456985,0,0,0,0,0,0.385779943222056
BCH,0,0,-0.0566569054095022,0,0.178486947206074,0,-0.147668729233367,0.254333385341783,0,0.267477669619804,-0.0964985533506801,-0.141843191479006,0.116170765178979,0,-8.67361737988404e-19,0,1.30960425895931,0,0,0
LTC,0.12184985547045,0,0.0489792969504321,0,0,0.231066885740997,0,0.19647927010304,0.0569633525437382,0.258554618538993,-0.0157700983741957,0,0,0,-0.0282491899363287,0,0,0,0,0
DASH,0,0,0.0399775267459909,0.290802532140371,0.0696819217368545,0,0,0.0487235839770922,0,0,0,0,0,0.07028142078399,0.0437539293124882,0,0,0,0,0
XEM,0,0,-0.19852965766845,0,0,0,0,0.0527819953241339,0,0,0.0823070238721059,0,1.38777878078145e-17,0.124605978967648,0,0,0,0,0,0
NEO,0,0.163011779290426,0.0293871159920385,0.199085217206021,0,0,0,0,0,0.660929622964274,0.424272731787712,0.168712194025491,0,0.322872178939592,-0.231969077687037,0,0,0,0,0
XMR,0,0,0.0838176951192773,0,0.184125589095107,0,0,0.122735528705424,0,0,0,0,0.0891556325983588,0.0225172324305682,-0.0354375234249968,0,0,0,0,0.0773987917524863
ETC,0,0,0,0.106389274160866,0.341301827907003,0,0,0.00463678417375123,0,0,0.0663032470484746,-0.0630710143837416,0.0394802031732244,0,0.0569022953795299,0,0,0,0,0
MIOTA,0,0,0.141088712968513,0,-0.405008432880922,0,0.43929955840545,0.139435359121131,0.855296938162504,-0.507141990869436,0,0.033390633337698,0.235150562886944,-0.0806572311444092,0.141358678060482,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,-0.218776493366886,0.578066294431881,-0.111130345382106,0,0,-0.129370030523983,0,0,0,-0.06942136790992,0,0.0651578188475145,0.36170980465752,0,0,0,0,0.319436443899452
XLM,0,0,0,0,0,0,0,0.242231817299987,0,0,0.19350734048392,0,0,0,0,0,0,0,0,0
EOS,0,0,0.135424942725908,0,0.253596054507445,0,0.0121015661685744,0,0,0,0.142628060869924,-0.0183358879409043,0.312363551732096,0,0,0,0,0,0,0
BV010082.Index,0,-0.0242933296996247,-0.0254917845581874,0,0.0338570911860149,-0.0507449056416187,-0.0280406309004091,0,0,0,0,0,-0.0524720394333529,0.0411297713385792,0.0661605251637518,0,0,0,0,0
CVIX.Index,0.0645537959857083,0,0.0649652356293159,0.279585898347233,0.0168302146478076,-0.221321191281855,0.100312651585392,-0.0704797984453085,0,-0.178350531236462,0,0.0373316687036764,-0.0239346116160609,0,-0.016519845499297,0,0,0,0,0.0524826076784516
DXY.Curncy,0,0,-0.00317855388959374,0,0,-0.0507293667934414,0,0.000551235739468346,0,0.0327818154121829,0,-0.0220499880154395,0,-0.00098963465194163,0.017378995787143,0,0,0,0,0.0138668387721103
SPX.Index,0,0,-1.10193221365843e-06,0,0,0,0,0,0,0,0,0,-0.000121754864946108,0,0,0,0,0,0,-0.0263812160031493
VIX.Index,0,0,0.105038933593411,0,0,0,0,0.0262991838999326,0,0,0,0,0,0,-0.0476283066034777,0,0,0,0,0
