,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.117032427630243,0,0,0,0.183766805097221,0.16204582627817,0.0208098581958341,0.038310870323652,-0.00222143182934961,0,0,0,0,0,-0.0154349512264884,0,0,0,2.71050543121376e-20
ETH,0,0,0.204595280049382,0.284588842626837,0.137797315867684,0.306640672172107,0,0,0.0559614012402955,0,-8.67361737988404e-19,0,0,0,0.00574554100542581,0,0,0,0,0.0230449632035221
XRP,0.419428676823156,0.0798592325748525,0,0.0894123093411929,0,0.190512682836028,0,0.0131908477812836,0.104942429324567,0.00519681997475598,0.0391578969756581,0,0,0,0.0795253338773491,-0.0134252479325931,0,0,0,0
BCH,0,0.029434537449382,0,0,0.262714149812071,0.413611352355772,0.111015996464994,0.186987393941101,0,-0.0023359496768872,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0206408714609283
BSV,0,0,0,0.90478902373932,0,0,0,0,-0.0699540149853435,-0.000847276366669816,0,0,0,0,0,0,0.0592721610178925,0,0,-0.0307812966808276
LTC,0,0.0785191449868287,0,0,0.0855953461960419,0,0.270819517059596,0,0,-0.00460778373164853,-0.0368903245663592,0,0,0,0.548164849818999,-0.012667684957766,0.0764670216896174,0,0,-0.063127616913686
EOS,0.17801805757153,0,0,0.288098811336005,0,0.00247157727699626,0,0.261174672623508,-0.216939854196185,0,-0.0893721558825835,0,0,0,0.612196679303135,-0.0963030122973758,0.0683925060179019,0,0,-0.0388425648840946
BNB,0,0.245832822011056,0,0.450822234413192,0,0,0,0,0.073092253781496,-0.00343325139732586,0.125421903883946,0,0,0,0,-0.218591161031426,0,0,0,-0.0160342682462966
XTZ,0,0.478283058643577,0,0,0.0236558849391411,-0.620706817132596,0,0,0,-0.00909925819969171,0.148471921280823,0,0.969319818611296,0.243586410858753,0,-0.114756011667075,-0.0512198284262858,0,-0.773606319563384,-0.157990240060511
INNBCL,0,0,0,0,0,0,0,0,-3.85906146881524,0,-5.15320710013455,-1.56104503850534,0,0,0,-1.65421755956008,0,0,0,-1.56399497602144
LINK,0,0,0,0,0,0,0,0,0.337988667905815,-0.0100628398095014,0,0,0,0,0.186563382293004,0,-0.073787348764016,0,0,-0.0965131206906566
ADA,0,0,0,0,0,0.22909560328894,0.0985876467742116,0,0,-0.00964117696736781,-0.0299874047191231,0,0,0,0.415204735566771,0,0,0,0,-0.0451451314114601
XLM,0,0,0,0.299117847678519,-3.46944695195361e-18,0.323342882934407,0,0,0.140170355275802,-0.0102291969832877,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0.0311900448933785,0,-0.0451758584358031,0.237694107159667,0.0131971998734992,0.0031546947414544,0.128323360866067,0,0,0,-0.293261251403105,0,-0.0843154505532173,0,0,-0.0274764636772699
TRX,0,0,0,0,0.129843329850304,0.277645975875515,0.232153644598513,0,-2.16840434497101e-19,0.00107199028877294,0.128752247243353,0.387100661855421,0,0,0,0,-0.0117551765435281,0,0,0.0807878667378871
BV010082.Index,0,0.588401033163698,0,0,0.950415096442813,0.634997239815872,0,-1.83394217005349,-0.166837004442954,-0.0153975926093126,0.556539413043229,0,0,0,-0.97204752579153,0,-0.0999997729401751,0,0,0
CVIX.Index,0,0,0,0,0.221529815376733,0,0,0,-0.405819986597588,-0.0125302564317727,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.0172218780273568,0.0436669497081878,-0.00189667969692849,0,-0.0330044347332248,0,-0.00180734688586376,-0.0239594936841522,0,0,0,0,0.00339293939043487,-0.0340153701664145,0,0,-0.00196135823034393
SPX.Index,0,0,0,0,0.0234990956504379,0.0753142382832448,1.73472347597681e-18,0,-0.083967131913196,-0.00117930966184864,0,0,0,0,0,0.010533834648436,0,0,0,-0.130555373335432
VIX.Index,0,0,0,0,0,0,0,0,0,0,-0.0467322729733462,0,0,0,0,0,0,0,-3.28981325025394,0
