,BTC,ETH,XRP,BCH,LTC,EOS,ADA,NEO,XLM,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.064286254575665,0,0,0,0.206679139404825,0.230401299748065,0.124163914609781,0.0310119861005997,0.0519104822280373,0,0,0,0,0,0.0349251152713845
ETH,0,0,0.111403726662371,0.0818341801821192,0,0.032596450184659,0,0,0,0,0.290731905567901,0.174923264050206,0,0.0611887249745515,0,0,0,0,0,0
XRP,0,0.0152380622001634,0,0.209370294040221,0,0.0288234245897126,0.0717993487218348,0.514255309781609,0,0.0535905816812771,0,0,-0.29137850813062,0.0130243241774783,0.197830785203248,0,0,0,0,-0.00353761366924277
BCH,0,0,0,0,0.39629032660207,0,0,0,0,0,0,-4.33680868994202e-19,0.488063804829157,-0.0567324287780241,0.0266659689397362,0,0,0,0,-0.0941072598878637
LTC,0,0,0,0.0987397711378429,0,0.0764439099745414,0,0,2.16840434497101e-19,-0.0546845862626675,0.341220040704588,0.216465468343273,0,0.0240514519215987,0.0248179974910787,0,0,0,0,0.0721109002989485
EOS,0.59737782035832,0,0.394165209382436,0,0,0,0.174625942310239,0,-0.217745467971405,-0.0397835640859456,0,0,0,0,0,0,0,0,0,-0.0647833446722884
ADA,0,0.227521052502673,0,0,0,0.556115650712312,0,0,0.334578460229762,0.127272857722162,0,0.12264709172305,0.0649504302409652,0.0967741141982039,0,0,0,0,0,-0.149467037004717
NEO,0,0,0,0,0,0,0.179016292979641,0,0.232637453653957,0.0788421754344992,0,0.139155635625634,0.122516575412748,0,0.157445970910413,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.732490855025049,0,0,0,0,0,0.114645125884204,0,0,0,0,0,0
MIOTA,0,0,0,0.115003955544084,0,0,0.0275580513701156,0,0.223020085769004,0,0.00687519557072538,0.0981244960670878,0.452361043521365,0,0,0,0,0,0,0
DASH,0.415182646832546,0.330431218607217,0,0.214310810611914,0.135485891302469,-0.166660314354513,0.208789837502673,0,0,0,0,0,0.0280835116255606,0,0,0,0.145487449745733,0,0,0
XMR,0.368011301343001,0.775267688218613,0,0,0.0616825255722181,-0.212898623862742,0.179382183707866,0.528834729295624,0.014605198614658,0,0,0,0,-0.36192549395137,-0.110426550316027,0,0,0,0,0
TRX,0,0,-0.0120740711438245,0.301696874659651,0,0.0790571290953168,0,0.363711939174629,-0.342143228820524,0.288782928667422,0.253285991604402,0,0,0.0619472179403433,0,0,0,0,0,0.129562728136608
XEM,0.269272143392443,0,-0.303702236827457,0,0.121123409427257,-0.497691724888546,0.448595355759882,0,0.637856871380423,-0.0369954503863813,0.482407173259779,-0.800064504141632,0,0,0.613032940523261,0,-2.79561345894373,0,0,0
ETC,0,0,0.48338913331062,0,0,0.134614764675128,0.100283994340907,0.175029634129316,0,0.185913244156572,0,-0.262315803209486,0.203767958538134,0,0,0,0,0,0,-0.0103156760075387
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.042138524927286,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0451886344631379,0.022320236310186,0,0,0.127787523251201,0.0705307818142656,-0.118761028505466,0,-0.0458903532252354,0,0,0,0,0,0
DXY.Curncy,0,0,0.0199584288171514,0,0,0.00587051049851918,0,0,-0.0265710582862557,0,0.0159339594395184,0,0,0,0,0,0,0,0,0
SPX.Index,-0.0593822659073608,0,0.0189239416210122,0,0,-0.0167829202179978,0.0226513018136476,0,0,0.0267602540830988,0,0,2.16840434497101e-19,0.0039261517760692,0,0,0,0,0,-0.0756442585549455
VIX.Index,0,-0.108243608879579,0,-0.432318728989403,0,0,0,0,-0.20428863348374,0,0,0,0.724576704409156,0.0202877725566432,0,0,0,0,-5.22570214712884,0
