,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,XEM,NEO,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.110068619948815,-0.0701447072787211,0.00713755214311462,0.369634718139984,0.0145566863455338,0.067466041796051,0,0,-0.0396056714783851,0,0.0743705656923601,0,0,0,0,0,0,0
ETH,0,0,0.0455765716676237,0,0,0,0.0106127769036903,-0.00907672847366203,-0.216006012194839,-0.146033317691,0.670785029018171,0.0994267917651225,-0.0975212883528467,0.0178758192700415,-0.011161847532117,0,0,0,0,0
BCH,0,0,0,0,0.169513453340845,-1.03885600383997,0.13194951346654,0.0136298888445431,-0.00856123828041453,0,0,0.808048461187431,0.722741460474686,0,0,0,0,0,0,0
XRP,0,0.114651992173087,0.0689907296285688,0,-0.180162298685605,0,0,0,0.116694100072967,0.409596643538092,0.0566790313969798,0.135896032578904,0,-0.0378727273080434,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.229114474290018,0.36898144185775,-0.173874956280593,0,0.0280350981105129,0,-0.00744842025693421,0,0,0.143712278849421,0,0.362856005176209,0.0542479295736806,-0.0225142036605189,0,0,0,0,0,0
BTG,0,0,0.835493835212145,0,0.138833499713383,0,0,0.159795804605483,8.67361737988404e-19,0,0,0,0,0,-0.225717450061023,0,0,0,0,0.963914570354295
MIOTA,0,0,0,0,0,0,0,0,0.208911614621488,0,0,0,0,0,0.36963408036812,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0805246760226728,0.15397158229442,0,0,0.293516059005677,0,0,0,0.380399870209671,0,0,0,0,0
XMR,0,0,-0.0470448072058924,0.231624997962019,0.199705372265764,0,0.0128285267886475,0,0,0,0.114623840460155,0,0.202339630287243,-0.224062235475227,0.350774966748991,0,0,0,0,-0.11329358452594
ETC,0,0.515687642058937,0.023961550875728,0,-0.0950413991924572,0,0.0630331184875083,0,0.304271801663904,0,0,0.179301642171264,0.206455877667053,0.0430663630947373,0.18326936560118,0,0,0,0,0
XEM,0,0,0,0,0,0.322693232504424,0.00653087254499,0.0347328986383791,0.0288227326962926,0.057082527075742,0.173271218855922,0,0.0153088688003789,0,0,0,0,0,0,0
NEO,0.503679971144148,0,0.272253509326586,0,0,0.566164697727433,-0.163032973570657,0,-0.0899833572374536,0.137364518035862,1.38777878078145e-17,0,0,0.0559206301784438,0.0723135821525146,0,0,0,0,0
EOS,0,0,0,-0.124346982939673,0.0542493445486025,0,-0.0754928182587552,-0.226121268432698,-0.0550694975933409,-0.787569325135165,0,0,0.384155701919772,0,0.823788651943584,0,0,0,0,0
XLM,0.324781803051287,0,0.0878668899756172,-6.93889390390723e-18,0,0.286957055899312,-0.0883117423092129,0.0596689375316619,0.31791954221239,0,0.159379330528466,0,-0.0140772261883266,0.419787558799521,0,0,0,0,0,0
BV010082.Index,0.046176049741074,0,-0.0428698555918402,0,0.0370628562940341,-0.0363014010438197,0,0,0.000561358559946627,0,0,-0.00671667395156138,0.0768866542324717,-2.16840434497101e-19,0,0,0,0,0,-0.0281162912312425
CVIX.Index,0,0,0,0.0198417661867088,0,0,-0.0109137266317682,0.031350858858532,-0.0416041506265432,0,0,0,-0.0328180503289905,0.0181224291981096,0.0474095587767945,0,0,0,0,0.142012416212622
DXY.Curncy,0,0,-0.0280551983606709,-0.00678871519547841,0,-0.0521729742571241,0,-0.00826235929621568,0,0,0.0177097780207298,0,0.00959750846644346,-0.00669826707373946,0.00721707102190677,0,0,0,0,-0.00894129028321537
SPX.Index,0,0,0.00270379519030286,0,0,0,0,0,0,0,0,0,0,0,0.00386239198095443,0,0,0,0,-0.0317753864889162
VIX.Index,0,0,0,0,0,0.118982176600431,0,0.0441591298917372,0.0231233491656393,-0.388180605814922,0,0.276974919835171,-0.157712089707332,0.112512850546222,0,0,0,0,0,0
