,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0.250779234241255,0,0,0,0,0,0,0
ETH,0,0,0,0.0707998754582308,0.391420154916002,0,-0.00453413698572275,0,-0.0242713157776503,0.244104865000075,0,0.10665201257162,-0.148301307598075,0.180398373903365,0,0,0,0,0,0
BCH,-0.107255540373261,0,0,0,-0.040679566158001,0,0,0.244316594628971,0,0.227150251780648,0.731058894935731,0,-0.194828090769638,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.139149845663266,0,0,0,0,0,0,0,0,0,0,0
LTC,0.119653012011264,0.360502940635868,-0.16072529042032,-0.0581602086792515,0,0,0.12052249833053,0,0.191972605640813,0,0,0,0,0.0372601541519271,0,0,0,0,0,0
ADA,0,0,0,0.139202959460433,0.0885114949908813,0,0,0,0.111121902754715,0,0,0.142873183308746,0,0,0,0,0,0,0,0
MIOTA,0.398923624491367,0,0,-0.031088544428553,0.126873992454791,-0.312271741015148,0,0,0.208444451041533,0,0,0,0.505795963671953,0,0.53114176305202,0,0,0,0,0
DASH,0,0,0.00416617722772611,0,0.214138149019717,0.0922598206221109,8.67361737988404e-19,0,0,0.148497860695513,0.263718926097741,0,0,0,0.0275270652462213,0,0,0,0,0
XEM,-0.252772564379062,0.117419778754178,0,0.0749996087495287,0,0.236357542136644,0.1729132292017,0,0,0,0,0,0,0,0.242563324630264,0,0,0,0,0
XMR,0.213526220359055,0,0.116135559408166,-0.00556338331779533,0,0,0,0.278901783578186,-0.00949074962449783,0,0,0.0576289556266763,0.0750932894903127,0.193205174835209,0,0,0,0,0,0
BTG,0.0436619089500705,0,0.515955722155643,0.0197373816310701,0,0.0436502182962593,0.0447789885776939,0,0,0,0,0.102627442271151,0,0.129022462891887,0.134360372327111,0,0,0,0,0
EOS,0.192663053590267,0,0.41247130623215,0,0.239333806834754,0.0471375713572514,0.00568993409523403,-0.205589675984968,0,0,0,0,0.479136088634488,-0.212701912043035,0.300456246100548,0,0,0,0,0
XLM,-0.318934695839271,-0.0191126948664265,-0.363159556842546,0.0580813619929569,0.0700524474587098,0.349347130836104,0.251958778873891,0,-0.0154630314524033,0.655812516753812,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0750334431297676,0.12231176816731,0.0895920194398291,0,0.0935453114360848,0,0,0.36985602511201,0,0,0,0.110419754419,0,0,0,0,0
ETC,0,0.146260532894023,0,0.0138439584995476,0,0.113837095791927,0.0526212445830445,0,0.116675153627685,0,0.116333634558818,0.0514611490730344,0,0,0,0,0,0,0,0
BV010082.Index,-0.0488566646158129,0,0,0,0,-0.0557168447042211,0.00261112461010746,0,0.00221317927978431,0,0,0,0.0448624885534636,-0.0220822036843809,0,0,0,0,0,0
CVIX.Index,0.00721576952590215,0,0,0.0246962137379125,-0.0370065413321781,0.00458328516760774,0.0125513657338722,0.0245040638125433,0.024798597133359,0.0629258111566335,0,-0.0302046252710728,-0.00108078131396888,1.73472347597681e-18,-0.127169565806016,0,0,0,0,-0.121776570133691
DXY.Curncy,0.00543263288611144,0.00304679778588034,0,-0.00535235005314572,0.00115276842844362,-0.00121694596880131,0.00201624255889608,0,0.000863195762142318,0.00429383316487914,-0.00666015175205297,-0.00383448135395601,0,0,0.00200284773486255,0.0248904796617982,0,0,0,-0.029274495836161
SPX.Index,-0.00712854801518664,0.00393133660566714,0,-0.00165083523821693,0.00326444335743023,0.0108056651443484,0.00196058192692576,0,-0.0033245172329954,0,0,0.00691105639047838,-0.0171189750916079,0,0,0,0,0,0,-0.0494970638814447
VIX.Index,-0.0778542033901978,0.0352920595681058,0.127528758647992,0.104355581294773,-0.124996364001266,-0.0670755649668432,0,-0.205442618155673,-0.0257843670192858,0.321719362892606,0,0.0567974057276993,-0.098292974448988,0.137789782422972,-0.184349440581658,0,0,0,0,0
