,BTC,ETH,XRP,XEM,ETC,LTC,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,-0.123107497164066,0,0.514079268070015,-0.0108522552089016,0.0254334880692699,0,0.0616558197937616,0.0122926112559585,0.0829710129789576,0,0,0,0,0
ETH,0.460058294196802,0,-0.035183925483943,-0.195599135227963,0.406313876174064,0,0,0,0.0655209340710237,0.101332710192603,0,0,0,0.127516109794507,0,0,0,0,0,0
XRP,0,0,0,0,-0.580530682161871,0,0.56987183133042,0.184910755036167,-0.162839296044032,0.0956505262765963,0.45188407272185,-0.0403931121056028,-0.0862839772291876,0.146880826218697,-0.0202270326289315,0,0,0,0,0
XEM,0,-0.102488661319876,0.296212344808406,0,0,0.124899106285117,0,0,0.211839709628864,0,0,0.415208533489908,-0.0924355478469392,0.0680806403594867,0.106934119126544,0,0,0,0,0
ETC,0,0,-0.647570446952249,0,0,0.947097737805077,0.373887095284811,0.234956870998893,0,0.0940691173025463,0.0266477122565298,-0.57410942954065,0.0163824639991748,0.0963906618109802,-0.092905205380568,0,0,0,0,0
LTC,0,0.130261108189412,0.159870252417001,0.193946240170031,0.0846834612942733,0,0,-0.257020434562623,0,0.134989949432636,0.0403045269244205,0.521872671114795,-0.0113971178764724,-0.17729787625339,0.162771575801583,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.336968574969073,0,0,0,0.0865440987067372,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.12902399934535,0.454714235019138,0,0,0,0.214997904658303,0,0.0576437236721461,0,0,0,0,0,0,0
ZEC,0.33341656870715,0.197941446921874,0,-0.129287617761922,0,0.260861238419417,0,0,0.00664284967288544,0,0.0996637045373788,0,-0.0679521563575568,0.0641114649082045,0.171133792829527,0,0,0,0,0
XLM,0,-0.00858527563388951,0.540780222180372,0,0,0,0,0,0.488433958193644,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,-0.023663824299201,0.255619816723575,0,0.643323453638575,0,0,0.0430406148878444,-0.0979584203681323,-0.218087236118798,0,0.130150961741584,-0.00935607978090114,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,-0.620814804788142,0.822868504989555,0.469142010338064,0,0.232027870188777,0.319737413107914,0,0,0,0,0
BAT,-0.51675487601651,0,0.520036524796873,0.144921874316197,0.14474538867373,-1.77958263887668,0,-0.855901269170838,0,0,-0.228132468714434,1.42359090804359,0.0295792126646286,0,0.214882503966008,0,0,0,0,1.37980648380706
NEO,-0.0173672918567256,0,0,0,1.06941185658448,0.555569664349258,-0.618912761369309,-0.282089495398751,0,0.0666765772421365,0,0,0.139507994773585,-0.126844498696633,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.02487101254682,0,0,0,0,-0.00328424592152371,0,0.0102152690986944,0,0,0,0,0
CVIX.Index,-0.0335564728350696,0.10256037129957,0,0,0.0156169025866581,0.287649034305832,-0.0665456164191303,-0.0441102667322752,0,-0.0669337746056617,0.0170016609316099,-0.0620711923759499,0,-0.00555060012356918,-0.096948019111982,0,0,0,0,0
DXY.Curncy,0,0.0085965081240704,-0.0045633715671026,0,0,0,0,0,0.00918018063029128,0,0,0,-0.00835959059377399,0.0012136623715326,0.0014956427591782,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0.00162436592255014,0,0,-0.00107884227382894,0.000875152997238408,0,0,-0.000621517291625206,0,0,0,0,-0.0145313160262971
VIX.Index,0,0,0,0,0,0,0,0,0,0,0.0435763034234478,0,0,0,0,0,0,0,0,0
