,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.01934556857799,-0.297802339459408,0,0,-0.256733660599141,-0.0967930719818971,0,-0.325382416547031,0,0,0.2957974642101,0.282134513373046,0.0774292226580996,0,0,0,0,0
ETH,-0.174983796431343,0,-0.0399576904856364,0.327728174046092,0,0,0.0413918807594382,0,0.16437474080486,-0.0545425730097813,0,0.166520891881785,0.128914841748863,0.0296524489727539,0.00819072055768076,0,-0.482896156699671,0,0,-0.0617789049010136
BCH,0,0,0,0,-0.488619806284855,0,0.169807673996939,-0.40675047519331,0,0,2.25305733260516,0,-0.134114229447003,0.0971316895761169,0.00455710080297459,0,0.121043537422928,0,0,-0.275616845274126
XRP,0,0.658599370954741,0,0,0,0,-0.0864702019924695,0,0,-0.0319800640140596,0,0,0,0.0222664712565365,-0.00334676594076967,0,0,0,0,0
LTC,0,0,0,0.128412277402102,0,-0.152669004991415,-0.359880574590331,0.362726509116104,0,0,0.212807122817175,0.0762749393729855,-0.0283586952685644,0,-0.0385717146588255,-1.07042177023232,0,0,0,0.210130294921679
DASH,0,0,-0.103522775031866,-0.0236960997811763,0,0,0.0199780649991939,0,0.235761362692999,0.270418999969805,0,0.137102751773592,0.0234716087281598,0.0984374869564894,-0.0389868332980418,0,0,0,0,-0.18805247687808
NEO,-0.812287780619172,0,0.0758546634075212,-0.18846926023617,-0.174023679268951,0,0,-0.0550414182294126,0,0,0,0.380754145136809,0.320997037009053,0.283613344896062,0.105687146187315,0,0,0,0,0.105354385027672
XEM,-0.432331906248556,0,0,0.122480721670535,0.251206802340307,0,0,0,0,0.0411401914415254,0.73900506163229,0.0678851711086722,0.118738037643895,0,0.0925520239546408,0,0,0,0,-0.110694094922158
XMR,0,0.329285257160621,-0.00992628195636529,0,0,0.310967444815847,-0.132792142614397,0,0,0,0,0.0213327144942446,0.185967508665117,0,0.0270887364248012,0,0,0,0,-0.0815612831610504
MIOTA,-0.0918774661905373,0,0.182755362951669,0,0,0.949206368464683,0.0186192051672801,0.331339066956928,0,0,0.293152135078845,0,0,-0.065928603077969,0.0600922747838931,0,-0.737928132658893,0,0,0.452725059825438
ETC,0,0,0.191201778706531,0,0.147902755542624,0,0.071241792706741,0.187770531560261,0,0,0,0,0.0888058832119442,0.00385302934111308,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0739596102741867,0.100325807447567,0,0.316993997924575,0,0,0,0.00723057122590406,-0.0634717539361215,0,0,0,0,0
ADA,0.260261972525959,1.87309061894769,0,0,-0.464150013367297,0.418905258672468,0.0119004552359139,0.714787598279456,0,0,0,0.0574768309723983,0,-0.378263490609867,-0.0856079148975526,0,0.0840852880079683,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0304447735597992,0,0,0,0,0,0,0.744840212633362,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0.106097168091284,0.116233865257511,0.0270984297692703,0.0518702534051231,-0.160804452817906,0.0603260204724568,-0.092790705191119,0.125115413287532,-0.152281422909247,0,0,0.0622978674474565,-0.0555645532802356,4.18481382575403e-05,-0.00883435325152919,0,0,0,0,0.0484107043600678
CVIX.Index,-3.46944695195361e-18,-0.0445424478864094,-0.00691603644168228,0.0804011866509282,0,0,0.113279055563175,0.0894922529767553,-0.111656578489371,-0.031741494921408,0,0,0.0400454990328848,0,0.00445673435257688,0,0,0,0,-0.0448950957983625
DXY.Curncy,-0.0229778182433338,0,0.0115970903887704,0,0,0.00263335224535223,0,0,0,0.0153756582012658,0,0,0,-0.00167014534422264,0,0,0,0,0,-0.0176457376761023
SPX.Index,0,0,0.0027836190409535,-0.00360435187152904,0,0,-0.00133915183026063,0.0187098450662055,0,0,0,-0.0201298226586161,-0.00169369361839967,0,-0.00183127252041214,0,0,0,0,-0.0344112846450517
VIX.Index,0.882261187669572,0,-0.113045372403745,0,0,-0.13458677167331,0.224336485477195,-0.255538340703495,-0.711284685782562,0.716059831044683,-0.950099686451136,0.438352733752572,0.06419652933115,1.38777878078145e-17,0.0193006175853744,0,0,0,0,0
