,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.114589758884296,0.660735758666533,0.116138503147882,0.826800545174158,0.061346296789497,-1.49081657925782,0.221644335612146,-0.201872625126368,0.00269404263101752,0.208530131903907,-0.200987375261725,0.588150417673941,0,0,0,0,0
ETH,0,0,0.932032964994809,0.0477132629748494,0.376663141402812,0,-0.225400596117877,0.144148959361385,0,0.0407823526952664,0,0,2.77555756156289e-17,-0.0300537688459542,0,0,0,0,0,0
XRP,0.0665095027921532,0.489020407308381,0,0,0,0.00362753253491771,0,0,0.121579832314965,-0.0531797644725951,-0.100678885234696,0.0884911284671331,0.0142314984801204,0.0856566005054916,0,0,0,0,0,0
BCH,0,0,0,0,-1.14937285764332,0.949178979364065,0,-0.635993695936667,0,0,0,0.546357279600203,1.49160708791741,-1.16152235529058,0,0,0,0,0,0
LTC,0.0840429013218447,0.166841116861061,0,-0.0613752889896761,0,0,0,0,0.206403068782574,0,0,0.0583688014439164,0,0,0.143335173510048,0,0,0,0,0
XEM,0.202703460125827,0,0,0.178256612130775,0,0,0.155159911540283,0.295532940712241,0,0.14431226907542,0.227858323170337,0,-0.37230333522514,0,0,0,0,0,0,0
DASH,0,0,0,0.0334613183823622,0,0,0,0.0360928575945073,0,0.0715302826148747,0,0.0849585547107576,0.149352486928226,0.157686842265945,0,0,0,0,0,0
MIOTA,0,0.766238633252577,0,0.0770561934922997,0,0.0362188978341218,0,0,0,0,0,0,3.46944695195361e-18,1.38777878078145e-17,0,0,0,0,0,0
ETC,0,0.359015676484849,0,0.0106756799851391,0.245417077196426,0.0367728973119538,0.0978174202961147,-0.0478620272278192,0,-0.0748143473994597,0.0124515414476946,0,0,0,0.157045078547923,0,0,0,0,0
NEO,0,0.679330671243371,0,-0.0760773630127341,0,0.433108479158222,0,-0.124950730177737,0,0,0,0,-0.111641165841625,-0.103636801279261,0.75364553996269,0,0,0,0,0
XMR,0,0,-0.0855372000428593,0.0600340228005258,0,0,0.686349848872195,-0.0624085824314999,0,0,0,0,0,0.456461018500787,0,0,0,0,0,0
EOS,0.0899875767399952,0,0,0.0368574183729468,0,0,0,0,0,0,0,0,0,0.226411870699716,0.428243108025107,0,0,0,0,0
ZEC,0,0.577598121866998,0,0.00369349905252488,0,0,0,-0.0583564917770392,0,-0.0117992882628245,0.352124347165977,0,0,0.0962626699686233,0,0,0,0,0,0
XLM,0,0,0,-0.0709476759215776,0,0,0,1.38777878078145e-17,0,0.0817973746436947,0.18606783522798,0.123707068420548,0.509295059531962,0,0,0,0,0,0,0
DOGE,0,0,0,0,0,0.0761214092094541,0,0,0,0.0561471096691526,0.177896918928516,0.375326915657393,0,0.169440656639162,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0141366567709502,0,-0.0234198306165658,0,0,0.107128803473267,0.01395033532748,0.00883756578854786,-0.125451794848869,0,0,0.0619096516840168,0,0,0,0,-0.0697490929710064
CVIX.Index,0,-0.0232240819354354,-0.226651947182216,-0.0173967817457757,0,-0.0218536055447133,0.0357491854675558,0.00251278146961273,0,0.0458177001051414,0,0.0172451926706806,0,0,0,0,0,0,0,0.353012839951373
DXY.Curncy,0.0288123151998776,0,0,5.52059646949477e-06,0,-0.00460735089791183,0,0.00873448999965648,0,-0.00803317973313295,0,-0.0265019816649998,0,-0.00378021139802326,0,0,0,0,0,0
SPX.Index,0.0171110322450524,-0.0117123514023063,0,-0.00423226640057753,-0.015491047932508,-0.00349952327221806,0.00464606175254093,0,0.0332718607300677,0,0.0243298237433766,0.01470512872497,0.016378404500326,-0.0223127884362796,-0.0245165146610332,0,0,0,0,-0.0344196374944888
VIX.Index,0,0,0,0.0187950063273722,0,-0.0340299340744938,0.0687272132467678,0.141056476760075,-0.200583144574376,-0.0345226413342578,0,0,-0.124048179179618,0.0336216159140589,-0.0279127108765375,0,0,0,0,0
