,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0916502126033793,0.0460546270360148,0,0.13093401800326,-0.037453919878654,-0.0304369694266574,0,0.216656473746847,0.250261973468847,0.193507303451644,-0.0302944879831662,0.087114115408124,0,0,0,0,0,0.0476798109922972
ETH,0,0,0.136964513665853,0.0905735689954734,0,0.028802638711359,0,-0.00501733543336096,-0.0547688024684372,0,0.268489775827203,0.22588839762946,0,0.0893201851657008,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0427992594620094,0,0.0273784843108825,0.422003512567528,0,0,0.0508198178377121,0,-6.93889390390723e-18,0.203290048293433,0,0,0,0,-0.0339731634218728
BCH,0,0,0,0,0.73670869370118,0,0,0,0,1.73472347597681e-18,0.0815818810178805,0,0.126927512446733,0,0.0786657224449941,0,0,0,0,0
LTC,0,0,0,0.130817321056802,0,0.0835912561312826,0,0,0,0,0.304219377164071,0.199487014838576,0,0,0.00422639316890585,0,0,0,0,0
EOS,0.19703617902089,0,0.220826550080355,0,0,0,0.161969735882104,0,0,0,0,0,0,0,0.196076279954324,0,0,0,0,-0.151646354066657
ADA,0,0,0.208416400091012,0,0,0.560290591537314,0,0.171436846059512,0,0,0,0.19166991157677,0.221252354216668,0.0748585037129373,0,0,0,0,0,-0.174381494969518
XLM,0,0,0.405425979848286,0,0,0,-3.46944695195361e-18,0,0.271165258996053,0.0492447452333447,0,0,0.123572575244359,0.139558792527542,0.00964959583150823,0,0,0,0,0
NEO,0,0,0,0,0,0.0801362190659039,0,0.337929445412084,0,0.0330694784132416,0,0.235381813542022,0,0,0.184953767594074,0,0,0,0,0
MIOTA,0.886603638013811,-0.391756263797149,0,-0.160763095544668,0,0,0.10727042694647,0.181100521692587,0,0,0,0.259903781124112,0.0602646601719825,0.19309843521723,-0.0218805101457114,0,0.539145480704495,0,0,0.106928872370937
DASH,0.675013840178964,0.56398280180079,0,0.0193147604002391,0,-0.135710065538118,0.13998020204669,0,0,0,0,0,0.126022014871837,-0.0452179864219801,-0.0573588693107274,0,0.0446703129470388,0,0,0
XMR,0.631139478354021,0.581858377015983,0.0700749062235461,0,0,-0.209498912855679,0.224421385614669,0,0.522448013062202,0,0,0,0,-0.287698448794078,-0.286715577507116,0,0,0,0,0
TRX,0,0,0,0.533862961603555,0,0,0.205232575638301,0,0,0.202143320684547,0.0528607582924396,0,0,0.0077328121457654,0.0678024089179197,0,0,0,0,0
XEM,1.29680494329739,0.611135472389871,0,-0.418329437254744,0.47278754622017,-0.615372636206136,0.405380372863804,0.934280068555255,0,-0.0577242337364541,0,-1.60597918124101,0.138062601442781,0,0.178782404809819,0,-2.36329668352861,0,0,-0.0689724150562718
ETC,0,0,0.40221888593625,0,0.154397737589431,0.117084176661792,0.162139944573485,0,0.17982110972457,0.273407204822562,0.00349528127909814,-0.270525699295218,0.053400116867599,0,0,0,0.0128656455551083,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341770465211281,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0455873277791266,0.0270361713915296,0,0,0.1288692776164,0.060843202686425,-0.119450422006294,0.00648841085725332,-0.048922257131973,0,0,0,0,0,0
DXY.Curncy,0,0.159123404171034,0,-0.0150216185190932,0,0.00807870571222598,0,-0.0100521514517135,0.00952554900269835,0,0,-0.0547563725794748,-0.0107989111212244,-0.01807000290225,-0.0163057280042238,0.0337936801945728,0,0,0,0.00151305849598769
SPX.Index,0,0,-0.0219421877449383,0.0418507894975384,0,0.00476658055055371,0.0163319096694503,0.0319437047184448,0.00101468801679084,0,0,0.0150332022091293,-0.07431444999411,0.0142439557027626,-0.00227527247892126,0,0,0,0,-0.0611897891623276
VIX.Index,0,0,0,-0.0642213508232033,0,-0.0277400629587039,0,0.247896662238774,0,0,-0.0858763700359702,0.0663328039415972,0,0.0182020907142481,0,0,0,0,-3.78492653336494,0
