,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.230420400143036,0,0,0,0,0.117441437433893,-1.73472347597681e-18,0,0.126306921353836,0,0,0.0576771985910136,0.0759885116364935,0.0388249605712904,0,0,0,0,0
ETH,0,0,0,0,0.192787829635174,0,0.205530202049904,0.0945813321694956,0.147790543219099,0,0.074239776847762,0,0,0,0.0737921681611725,0,0,0,0,0.0952032028433827
XRP,0,0,0,0,0,0,0.349616194224367,0,0.112389898999357,0,0,0,0,0.0780853474409829,0,0,0,0,0,0
BCH,0,0,0,0,0,-0.0408173236383243,0.303447075405228,-0.0374231317769085,0.116474229724065,0.247789510736913,0.306068866817704,0,-0.139125649444315,0.309178425070747,-0.274778312649535,0,0,0,0,0
LTC,0,0,0,0,0,0,0.179997975308091,0,0,0.608574100218193,0.0364961125871988,0,0,0.127537999885493,0.0811807350680768,0,0,0,0,0
DASH,0,0,0,0.0425982624670892,0,0,0.0990956094877456,0,0,0,0,0.775063206216226,0,0.0195189394159967,0,0,0,0,0,0
XEM,0,0.559517966783987,0.231366730800188,0,0.174874405197099,0,0,0.0444414817554045,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.319878502823285,0.315308605137098,0,0,0,0.0507510584506897,0.0432891201640661,0.0594963390443062,0.162407890072496,0,0,0,0,0,-0.0615227396157498
MIOTA,0,6.93889390390723e-18,-0.118971869429605,0.377054952535539,0,0,0,0.238769739222573,0,0,-0.302276204071308,0,0.593483342102956,0,-0.00675487017553784,0,0,0,0,0.379402663090062
ETC,0,0,0,0,0.699439362176103,0.0861024758223043,0,0,0,0,-0.0206481552361991,0,0,0.316698754291957,0,0,0,0,0,0
NEO,0,0,0,0,0.196318503333054,0,0,0.208778868324175,0,0,0,0,0.433295795360103,0,0,0,0,0,0,0
ZEC,0,0,0,0.14317869434209,0,0.676199671869251,0,0.11722182612098,0,0,0.0100479075144766,0,6.93889390390723e-18,0,0.241164055599009,0,-0.392252655856305,0,0,0.125042535853898
EOS,0,0,0,0,1.0842021724855e-19,3.46944695195361e-18,0,-1.73472347597681e-18,0.0427616686517268,0,0.174247478789319,0.145238598173156,0,0,0.49586150178114,0,0,0,0,0
XLM,0.22963956768413,0,0.343943685780247,0.179138424725309,-0.224162070909826,0,0,0.117187095797552,0.114077091216476,0.232692325822613,0.0439529114844211,0.149043409679297,-0.0864861264267545,0,0.184761193675085,0,0,0,0,0.0185309940964303
BAT,0,0,0,0,0.357266280937193,0,0,0,0,0,0,0.119955650566689,0.252763518746172,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.014092360871678,0.00285786121836349,0,0,0,0,0,0,0,0,-0.095830478486644
CVIX.Index,0,0,0.00778007763127557,0,0,0,0,-0.00583385122333085,-0.0256759021873877,0,0.0543879611879389,0,-0.0812851309315711,0,0.079680965079307,0,0,0,0,0.103342800161733
DXY.Curncy,0,-0.0189100284708018,0,0.00471456003641936,4.33680868994202e-19,-0.0263346266291925,0,0,0.0165002262012971,0,0.00698270649458067,0,0.00299074227749817,0,0,0,-0.0120615005739147,0,0,-0.0181101216598229
SPX.Index,0,-0.00602501992397235,0.00673562455289063,0,0,0.00259909752557078,0,-0.00929717842566159,0,0.00190740892584903,0,0,0.00186246417396191,0,0.00345417728140605,0,0,0,0,-0.0424931302357196
VIX.Index,0,0.396164560052665,0,0,0,-0.290830844339422,-0.0641876970640819,0,0.0396464181470548,-0.165679202308477,-0.0389994241715526,-0.0165512026641817,-0.138732193337731,0.234850149076611,0,-1.0030631764552,0,0,0,0
