,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.138454817584842,0.0436620154915703,0.0199797078876427,0.159643053697643,0,0.00692031985792523,0.138443975746487,0.0215662648242543,0.0757837533744801,0,0,0.0905076466303203,0,0,0,0,0
ETH,0,0,0,0.353968215277966,0,0,0,0.0532003068811259,0.299778002823165,0,0.0634899528917442,0.186762885198175,0.0570823051645125,0,0.0153819510536165,0,0,0,0,0.0315380046667631
XRP,0,0,0,0,0,0.0659793295184233,0,0,0.342066239039103,0.0825363776421174,0.098177542800898,0,0.00214953352662738,0.123458024659239,0,0,0,0,0,0
BCH,0,0.40206592949409,0,0,0.15341130012493,0,0,0,0.0905469566384059,0.157379269677785,0.0751881164338675,0,0,0,0.0282964364665095,0,0,0,0,-0.0328337048459663
EOS,0,0,0,0,0,0.528335306446532,0.16642286221735,0.372959999483928,0.119890336343721,0.0953152530973918,0,0,0,0.114161099161201,0,0,0,0,0,0
LTC,0,0.159360791795815,0.129380692767972,0,0.267307598304521,0,0.0472394749678772,0,0,1.73472347597681e-18,0,0.217319267139277,0,0.00781418062908852,0.0749321529922497,0,0,0,0,0
XLM,0.00485961315010013,0.444281648124435,0.208460912914476,0,0.176076226557608,0,0,0,0,0,0,0.0826735604890936,0,0.115506263701231,-0.11347239913582,-0.144888360954037,0,0,0,0.00564813849926586
ADA,0,1.73472347597681e-18,0,0.21962661389989,0.137891641932786,0,0,0,0.366106201806838,-0.0291194881500613,0,0,0,0.120796091578227,0,0,-0.0163034990712777,0,0,0.00460773447521077
TRX,0,0.722396170756707,0,0,0.0801572569163623,0,0,0.0731269094758702,0,0.202330139636704,0.0527694182893193,0,0,0.0166194012915274,0.0249731880871423,0,0,0,0,0
MIOTA,0,0,0,0,0.525149739934289,0,0,0,0,0,0.330597525750697,0,0,0.0381791776707001,0,0,0,0,0,-0.0223050614441562
NEO,0,0,0,0,0,0.661601308068593,0,0,0.222087007680871,0.105075728274363,0,0,0,0,-0.0606689588380193,0,0,0,0,0.0308891849187982
DASH,0,0,0,0,-0.0614107917228892,0,0.348741218401953,-0.242750636024861,-0.198374839064411,0,0.500650186170566,0,0.360025945613868,-0.0849577846582172,0.199347000198101,0,0,0,0,0.0915436315847682
XMR,0,0.118806089128796,0,0.426098330025295,0.122860968523335,0,0,0,0,0,0,0.437129183953559,0,-0.118915483714276,-0.125789857678712,0,-0.552478946448039,0,0,0.0668990526814541
BNB,0,0,0.229942036596722,0,0,0,0.87365750720795,0.770606820543698,-0.292528930656986,0,0,-0.291101926234896,-0.802411256448076,0,0.238976447054101,-1.62808017098067,-1.7063186483993,0,0,-0.123777743106403
ETC,0,0,0,0.379638910460115,0,0,0,0,0.526459287855567,-1.38777878078145e-17,0,0,0,0.112937443029999,0,0,0,0,0,-0.271793994370094
BV010082.Index,-0.253733996613665,0,0.116923705470982,-0.0959493902331586,0.235064448014245,0,0,0,0,-0.0926706199503374,0.131152983160891,-0.0425036882453334,0,-0.0911183111908177,0,0,-0.384717851054878,-0.23417110924301,0,-0.0437759737325574
CVIX.Index,0,0,0,0.237070975127464,0.0788083797582968,0.120194062118083,0,0,0.0784837735354763,-0.00380812711606518,0,-0.0106501532433492,-0.470023890611197,-0.132676270278219,-0.0641496070637211,-0.38022805029241,0,0,0,0.0213557040809603
DXY.Curncy,0,0,0,0,0,0,0,0,0,-0.00646418991748912,0,0,0,0,0.0116534730921936,0,0,0,0,0
SPX.Index,0,0,0,0.0169372894429413,0.0069641307879437,0,0,0,-0.0193902969433277,0,0.00905858446153296,-0.0287574827921145,0,-0.00283843559345194,0.00525945979393203,0,0,0,0,-0.0417894398367869
VIX.Index,0,0,0,0,0,0,0,0,0.344293384657075,-0.555575125435378,0,0,0,0,0,0,0,0,0,0
