,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0168598747638244,-0.0451845732748954,0,0.827576456855663,0,-6.93889390390723e-18,0.0966272829657534,0.0603103333835272,0.158829449039255,0,0.180128868969288,0,0,0.19320987631199,0,0,0.0243092118263664
ETH,-0.106729991167345,0,0.0416411182396298,0,0,0.217553020396718,0.266033827296647,0,0.175188862952863,0,-0.468944796226387,0.0100291016969364,0,0,0,0,0,0
DASH,0,0,0,0,0,0.271458363051922,0.241375118210192,0.166387842655035,2.16840434497101e-19,0,0,0,0,0,0,0,0,0
XRP,-0.232789154018722,0.109799254856728,-0.0355334976728529,0,0,0,0,0.0877699443672258,-0.0522898455965707,0.493959326662246,0,-0.294796555582895,0.0769068341313244,0,0,0,0,0.32872910636155
LTC,0.262185551820021,0,-0.000214731769820494,0,0,0,0.225721614515101,0,0.0148280693872549,0.00203517026837555,0.0449600515440488,-0.119886695338236,0.000739966494921021,0,0,0,0,-0.0404923317591352
XMR,0,0.44638375788585,0,0,0,0,0,0,0,0,0,-0.0705726844394035,0,0,0,0,0,0
ETC,1.20648303894257,0.408072592836365,0.0792414001130644,0,0,0,0,-0.122645230252497,-0.0629594076977915,0,0.392535005113393,0.213036048055738,0,0,-0.23069049065169,0,0,-0.244247995941867
XEM,0.3227268042151,-0.133726720561278,0.0982489733746369,0,0,0.808204954878072,-1.73472347597681e-18,0,0.0818286274078113,-0.495510001378441,-0.350666595711282,2.77555756156289e-17,0,0,-1.7539717571521,0,0,0.355163937562522
ZEC,0,0.236080456658481,0.316771279039368,0,0,0,0,0.181187965347234,0,0.363318028667578,0,0,-0.00675485018214639,0,0,0,0,0.0611305414652571
DOGE,1.28404840349814,0.185806458704043,0.0654382955625234,0.671572211340658,-0.301121817895482,0.0996621341974956,-0.479052507099907,-0.230199335266534,0.0333209790103048,0,-0.0987632922355566,0,0,0,-1.2017576031729,0,0,-0.0619876571739002
XLM,0,0,-0.0813273936082426,0,0,0,0.14433290915967,0,-0.169156322837695,0,0,-0.193230800341703,0.187544551006691,0.198892908728708,-0.166514840766864,0,0,-0.049533152617201
NEO,0.358301955435112,0,0,-0.669293454649112,0,-0.172254009206407,0.184947179708117,0,0,0,-0.393207918076664,0,0,0.880408675592412,-0.0879175960992131,0,0,0.408887891188835
DGB,0,0,0,0.935946842396859,0,0,0.150032123602861,0.126406016824235,0.131635044081826,0,-0.389318569242314,0,0,0,0,0,0,-0.646050723407572
BV010082.Index,0,0,0,0,0,0.143645147507605,0.144288244029638,0.00975320307513894,0,0,0,0.118262212126655,0,0,0,0,0,0
CVIX.Index,0.220994390361372,0.0996694383283927,-0.0934536001577839,0.427072110124399,0,0,-0.0466341749351493,-4.33680868994202e-19,-0.0180119844536345,-0.233231539616208,-0.196351740952511,-0.0759514873208202,0.00957450918992959,0,0,0,0,0.0985508438015794
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0.0371739145909788,0.0341959238746919,1.08868127808834,0,-0.0500024549577062,-0.0581754530134055,0.120523493481331,0.137134499065258,-0.565381926106545,0,0.475412061826972,-0.315074794905038,-0.554232594022358,0,0,0,0
