,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,ZEC,EOS,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0362965324964008,0.131260441070659,0.141201203146429,0,0.098032091804001,0,0,0.179999731117219,0,0.0283581037598882,0.0487917799653173,-0.202138246252946,0.0612691421604088,0.0313668745310477,0,0,0,0,-0.0680498391885722
ETH,0,0,0.183859492144061,0,0.47259201702133,0.0290683855895487,0,0,0,0.077184032750139,0.041257905097334,0,0,6.93889390390723e-18,0.0187448767942454,0,0,0,0,0
XRP,0,0,0,-0.224460157516623,0.217320884431768,-3.46944695195361e-18,0.217808348740394,0,0,0,0.0294885635962078,-0.0143898458618382,0,0.514879296019959,-0.00719134376714162,0,0,0,0,0
LTC,0.215577532323944,0,-0.198143726885161,0,0.204941428782232,0.104986522972683,0,0.162808313336662,0,0,0.0805542204217932,0,0,0.00752378946191238,0,0,-0.885282805588236,0,0,0
ETC,0,0.419213541344038,0,0.246850192364459,0,0.144266367340507,0,-5.42101086242752e-20,0,0,0,-0.00664240754968955,-0.165738389417233,0.0357136098284381,0,0,0,0,0,0
DASH,0.270239587015194,0,0,0.139293181662681,0.0689656622350449,0,0,-0.0191763300102168,0.319223412592439,0,0.0241541710539133,0.0863312432416959,0,0,0.071289239442888,0,0,0,0,0
XEM,0,0.0919608895329208,1.15524048000558,0.690181943836713,0,-0.0859352087108334,0,-0.135854481526649,0.0453624671218225,0,0.0164412577299419,0,0,-0.333035642949624,0.0486687973783947,0,0,0,0,0.117569862436622
MIOTA,0,-0.942316072597282,0,0.688883411615623,0.159381745878382,0,0,0,-0.157313340021164,1.48777502669586,-0.0387676311199107,0,0.281945786492333,0,0.0313985778408106,0,0,0,0,0
XMR,0,0.0363471197544351,0.264742054806415,0.093229376910748,0,0.201621045708234,0,0,0,0,0.0387719501308191,0.0520450223058425,0.104739537181575,0.0528579652074763,0,0,0,0,0,-0.0341055571258311
ZEC,0,0.49487473782462,0,0,0,0,0,0.206828958661236,0,0,0.0426164848116048,0,0.0863099787824535,0,0,0,0,0,0,0
EOS,0,0.31701228036397,0,0,0,0,0,0,0,0.159655868525984,0,0,0,0,0.310488141385774,0,0,0,0,0
NEO,0,0,0,0,0,0.429353205622532,0,0.300807693293343,0,0.176974395841463,0.0102836319536458,0,0.174168465874886,0,0,0,0,0,0,-0.519458692189577
XLM,0,0,0,0.0992049259360701,0,0.139924789721076,0,0.0601526024926522,0.412365978135755,0,0.0305150758161986,0,0,0.253880406407141,0.197367623529132,0,0,0,0,0
DOGE,0,0,0.660075865113209,0,0.0557926407009161,0,0,0.0622376563957412,0,0,-0.0459664941586235,0,0,0,0.105898925409258,0,0,0,0,0
DGB,0,0.110437755517819,0,0,0,0,0,0,0,0.466098623713588,0.0356946302841993,0.0321367039857372,0.326255478725074,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0523660764306932,-0.0169633744900084,0,0,0,0,0,0.00127866601445357,0,0,0,-0.00941351101792128,0,0,0,0,0
CVIX.Index,-0.088985083396719,-0.0881959033509173,0,-0.0571931810500241,0.067508798431826,-0.0690253198512322,0.039949735162092,0,0.0543017551681536,0.0768000663696494,0.0151083789717098,0.0679176910278017,-0.0623255474546452,0.0487487703655771,-0.0355977965226934,0,0,0,0,0
DXY.Curncy,0.0165885998593843,0,0,0.0223430325417712,0.0033109932711883,0.00836897517301487,0,-0.00103185179793531,0,0.0160047245986015,6.76099817134316e-05,-0.0284517284487959,-0.013805203598765,0,0,0,0,0,0,-0.0371875595687399
SPX.Index,0,-0.00375998454553857,0,0,-0.00753753102177362,0,0,0.00238387395030296,0.00637879597298785,0,0.000352578123786444,0,0,0,0,0,0,0,0,-0.0683427701932781
VIX.Index,0,0,0,0,0,0,0,0,0,0,0.0345606232162352,0,0,0,0,0,0,0,0,0
