,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0283197400389176,-0.0358769376501768,0,0.218658610709961,0,0,0,0.12687786386068,0,0.000644318690649797,0.18204369400308,0,0.00749786652234683,-0.0906245101891718,0,0,0,-2.16840434497101e-19
ETH,0,0,0.0665870361432457,0.0477110865392251,0.0217045827263561,0.162296133500202,0.0289200798045885,0,0,0.156641310164118,0.125591638357285,0,0,0,0,0,0,0,0,0.00304466733126447
XRP,0,0,0,0,0.250358062364614,1.06010758128927,0.0281120343948335,-0.330735430799153,0,0.501198659090781,-0.208646032381703,0,0,0,0.298404437110409,0.44502662484141,0.200392181985234,0,0,0.173101626905956
BCH,0,2.30918995310421,-0.23594515086957,0,-0.0811175748204459,0,0,0.238118095199108,0,0,0.469177506704175,0,0,0,-0.0931729737035719,0,0,0,0,0.098572352859833
XLM,0,0,0.472070603436859,0.196344245534866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0.0645209022390281,0.164164101227211,0,0,0.0951132076826997,0,0,0,0,0,0,0.307553861391499,0.336110954259215,0.12620255358533,-0.0152382607734946,0,0,0,0,-0.0117254605441228
LTC,-0.351786725212279,0,-0.0450807557635491,0.211573195816281,0,0.431048496470281,0,0,-0.226547258451404,0.131393849985727,0.163725946635156,0.31974059338793,0,0,-0.0593304079701192,0,0,0,-0.0439667238791735,0
ADA,0,0,0,0.288485643239723,0,0,0,0,0,0,0.13845309315299,0.282291582307823,0,0,0,0,0,0,0,0
XMR,0,0,0,0.16821204826615,0,0,0,0,0,0,0,0.257787260546215,0,0,-0.0282491041272444,0,-0.156695468276115,0,0,0.00922811410559095
TRX,0.194395934643797,0,0,0,0.16518506847158,0,0.431229639689918,0,0,0,0,0.150279349616957,0,0,0,0.131069679067158,-0.025975389346099,0,0,-0.00392453165939243
DASH,0,0,0,0.113745925043078,-0.1577789015101,0,0.0537777297568774,0.681317544470652,0,0.141123765509513,0,0,0,-0.323560575255717,0.151674245830605,0,0,0,0,0.00772709673464179
MIOTA,0,0,0,-0.116627247540606,0,0,0.176578996283034,0,0.428812013520438,0.443003816765415,0,0,0,0.169011996277182,0.243149818035554,0,0,0,0,0
BNB,0,0,0,0.0313565210166191,0,0.0934365774552746,0,0,0,0.266181376038731,0.0298799367988113,0,0,0,-0.00901864396659309,0,0,0,0,0.00102145220693561
NEO,0,0,-0.136977681506728,0.14829770063967,0.0176196199197445,0.78478093698114,0,0.167991508687916,0,-0.212821748186851,0,0,0,0,0.0391300244738676,0,0,0,0,-0.013329831195209
XEM,0,0,0,0,0.103297248505227,0,0,0,0,0,0.0494497401257441,0.345178556548718,0,0.278059732895661,0,0.540406533636056,0,0,0,0.0663941926863594
BV010082.Index,0,0,0.156922295189041,-0.0375170882170056,-0.149797029320151,0,-0.160107274756836,0.146459983149895,0.0898541404629054,0,0,-0.155097053386773,0,0.191281101643021,0,0,-0.123093871514616,1.89008593485644,0.647277235403271,-0.080341692116409
CVIX.Index,0,0.857242378242879,0.153080458193959,-0.193010172661828,-0.134878048930287,0,0,0,0,-0.326373647047219,0,-0.0774243986641528,0,0.349392262731515,-0.0359638871218658,-0.472292062501921,0,0,0.598199558263501,0.0534982632984002
DXY.Curncy,-0.0592343996521533,0,0,-0.0577189624055641,-0.0217325773206481,0,0.0933624031960006,0.00215921304262518,0,0,0,0.0181658991057521,0,0,-0.0131589667510747,0.172652833615188,0,0,0.0436722788346121,0.0431605088957225
SPX.Index,0,0,0,0,0,0,0,0.0434341216000428,0,0,0,0,0,0,0.0258801353660847,0,0,0,0,-0.139118621281524
VIX.Index,0,0,0.49841313196747,0.935984898324388,0.245081171288481,0,-2.38575603097346,0,0.0478699887009095,0,-0.292470160089462,0.153767508463893,0,0,0.190285448132522,0,1.07033407775564,7.28786775437683,-3.5393784930208,0
