,BTC,ETH,XRP,BCH,ADA,NEO,XLM,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0348492760758876,0,0.385580357106797,0,0.0296536140749053,-0.00206087991365949,0,0.0537926704317951,0.0915566163317146,0,0,0.0874096347410882,-0.00831740865586363,0,0,0,0,0,-0.0562637876093059
ETH,0,0,0,0.0702021973652574,0,0,0.0401132746981848,0.497298604938807,0,0,0,0,-0.0763139572155978,-0.104005227564838,0.345376192737723,0,0,0,0,-0.0202226754841253
XRP,0,0,0,0,0,0,0.167514540282043,0,0,0.103138792980437,0,0,0,0.369271549597623,0.276605041771982,0,0,0,0,0
BCH,0,0.238280837195318,0.0704627322674238,0,0.0443017001077735,0.0387623153235445,0,0,0,0,0.205892167471846,0,0.204145034020955,0,0.19501777262374,0,0,0,0,0
ADA,-5.55111512312578e-17,0,0.316041943105934,0.464336073295899,0,0.0663040299537324,0.090936082467174,0,0.105493728273843,0.051698197255416,0,0,0.138517624348454,0,-0.254085497247486,0,0,0,0,0
NEO,0,0,0,0.0269727938287222,0.252122943459538,0,0,0,0,0,0,0,0,0,0.484381729687776,0,0,0,0,0
XLM,0,0,0.0642611808419802,0,0.423573379470173,0,0,0,0,0,0,0,0.15400132533183,0.260868115774795,0.134925354600833,0,0,0,0,0
LTC,0,0.281236876505804,0.161231122428316,0.100102915742589,0.0846249455929376,-0.0191409828763683,-0.113838663679585,0,0.156774827822179,0.100923020255337,0,0,0.0326397486332617,0,0,0,0,0,0,0.0711117649004044
EOS,0.37192493387945,0.0533430924386247,0,0,0.522854957015257,-0.304773497383289,0.101882940437817,0,0,0.00136621455498595,0,0,0.449777921438519,0,0,0,0,0,0,-0.0811830795150658
XEM,0,0,0,0,0,0,0.152505238219437,0,0.345688426936227,0,0.113569903562922,0,0.322582209821943,0.0284616013955864,0,0,0,0,0,0.110930761338578
MIOTA,0,0,0.0992391050527291,0.627131561841562,0,0,0,0,0,0.20062547380629,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.117788189130841,0.106759715240703,0.134888161721569,0,0,0,0.179109385733579,0,0,0,0,0.0419063074163789,0.183588031748794,0,0,0,0,0.043957568286718
XMR,0,0,0,0,0,0,0,0,0.0501613531405707,0.0294491246576855,0.192730448131333,0,0,0.0166688315437872,0.41468807492939,0,0,0,0,0
TRX,0,0,0.123235440373257,0,0,-0.276710369854284,0.531560578604312,0,0.081102845931912,0.419733366359873,0,0,0,0,0,0,0,0,0,0
ETC,0,0.496766005046673,0.120336548616297,0.0534396167875011,0,0.109292974997699,0.00333900295177447,0,0,0,0.302514193089446,0,0.215244994140596,0.0382078633578439,0,0,0,0,0,0.106520523350322
BV010082.Index,0,0,0.00256042505461636,0.0116580883544352,-0.114927715313983,-0.00139304227100852,-0.0659595312246992,0.0823137393301562,-0.00594481386782642,0.0439058414624603,-0.0414410869907576,0.146765163186176,-0.0577022543842847,0.0360835227937008,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,2.16840434497101e-19,0,0,0.0187489926232645,0.0888408983430558,0,0,0,-0.0802437525321995,0,0,0,0,0,0.0657222706225
DXY.Curncy,0.0513317224541554,0.0268340115693866,0.0465651770051271,0,4.33680868994202e-19,4.33680868994202e-19,-0.00112587304443305,0,-0.006330924139975,-0.012315133114134,-0.00226329274377194,-0.102481136722474,0,0,-0.0195092960288954,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.00314986152360572,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206068609314182
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
