,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.07289990453229,0.0818044236618218,0,0.0438614948994817,0.143157265360713,0,0,0.0602397276264109,0,0,0,0,0.0738701068903978
XRP,0,0,0,0.37287604795749,0,0,0,0,0,0,0,0,0,-0.0907490623653863
LTC,1.29354835861744,0.155276952290678,0,0.214818048993732,0,0.714845980623679,0,0.787868447473294,-0.325186447444347,0,0,0,0,0.0201221908687273
DOGE,0,0,0.385301248373511,0,0.52748347946841,0,0,0,0.199968165575957,0,-0.784526233757835,0,0,-0.101697817940369
XLM,1.44645109273774,0.340616084566969,-0.127446792758868,0.141775856804691,0,0,0.386272699642499,0.231007799413278,-0.459802863043484,0,-0.3739771717596,0,0,0.0470386319308495
DASH,0,-0.00219624899054244,0,0,0,0,0,0,0,0,0,0,0,0.100813887001362
XMR,0,-0.140810720169097,0,-0.108254893741365,0.547454622521701,0.478337385220473,0,-0.103690658178985,0.33377827633318,-2.33549387510814,1.3016537837829,-2.14919309539389,-6.57964925435203,-1.02901313399615
XEM,0,-0.394808415684172,0.34900232292281,0,0,0.303042388872669,0,0,0,0,0,0,0,0
DGB,0,1.02384104199765,-0.209747894523834,0.231172857122066,-0.360756820150178,-0.401134355775834,0.807164880241172,0.31385019942904,0,3.38399694425158,-2.77555756156289e-17,0,0,0.629908543882531
BV010082.Index,0,-0.114816004104676,0.0783538848614268,-0.100572170015174,0.167945467184645,0,-0.0687646679305982,0,0.051689963428947,0,0.166115465688449,0.417932688366001,0,-0.175451007228296
CVIX.Index,0,-0.0466153138249309,0.0397597746207126,-0.0437562356693078,-0.233244611586836,0,0.188366116858817,-0.0425617200715889,8.67361737988404e-19,0.859078899673222,0,0,0,0.275712944759971
DXY.Curncy,0,-0.00693338967273484,0.00304421237792928,0.00316278519556659,0,0,0,-0.00666034008981929,0,0.154445634329911,0,0,0,-0.00739367980238105
SPX.Index,0,0.0241115186279827,0.000508484448278591,0.00557619469379533,0,0.0162386876231163,-0.0151711217197632,-0.00683384884424349,-0.00484022593850932,-0.0361214522273005,0.0520287126257128,-0.202976857310731,0,-0.0812340081811273
VIX.Index,0,-0.1493011198561,0.107972375174123,0,0.294394543678374,0,-0.295299892951544,0,0.116094209931872,-1.76853950305905,1.0542582183755,0,-5.83018676830347,0
