,BTC,ETH,XRP,LTC,DASH,XEM,XMR,ETC,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0964922194229662,-0.0227812888036971,0.0150247852745049,-0.196746089498066,-0.0600381496294143,0.0504346090926303,0.0845210276231677,-0.0405703561038276,0.0131502984416048,0,0.0325203106881101,-0.121904955480526,0,0,0,0,0
ETH,0,0,-0.095825305697629,0.140618728202559,0,-0.28252577171442,0.517988893393931,0.285081960363288,-0.194876474812668,-0.240058300341035,0.366425418476008,0,0.203397593579703,0,0,0,0,0.135553068389781
XRP,0,0,0,-0.231406262127018,-0.267271453773237,-0.572367065177684,0,0,0,0,1.39270297520663,-0.132903080476291,0,0,0,0,0,0
LTC,0,-0.0722878484782911,0,0,0.459886910682426,0,0.284929085030619,0.301240349485294,0,0.31458064457542,0.2838831852089,-0.00196648203081558,0,2.65274911400048,-4.15628129692219,0,0,0.302014797581528
DASH,-2.08463831937622,0,-1.0842021724855e-19,0.228249785780513,0,-0.0778502726446762,-0.0312780088476411,0,0,-0.0196961215263033,-0.337465004118884,0.0614487340475681,-0.456527847132472,0,1.11003828263493,0,0,0.0150127027370982
XEM,0,0,-0.0626123956118965,0,0,0,0,0,0.718343354631527,0,0,0.152211729342633,0,0,0,0,0,-0.159481788122254
XMR,0.88586159704093,0.671128645699236,0,0,-0.199723125858426,0.286878300614163,0,-0.14549074623176,0.222281600515988,-0.0837641413996552,0,0.107144497126774,0.123375022496164,0,0,0,0,0.0792138694090164
ETC,0,0.120854304527067,-0.0209471958757027,0.0777817716575382,0.0940437310233251,-0.0292489971268054,0,0,0,0,0,-0.0385238223898427,0,0,0,0,0,0
ZEC,0,0,0.0335939109523272,-0.0319780049021865,0,0.146261753619816,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.246803623533325,0.536064479828005,-0.307296257209647,0,0.377251518646292,0.180595917136179,0.423944570677507,0,0,0.12910118087845,0,0,0,0,0,0.26760644801321
XLM,0,0.448227498967551,0.429689566365361,0.14413258005531,0,0.326941430193276,-0.163377125018862,0,0,0.181609216001238,0,0,0.303321955384926,0,0,0,0,0
DGB,0,0,-0.253784810117004,-0.365012583770624,0.0278636379818131,0,0.390603884896698,0.276161579505798,-0.336228882036768,0.713720155636703,0.127215076147777,0,0.908980270161401,2.13039858302819,0,0,0,-1.05722229195747
NEO,0,-0.159189879565714,-0.170440120088137,0.0376164883355826,-0.206212109174186,0,-0.0602912617708699,-0.265361793231619,0,0,0.288612702381274,-0.149014625934973,0,0.417005902230191,1.20412951587508,0,0,0.14428912416143
BV010082.Index,0,0,0,0,-0.0173356080894112,0,0,0,0,0,0,0.0219108410201367,0,0,0,0,0,-0.0688022907732634
CVIX.Index,0,0,0,0,0.0811599866958251,0,0,0,0.0276390012178062,0.0346881579966656,0,0.0136625354454248,0.0471700467437991,0,0,0,0,0
DXY.Curncy,0,0.00582876996928273,0.00107234866401618,0,0,-0.0115035332937686,0.0267739435464173,-0.0348915647004636,-0.00266053841459565,0,-0.00358965982361146,0,-0.0133647515973903,0.086743642329137,0,0,0,-0.00562026722919447
SPX.Index,0,0,0.0010508998224345,0.000837069596649816,0,-0.00451538663504149,0,0,-0.0114758348096625,0,0,0.00969379618995959,0,0,0,0,0,-0.019438278285312
VIX.Index,0.676564662417251,0.226161134325009,0,-0.189792840751467,0.147746666069544,-0.0216993059710456,-0.152422691228032,-0.337345817697522,0,0.384220900370054,-0.27360139415024,-0.127434072631347,0.202361829130373,0,0,0,-3.20072408732816,0
