,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.198490659344355,0,0.329530328149475,0.248701538374782,0,0,0,0.0635160191040175,0.0406039386268931,-0.0498181042090556,0,0,0,0,0
ETH,0,0,0,0,0,0,0.016165944382088,0,0.210635734731573,0,0,5.42101086242752e-20,0.0963066064711882,0,0,0,0,0
XRP,0,-0.547575770178207,0,-0.414749513634836,-0.419638452498362,-0.079834030099222,0.318147582809271,0,0.157098192188294,0.710829146912516,0.103270367415063,0.0959458044329788,0.244438100767569,0,0,0,0,0.674618591480862
ETC,0,0.281551434486801,-0.241873108414305,0,0,0,0,0,0,0,0,0,0.299836974568709,0,0,0,0,0.175412287716766
XEM,0.116727288157807,-0.215120227868376,0,-0.182965025579893,0,0,0.197031932926517,0.125868487911454,0,0.0270315741549628,0.424546911721503,-0.0337041185061713,0.153064118222344,0,0,0,0,0.519417560230293
LTC,0.513316703654683,0,-0.0341664104325915,0.245430395652414,0,0,-0.614351178483178,0.676166952081816,-0.00503997578295565,-0.251211995725314,0.0127498991406872,0.0435539909991268,0.289578002211469,-2.59410818713792,0,0,0,0.00512927314231251
DASH,0.4026156247553,0.243546068427009,0.171519437217672,0.236166637143405,0,0,0,0.161378845637813,0.306186422087711,-1.38777878078145e-17,-0.110025920030535,-0.0321651486328055,0.00728441000517245,0,0,0,0,0.154002611768084
XMR,0,0.110417802981483,0,-0.166501551838878,0.300996472836876,0.376821631326372,0.591004639905314,0,0,0.148822192544401,-0.0554506466853615,0.011703817244363,-0.247167795193752,0,0.733738813111417,0,0,-0.407526207584747
ZEC,0,0.286217224472103,0,0,-0.0222019961295303,0,0,0.130173195145466,0,0,0.116512071136668,0.00488771165968011,0.0329215069639255,0,0,0,0,0
XLM,0,0,0.737228660067311,0.578901078893743,0.194071828184787,-0.444505340905872,0,0.391842933589638,-0.264902355924901,0,0.161491852339376,0.0213005203048961,-0.143918478181111,0,0,0,0,-0.296567842078206
DOGE,0,0.0573167134132587,-0.0790005720805664,0,0.298467161528639,0.122025058581823,0,0,0.234158869304078,0,0,0.0567810559568807,0.115571414968822,0,0,0,0,0
DGB,0,0,0.195161293285056,0,-2.77555756156289e-17,0,0,0.246387223782268,-0.279789917235046,0.364246428531021,0.830878159599632,0,-0.00918892870648588,0,0,0,0,-0.572225741763814
NEO,0,0,1.02419277619852,1.08573764628679,0,0.987832880233795,0,-0.552865279728033,0.392837342698131,0,-0.237674287151172,-0.119745684222983,0,0,0,0,0,-0.0590734850533399
BV010082.Index,0,0,0,0,-0.0242560029498495,0,0,0,0,0.00455087015369645,0,-2.16840434497101e-19,0.0308297488109436,0,0,0,0,-0.0441871927850234
CVIX.Index,0,0.0514411560501774,-0.0116855344642191,-0.0468072677145872,0.0965376471992827,0,0,0.0172101136173886,-0.0213340905045502,-0.0758336978667757,-0.00279512671290275,0.0355409596733055,0.0313351351952081,0.869878871664902,0,0,0,0.152231443715008
DXY.Curncy,-0.00403882671725717,0.00742532369619267,0,0.0181325677832551,-0.00210168060738832,-0.00157572977408247,0,-0.00587854975742293,0.0071970157524064,0.0063845455665158,-0.0124381965570925,0.000503547976210576,-0.00700953004550119,0.17299120762328,-0.0841862975781576,0,-0.72085602303836,-0.00933405312241209
SPX.Index,0,0,-0.00378194212911796,0.00348815258058229,-0.00495594749151886,0,0,0,0.00087609774201204,0.00651980771963462,-0.0023317627857209,0,0,0,0,0,0,-0.0399835332126349
VIX.Index,0,0,0.167445396821543,0,0.214538121218165,0,0,-0.159739336994023,0,0,0,-0.0540315483040264,-0.0411390144249844,0,0,0,0,0
