,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,ZEC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0339032704075114,0,0,0,0,0,0.0187080274309266,0,0.0147835216293473,0,0,0,0,0
ETH,0,0,0,0,0.0588188228572278,0.395140562598096,0,-0.0629391019753209,0,0.0527362479492374,0,0,-0.028467486232867,0,0,0,0,0
XRP,0,0,0,0,-0.109395982523322,0.176312370602641,0,0.0968077252646469,0,0.350090309309636,-0.0968966541303376,-0.340110584990518,-0.0276246666824031,0,0,0,0,-0.0217727079988262
LTC,0.662605264953271,0,0,0,0.0533391679835791,-0.0155137455485789,0.119001760117276,-0.00202816711538021,0,-0.103395223069686,1.0842021724855e-19,0.00972558169549309,0.00312445532307323,0,0.0309903484940423,0,0,-0.019942456792176
ETC,0,0.000347531674056057,0,0,0,0,0,0,0,0,0,0,-0.0513038091510813,0,0,0,0,-0.236598051449452
XMR,0.6230495255099,0.704053991924604,0,-0.986616795557029,-0.0835616074733284,0,0.365186288427986,0.318982099964844,-0.462764060924592,-0.187174729689095,-0.082127432229659,-0.188186777579583,-0.0208576527217442,0,0.0804345990133413,0,0,-0.190302287107967
DASH,0,0,0,0,0,0,0,0.148436720443143,0,0,-0.0839712806591237,0,-0.114821451836935,0,0,0,0,0
XEM,0,0,0,0,0.148291670686904,0.543431538282023,0,0,0.37562017295474,0.162831343510758,0.0871016732347602,-0.119163410416772,-0.0178310027205918,0,-1.29946244864071,0,0,0
DOGE,0,0,0.0534962017613304,0,0,-0.126390629124359,0,0.0888916175094256,0,0,0,-0.0116552012227164,-0.00984108741174414,0,0,0,0,0
XLM,0,0.381038204253504,0.248217909704299,-0.773919616647943,0,0,-0.782894722299177,0.45335873786037,0,0,-0.0603425686892716,0.222988795621746,-0.0909148945920581,-0.598328173442575,0.68749967726834,0,0,0
NEO,3.79242500188745,4.58652161181508,-1.01494851387266,-2.43397451905116,-0.244116605291036,-3.24185553915285,-0.637374198986814,0.936444218836664,0,0,0,-0.789872737512458,-0.247784191770099,0,-0.744358303777017,0,0,1.27649738083867
DGB,1.29859749938521,-0.746249471397437,0.249519831614158,0,-0.279960900045316,0,0,0.160168088399106,0,0.23836562750277,-0.0690504760202784,0,-0.133140986411703,1.8065877984029,0.413780571751465,0,0,-0.0858808416938726
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.105913840630429,-0.0264909187339564,0,0.0783936919352881,0.129751820111816,0.0864386989875851,0,-0.0121763461203718,0,0.0163944826851976,0.12402499899523,0.0217605043509617,0,0.306636477977051,0,0,-0.00599789291773887
CVIX.Index,0,0,-0.265722438940947,0.389142281002545,0.0335549498613626,0.26418115800735,0,-0.20226800379427,0,0.244142965398027,0.0568770240181667,-0.0802986834979127,0.00406838821327295,0,0,0,0,0.0240901990959989
DXY.Curncy,0,0.0231739299554429,-0.00746213532175331,0,-3.3881317890172e-21,0,2.71050543121376e-20,0,0,-0.00881489091863226,0.00025829472363966,0.0209170971133222,0.00181886450780133,0.0712330696599618,0,0,0,-0.0284815744662003
SPX.Index,0,0,0,0,0,-0.0356794206389289,0,0.028210190483875,0,0.00813476190634515,0,0,-0.00179016993483348,0,0,0,0,-0.0519950387379762
VIX.Index,0,0.0152555928638531,0,0,0,-0.305739516216496,0.268905810738048,0.123715352814199,-0.735482943937339,-0.200393219978787,0.0514475106362503,0,-0.011156575191403,-2.99292295498306,0.708251245715518,0,-5.17196319820921,0
