,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.409563291345883,-0.108068199354388,0.0226320948044969,0,0.162614792628969,-0.0560356373053342,-0.0806655755107595,0,0.129990336463626,0.143745947643158,0,0.0768010267772811,0,0,0,0,0.0780390514388087
ETH,0,0,0,0.534614962642992,0.11158697332172,0,0.292372324502543,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.274114300128912,0,0.0902702599244513,0.0606251944722087,0.214929044880511,0.0476364123163773,0.1889848331609,0,0,0,0,0,0,0,0,0,0
BCH,0.235056561814032,0.553676103024054,0.261034717864924,0,0,0,-0.211760947518842,0.0491854529288878,0,0,0.147415283111755,0,0,0.0153051912261385,0,0,0,0,0,0.044716931244988
LTC,0,0.481852252357257,0,0,0,0,0,0.110419327338137,0,0.102068153273567,0.0819439901365533,0,0.0677913589216791,0,0,0,0,0,0,0
EOS,-1.37945015976521,0,0.35949585710778,0,0,0,0,-0.30765344259383,-0.15011610396513,0,-0.176388179365341,1.02623929384438,0,0.190425468796295,0.876895406202148,0,0,0,0,0
ADA,0,0,0.425496058833415,-0.57140409130594,0,-0.080959972692211,0,0.372609912559872,0,0.228772324948173,0,0.221829982897874,0,-0.0334389145945483,0.417339634561719,0,0,0,0,0.10808142246945
XLM,0.91598963828246,0,0,0.108247893449121,0,0,0,0,-6.93889390390723e-18,0,0.170592373235203,0,0,-0.0623704872350846,0,0,0,0,0,-0.0395344922408192
MIOTA,0,0,0.403515786643904,0,-0.30440777907755,0.018869217068241,0.333766175421825,-0.170201150506026,0,0.0771610761694315,0.318331798396968,0,0.18153772827093,0.0819186877014737,0,0,0,0,0,-0.0420326711186207
NEO,0,0,0,0,0,0,0.27271057228118,0,0.0708624237559021,0,0.115420872397752,0,0,0.0315719957044693,0.426014007480999,0,0,0,0,0.077454221432255
XEM,-0.145665656898102,0.375890214715996,0,0,0,-0.109279061239865,-0.0666578415348856,0.507618304027176,0,0.0959284036425491,0,-0.518061222314097,0,0.0740064037016874,0.806378729993606,0,0,0,0,-0.0165598704073061
XMR,0.206248294754479,0,0.245496012412548,0.0912621232562039,0.0686168538208667,-0.0232456645562338,0.162166234470229,0,0.11612824000674,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.00931981918352764
DASH,0.315184629423028,0,0,0,0,0.00917712606751033,0,0.0195182717717558,0.224667821903488,0,0.209355910901971,0,0,0.00639035343390436,0,0,0,0,0,0.229680294790255
TRX,0,0,0,0,0,0,0,0,0.583045049640453,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.155615022160446,0.329478237007331,0,0,0.0307073449287817,0.206611980413354,0,0,0.0489221590962404,0,0,0,0,0,0
BV010082.Index,0,-0.0278070179328084,0.150736149166916,0,-0.105960882327239,0.0129619267142706,0,0,0,0,0,-0.133271545067211,0.109885543234239,-0.040217139603471,0,0,0,0,0,-0.0548337372929567
CVIX.Index,0,-0.0514804041711268,0,0,-0.0423287803121738,-0.0228544711085695,0,0,0,0.00297216249459943,0,-0.00993379592818173,0.168124383144175,-0.0396967074299507,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.0849047056498816,0.0125973190676713,-0.00710342231599295,0.00907114444166465,-0.0168422033833647,0,0.0125828503315337,0.0229248693497735,0,0.0340916611968202,0,0,0,0,0,0,0
SPX.Index,0,0,0.0372572313232718,0,0,0.0215114170816104,0.0478440851033427,0.0205166637784251,-0.0681925079468065,0,0,-0.0749451206400966,0.00316983552488479,0,0,0,0,0,0,-0.120378279205747
VIX.Index,0,-0.139283468831343,-0.0391770800213586,-0.0577407179243784,0,0,0.233942566825317,0,-0.732141300411098,0.414184357296771,0,0.0743410109721868,0.515026333702005,0,0,0,0,0,-3.64125280663185,0
