,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,XMR,DASH,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.226898696706687,0.210138645940983,0,0.114268590653395,0,-0.110171967161964,0.228559939044378,0,0.0305715979869649,0.312296963136029,0,0,-0.0930849391173971,0,0,0,0,0
ETH,0,0,0.112660776784437,0.0414602955694205,0.114386763184009,0.144049515393015,-0.040529055689348,0.151255180006786,0.024825503761143,0.252596533936874,-0.0712116372766489,0,0,-0.0413064310609018,0,0,0,0,0,0.0843176459453273
XRP,0.184067294227474,0,0,0,0.171513826951438,0,0,0.0373699862888863,0,0.151592490151878,0,0.158849421018937,0,0,0.0790776971811496,0,0,0,0,0.0290332398358206
BCH,0,0,0,0,0.259563958276775,0.496613293543485,0,0,0,0,0,0,0,0,0.0118009785000263,0,0,0,0,0
LTC,0,0,0.068222145566074,0.335899538305737,0,0,0,0,0,0.222896940664969,0,0,0,0.246099260875934,0,0,0,0,0,0
NEO,0,0.539284847776816,-0.0474324099327748,0,0.0844488037765616,0,0,0.110503996203123,0,0.28567648044233,0,0,0,0.0764397358949145,-0.119696964072781,0,0,0,0,0
ADA,0,0,0.399762861257207,0,0,0,0,0.3028463218018,0,0,0,0,0.143779603364481,0,0.00550603635489009,0,0,0,0,-0.045055830318325
XLM,-0.471630746844871,0.31091496718416,0.500398636293041,0.281421981769135,-0.122141414940933,0.18869454492454,0.185940864375425,0,0,0,0.377606394587674,0,0.0123516903580795,0,-0.044230126792603,0,0,0,0,0
EOS,0.163819776403754,0,0,0,0.128720872347946,0,0,0,0,0.0255005463327199,0.201607407152006,0,0.067773835819179,0.246148897466726,0.0728801108289259,0,0,0,0,0
MIOTA,0,0.824908552844207,0,0,-0.000315723324948281,0.00386055613203758,0,0,0.407473390294856,0,0.100950622921362,0,0.0605099590031374,0,0,0,0,0,0,-0.0835723325870646
XMR,0.617697694315407,0,0,0,0,0,0,0,0,0.300367598086505,0,0.0858199520404553,0,0,0,0,0,0,0,0
DASH,0.236677255229838,0,0,0,0,0,0,0.274891837948835,0,0,0.247038176287984,0,0.00707619582121553,-0.0642620946234762,0.095690492832564,0,0,0,0,0
XEM,0,0,0,0.00971086393899708,0,8.67361737988404e-19,0,0.333971429991041,0,0,0,0.267864097599182,0,-0.048051902102571,0.237740301075861,0,0,0,0,0.0220767003867827
ETC,0,0,0.392828074152326,0,0.0746350066568577,0,0,0.0650687568007042,0.87544443788115,0,0,0,-1.248602478456,0,0.428366215934355,0,0,0,0,0.0693462813869741
TRX,0,0,0.515620928890163,0.0757934055828127,-0.216868996382386,0,0,0,0.241035521731984,0.314087318176862,0,0,0.176697939251995,0,0,0,0,0,0,0.132225240307779
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.0387172172100799,0.0800937220375999,0,0,0,-0.0167516933932222,0,0,0,0,0
CVIX.Index,8.67361737988404e-19,0,-1.73472347597681e-18,0.121620947338372,0.0626801617031775,-0.0102325701583132,0,-0.108364099400517,-0.368543517813831,-0.00204896192935569,-0.0502947174987095,0.210399621171645,0,0.01642029860838,0.0726299931419438,0,0,0,0,0.0315226342783975
DXY.Curncy,0,0,0,-0.0264497362230029,-0.0285966910244887,2.16840434497101e-19,0,0,-0.00185251242871725,2.16840434497101e-19,0.00821870294894973,0.026786170307333,0.0281889602064288,-0.00204794271094119,-0.022927743830415,0,0,0,0,0.024831185982857
SPX.Index,0.0716877281736127,0,-0.0543423935244271,0.0658311446534406,0,0,0,0,-0.0867121941768459,0,0.0223418956668636,0,0.0603649237618392,0.0229611930362614,-0.0643126864021436,0,-0.137865517025869,0,0,-0.0472946470996753
VIX.Index,0,0,-0.317653334741123,0,0,0.135011084004345,0,-0.209356101048835,0,-0.4515997540273,0.459702140651254,0,0,0,0.361590649780808,0,0,0,-4.79696904499935,0
