,BTC,ETH,BCH,XRP,LTC,DASH,XMR,NEO,XEM,MIOTA,ETC,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.110662075633872,0,0.308456465918551,-0.0635852030453797,0,0,-0.0621427539833074,-0.28464219830899,0.0766457423973808,0,0,0.20460445665028,-0.0280597047878057,0,0,0,0,0
ETH,0,0,-0.0707175421360472,0,-0.0727378207803525,-0.0476832203744453,0,-0.0507365799526,0.0737615670206557,0.220562982467041,0.078081454255921,0.20813636300068,0.115385634423908,0.0592322786577364,-0.159884787484201,0,0,0,0,-0.119869712476896
BCH,-0.536358577210577,0,0,0,0,0,-0.329033517874049,-0.570147755973285,0,0.623639496054533,0.168497889166173,0,-0.163835715539449,0.414838007067065,-0.18670822917577,0,0,0,0,-0.563902830896797
XRP,0,0,-0.020963097169517,0,0.259554920474013,-0.073181947200315,0,0.0925547743000468,0,0.0809062699888085,0.00845786119727903,0,0,0,0,0,0,0,0,0.0187643968855675
LTC,0,0,0,0,0,0,0,0,0,0,0.0837605896674926,0,0.109280494254148,0,0.0556277430794944,0,0,0,0,0
DASH,-0.282556175083068,0,0.105657788849788,0,0,0,0.546832863371339,-0.114387299707801,0,0.553059909075017,-0.622420871095569,0.595104760214546,0,0,-0.773810490331971,0,0,0,0,-0.0207378814396045
XMR,0,0,-0.19625020714279,0,-0.334532747989976,0.105966158894556,0,0,0.108470352057867,0.322227800561831,0.0695680482599283,0,0.0619073798754984,0.145288269583012,0,0,0,0,0,-0.258252567940294
NEO,0,0,-0.125736814204366,0,0,0,0,0,0,0.129537863791403,0,0,0.106108760366995,0.0873805587749487,0.0935452304816078,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0.18898857953066,0,0,0.267539450178759,-0.0232761230578745,0.218569673909025,0,0,0,0,-0.365222455785038
MIOTA,-0.0686006905723699,0,0.348378553340119,0.618105676938465,6.93889390390723e-18,0.180027470802619,0.326322432359349,0.439430596650925,0,0,0,0,0.0936682043306817,0,0.335010340409257,0,0,0,0,0.214020650707518
ETC,0,0,0.21769037082162,0,0,-0.43510279336584,0,0,0,0.265194192270633,0,0,0.0986018260121689,0,0,0,0,0,0,0.11387483974212
ZEC,0,0.700149151358487,-0.0880962696238814,0,0.0386384579848787,0.537740035040819,-0.0965705201206228,-0.111864477107879,-0.284362240842019,-0.09041521057727,0.15159717383457,0,-0.0170092269995953,0.0251997768576952,0.42243349416762,0,0,0,0,0
ADA,0.517428352063413,1.01088202167703,-0.0376503104438581,0,0.551248181127273,-0.0858834289966204,0,0.476767141478778,0,0.399820089677839,-0.129689311231976,0,0,-0.481772232281866,0,0,0,0,0,0
EOS,0.685880340909,0,0,0,0,0,0,0.425196977952482,0,0.37930173284586,0,0,0,0,0,0,0,0,0,0
XLM,0,0,-0.205190357161718,0,0.80205757033658,-0.310273113501212,0,0.213333643778305,0.433362315296734,0.4411067181045,-0.172549575737115,0.0966390745800001,-0.362433909946572,0,0,0,0,0,0,0.0392318915158742
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286647493254572
CVIX.Index,0.185312082565703,0,0.27169345627765,0.483618881510385,-0.236045471423239,0.0600025487273522,0.123110864941984,0.1545080844179,0.175201028908872,-0.386762305962314,-0.0395946542064543,0.136424156974191,0.0944846863505165,-0.0792734398234836,0.0638899014547646,0,0,0,0,0.177828472182632
DXY.Curncy,0,0,0,0.0165935664617121,0,-0.00573238866466242,0.00723114020422772,0,0.0275038262378827,0.00808238004972954,-0.0091582455256035,0.00703121715988498,-0.0143833972605438,0.000999783295080053,-0.00768638626563155,0,0,0,0,-0.0048905919866734
SPX.Index,0,0,0,0,0.0124258724158002,0.00393885458084938,0,-0.00405201731762158,0,0.0124253407163563,-0.00524284734717815,-0.0133791781266419,0,0.000757300103329446,0,0,0,0,0,-0.0478619155682569
VIX.Index,-1.73472347597681e-18,-0.188580210221914,-0.296757385245995,-0.351467047527289,0,-0.0624908025138905,-0.278132406083151,-0.366536775851693,-0.967871074508206,1.0436879148224,0,0,0.123710887351519,0.0161320305337934,0,0,1.37980958723215,0,0,0
