,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.409251945955018,0,0,-0.0728301070572846,0.0626245407154536,0.0432710633887026,0.21328967072558,-0.049637980504869,0,0,0,0.0488675009263122,0.0608668964821798,0,0,0,0,0,0.179926091947343
ETH,0.523595792775934,0,0.239048601079142,0.0556883459276834,0.27754362970919,0,0,0,0,0.138507760941413,0,0,-0.140408761676657,0,0,0,0,0,0,-0.0201378515537219
XRP,0,0.163611380269012,0,0,0.0926016446616653,0.134784110657691,0.115073941191781,0.190823932185488,0.208356325343652,0.127387340189095,0,0,0,-0.0081762579099168,0,0,0,0,0,0
BCH,0,0.509004737901645,0.0554809146915616,0,0,0.0262245236863192,0,0,0,-0.128178839745157,0.147931957721145,0.27043105993983,0.129414261295784,0.0307052584846771,0,0,0,0,0,0
LTC,0,0.459358237192736,0,0,0,0.0710546922479259,0,0.164783377356484,0.0637878637071538,0,0.0848331556530068,0,0,0.0764206306784295,0,0,0,0,0,0.0688160287907485
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0.285896638535816,0.0770852654567878,0,0,0,0,0,0
ADA,0,0,0.972988739670811,-0.455932817461708,-0.250903942185891,-0.118645628067101,0,0,0,0.225751746337332,0,0,0,-0.0973113740423808,0.660773035933541,-1.75845872933112,0,0,0,-0.0689881967734756
XLM,0,0,0,0.047929031726188,0,0,0.0222868561917413,0,0,0,0.954814549655691,0.180978628685185,0,-0.154620291184191,0,0,0,0,0,-0.118475710207852
NEO,0,0,0,0,0,0,-0.0212131268674678,0,0,0.138525101555744,0.145179183417474,0,0,-0.0210974973158802,0.895636769337599,0,0,0,0,0.0374548691836955
MIOTA,0,0.331890037951976,0.0703554467626722,0,0,0,0.197255824600661,-0.105493760737289,0.112718213100943,0,0,0.476557572587178,0,0.0538342307378735,0,0,0,0,0,-0.161322682725899
XMR,0,0,0,0.321166266353868,0.275275702119389,-0.0288548247402965,0,0.143689665373301,-0.0185659091120886,0.128365800532871,0,-0.288434447766588,0.453935064477798,0,0,0,0,0,0,-0.0016164166753449
XEM,0,0,0,0.24534654150099,0,-0.0472312527015921,0,0.557938088897199,0.182131815630729,0.142382548953484,-0.570258497032537,0,0,0.120075825993714,0.303505289234017,0,0,0,0,0
DASH,0,0,0.138833189554074,0,0,0,-0.0398893669271445,0.12912962412978,0,0,0,0.165390159788467,0,0.092769705533037,0.433964181411669,0,0,0,0,0.157722847806621
TRX,0,0,0,0.142734913600758,0,-0.0647165955572496,0,0,0,0,0,0,0.862320281196925,0,0,0,0,0,0,-0.232511505633125
ETC,0,0,0,0.0450812578715635,0,0.141323866427524,0.0373765320449968,0,0.0602483016989383,0.139971892279751,0.267314459734592,0,0.185585663832118,-1.73472347597681e-18,0,0,0,0,0,0
BV010082.Index,0,-0.0547682282287542,0,0,-0.0566527285927924,0,0,0,0.0125296893665571,0,0,0,0.0640375051236224,-0.0119116698217511,0,0,0,0,0,-0.0450606692816237
CVIX.Index,0.0711708414615509,0,0,-0.161372714801106,-0.0112068730710466,-0.0223921478861559,0.0881046561245245,-0.0416481250804291,0.0782641772942156,-0.124048846481384,0,0.118831564626733,0.23542381866711,-0.0200960750078121,-0.224284292902302,0.257077065186351,0,0,0,-0.0362068245890944
DXY.Curncy,0,-0.0394965422393106,0.031454032427166,-0.0364082752986346,0,-0.013750770914779,0.00413227553892599,-0.0220029847296886,0.0056474494908855,-0.00181837652069457,0,0.0149242366750978,0.0332077563461813,0,0,0,0,0,0,-0.0134120089994286
SPX.Index,0,0,0,-0.0165561476221194,0,0.0284700996027336,0.0249444886331519,0,0.0263324315361017,-0.0775318637118193,0,0,0.0294496538524676,0.00148275256241502,0,0,0,0,0,-0.141716062678113
VIX.Index,0.190592960292629,0,0,-0.508383716123288,-0.0401767255535136,0.0487596976234226,0.341922656473261,0,0.396602351830065,-0.789682543784858,0,0.0733047893523353,0.396245631254187,0.0636938360001972,0,0,0,0,-4.20563314818612,0
