,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0823274133367276,0.161307670907969,-0.0183079548501061,0.341163982412499,-0.0559623405572017,0.424049473435685,-0.119603263893142,-0.178307341480827,0.0979722249949751,0,0.0331964306122168,0.0336531703721819,0,0,0,0,0
ETH,0,0,-0.0583766333183669,0,0,0.0904007083733168,0,0,-0.0224673220986211,0,0.169972984950297,-0.0133965023014727,0,0,0,0,0,0
XRP,-0.483586844514019,-0.390654592799601,0,0.159631885020623,-0.371993241029135,0,0,0,0.208275246434288,-0.155608147817051,0.188018401773752,0.179697318115741,0.0786118630492466,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.0218229432119525,4.33680868994202e-19,0.241185913467482,0,-0.0473199419471379,0,0,0,0,0,0
LTC,0.72553832223115,-0.0685575560177028,0,0.0992793119439256,0,0,0,0.157143679285853,0.158195550548678,0.108500343306495,0,1.0842021724855e-19,0.246479112069023,0,0,0,0,0.117570824553451
ETC,0,0.32671505198957,-0.123028785326991,0.109850739261438,0.00741119457269044,0,0,0,0,0,0,-0.0514064809722832,0.29242226326967,0,0,0,0,0.108742250292501
DASH,0.326172875294812,0,-0.0465899258611779,0,0,0.138791190524284,0,0.145218136140672,0.0658525830549992,-0.0427144323752,0.340935315854467,-0.0076459755850672,0,0,0,0,0,0
XMR,-0.456657114171104,0.325744346939081,0,0.245294158011455,0.318574081391434,-0.204328325845902,0.773135488647494,0,0.0494625530703068,-0.105176463018442,0,0.0640047482513711,-0.147672406387223,0,0,0,0,-0.087496772065593
XLM,0,0,0.698657042555326,0,-0.662090688005278,0.455386295092307,0,0.582706079458067,0,0.174528877518705,-0.3101133877981,0,0,0,0,0,0,0
DOGE,0,0,0,0.334698478018942,0,0.159160479755359,0,0,0.152109406382616,0,0.344427602765642,0.0341762788726942,0.0476690643458503,0,0,0,0,0
ZEC,0,0.353989796502204,0.00456508899287716,-0.125109194555992,0,0,0,0.357884205546922,0,0.117093605321667,0,0.0157999457599667,0.108908507427845,0,0,0,0,0.0941376500363877
DGB,0,0.268929748079134,0.211931134759857,-0.49802638634119,-0.0946039589426076,-0.0555193132481142,0,0.426664767331736,0,0.895159805638654,-0.47124505860504,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0131905789302001,0,0.435460012447664,0,0,0.200613538167045,0.0460964603039794,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0259824310742059,0,0,0,0,0.0118476293895596,0,0.00199507672757601,0,0.0301897847619644,0,0,0,0,-0.0353969690302976
CVIX.Index,0,-0.097003526204518,0,0.0356294999372026,-0.124260487748067,0.0727434911351274,0.0956934524932193,0.0203548323875191,0.0145631764662438,0,0.0121604993604632,0.0282299942386021,0.0161658863830788,0,0,0,0,0.0535286866445259
DXY.Curncy,0,0,0,-0.00735398479196902,-0.00987315312195772,0.0224958894898352,0,0,0.00559620110110219,-0.00761327744502647,0,-0.00310205769671949,-0.00516294050619501,0,0,0,0,0
SPX.Index,0,0,0,-0.00949103574149518,0,0,0,0,0.00275844501588297,0,0,0.00387400506935754,0,0,0,0,0,-0.0280303475297586
VIX.Index,0,0,0.0925360721469975,0,0,0,0,-0.146497082066116,0.035463611908876,0,0,0,0,0,0,0,0,0
