,BTC,ETH,BCH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.181233302605831,0,0,0.313976171880127,-0.462729319381014,0.219967892526549,0.143303910354966,-0.0669829666340481,0,0.438917678272625,-0.209141967905065,-0.404680999184544,0.453522448048491,0,0,0,0,0
ETH,0,0,0,0.706846075150317,0.0399679564476494,0,0.131438034021077,0,0.105483011967628,-0.162391203491039,0.206838398797418,-0.0921299390570037,0.299633691140125,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21405210963015,0,0,0,0,0,0
XRP,0,0.564562630637484,-0.145100809915323,0,-0.0967949327662268,0.223271445764221,0,0.116503598226924,0,0.0488972397108337,0,0,-0.217030235489819,0.104344630452038,0,0,0,0,0,0
LTC,0,0,-0.0709457751030563,-0.123089159550918,0,-0.0787404981337801,0.399377701401948,0,0.0584531629422736,-0.0185413123989363,0,0.209071722459122,0,0,0.0982476620022755,0,0,0,0,0
XEM,0.788913360420205,0.466402716606655,0,0,-0.547793564879742,0,0,0,0.108909995192688,-0.000620474212725197,0.439646463109694,0,-0.317757249187778,0.727603071306781,-0.566049645487813,0,0,0,0,0
ETC,-0.0412175976085788,0.325580242130436,0.0465141315894974,0.119109348751361,0.439234733336822,0.0754107323802056,0,0,-0.0508996424310685,0.232533147063039,0.0363601127648376,0,0,-0.176368403709279,-0.10996757462376,0,0,0,0,0
DASH,0.13554916025241,0,0,0.178652759652937,0,0.0309910448547501,0.294308965138453,0,0.1194146541072,0.100121555485924,0,0.106449117165015,0,0,0,0,0,0,0,0
MIOTA,0.46414228351214,0.624870349567006,0.164480621265553,0.536446155684388,0,0.0873987768642483,0,0.165889344073448,0,0,0,0,-1.38777878078145e-17,0,-0.639923656963221,0,0,0,0,0
XMR,0,0.0561673293554572,0,0,0,0,0,0.459599166439431,0.0389689553084943,0,0.0413888495552909,0,0,0.268651354478669,0.130781715956819,0,0,0,0,0
EOS,0,0,0,0,0,0,0.386665711151,0,0,0,0,0.247472785721099,0,-0.00514203709161242,0.406086601233896,0,0,0,0,0.248654025444307
NEO,0,0,0.0688116685532356,0,0.672204388286123,0.221780572952666,0,0,0,-0.126139143579314,0,0,0.350597448767476,0.226766700606774,0,0,0,0,0,0
ZEC,-0.143239323409474,0.695177006054298,0,-0.562725096583124,0,0,0,0,0.0432930230227452,0.263324446136959,-0.0904077122539383,0.373644004213866,0,0.0512722796974364,0,0,0,0,0,0
XLM,0,0,0.0621499969856545,0.240655808870483,0,0.158835879650758,0,-0.687988822900424,-0.188274502851714,0.791299697294218,-0.274751140168862,0.554261145896837,0.316181782061202,0,0,0,0,0,0,-0.509575175389637
DOGE,0,0.064602441100743,0,0.279079530903706,0.183157191890512,0.164282879641521,0,0,-0.0891296733107578,0.281774887083865,0.116357099673774,0,0,0.0562820613305532,0,0,0,0,0,0
BV010082.Index,0,0.015205039465515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0.0123162054635603,0.0174933807009605,0,0,0,-8.67361737988404e-19,0,0,0,0.0333157084743227,-0.0566608947189619,0,-0.0205563884213506,0.00627270418684901,0,0,0,0,0.142277661733157
DXY.Curncy,0.0337762101515106,0,0,0,0,-0.0105558407194026,0.0332304261280864,0,0.0103565067710716,0,-0.0123265362167129,-0.0300861091099991,0,-0.00498209797173791,0.00157135723081249,0,-0.0308912540095524,0,0,-0.00514056631108625
SPX.Index,0.0101073920683335,0,0.00159425852981973,0,0,-0.00435991838302319,0,0,0.000703082312112148,0,0,0,0,0,0,0,0,0,0,-0.0256372540236722
VIX.Index,-0.0822937594682915,0.0659108593119818,0,0,0,0.0845448984532108,-0.37479322725935,-0.0285528922541522,0,0,0.16998783401512,-1.0842021724855e-19,0.1602762911727,-0.282743895301306,0.153544475368845,0,0,0,0,0
