,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0.0173323152755608,0,0,0,0,0,0
ETH,0,0,-0.0521007327809711,0.150630961064406,-0.0302268498879997,0.219779417320587,-0.0696065378664543,0.547102348964271,-0.26841916861632,-0.142643414647893,0.262165898963173,0,0,0.611755838614241,0,0,0,0.197632377828403
XRP,0,0,0,-0.057425820984229,0.302427353759098,0,-0.189178524918807,0.575704808682956,0,-0.0727918508301161,0.305491461222166,-0.0958660304757961,-0.285046286708956,0,0,0,0,0
LTC,0,0,0.0832309088162741,0,0.217836322801011,0,0,0,0,0.590355637315587,0.399423499818018,0,0,0,0,0,0,0
DASH,-0.21014286625942,0.524996116446713,0.275460609099523,0.109089254331743,0,0,0,-0.1831949179299,-0.0474560431501562,-0.322590933848252,0.589971595397921,-0.129372050353942,0,0,0,0,0,0.335776545757356
ETC,0,0,0,0.116073069909469,0.117240395152862,0,0,0,0,0,0,-0.0234070444821243,0,0,0,0,0,0
XEM,0,0,-0.34742287775647,-0.11919865016388,0,0.418115209581573,0,0,0.732645728704422,0,0,0.20793163529129,0.151330252521675,0,0,0,0,-0.335465098190486
XMR,0,0,0.175696410646206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,3.46944695195361e-18,0,0,0,0.169778616187572,0.386842658509029,0,0,0.0975712636729346,-0.00570560519247098,0,0,0,0,0,0
DOGE,0,0,0,0.463091697947215,-0.0743751832268564,-0.0531299483881389,0,0.765602395615047,0,0,0,0.0805582352188122,0,0,0,0,0,0.138941709452216
XLM,0,0.243389842852829,0.0312965318391922,0.277329469554433,0.147777649534012,0,0.230788599952311,0,0.460855892602605,0,0,0,0,0,0,0,0,0
DGB,0,0,0,-0.10468756292974,0,0,0,0,0,0,0,0,0.630559596626112,0,0,0,0,-0.742848560700743
NEO,0,0,-0.355192860957224,0.0538207095463668,0,0,0.086768725047996,0,0.138977419934656,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.0177434108213501,0,0,0,0,0,0,0.0217605912323068,0,0,0,0,0,-0.068651177507679
CVIX.Index,0,0,0,0,0.0267399775943225,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0231752598195152,0.0162798705222345,-0.00481589915188548,0,-0.0252696606567058,-0.011569286839976,0,0,0.0128331101748612,-0.012476789730321,0,0,0.101983625999733,0,0,0,-0.00696037500029713
SPX.Index,0,0.030988359243994,0.0204345118957003,0.00441433648215105,-0.0222224819807532,-0.000510470503607733,0.0118822234800248,0.0104902940542822,-0.0397438245551987,0,0.0111451347243407,0.00313672513909365,0,0,0,0,0,-0.0333759624234152
VIX.Index,0,0,-0.236413893999406,-0.188054203099905,0.129880575309859,-0.241971527610102,-0.181175559905823,0,0.266052392780092,0.287466919074524,-0.222390876490601,-0.0641026932594741,0,0,0,0,0,0
