,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.231182025870781,0,0,0.0197264222756841,0.209855875260546,0,0.218080578056042,-0.0363045543736484,-1.38777878078145e-17,0,0.191204138293396,0,0.37350853672569,0,0.246490407707593,0,0,0.0745155992913365
ETH,0,0,0,0,0,-0.0740906718003618,0.276014503496685,0,0,0,0,0.110050878594598,0.220419509581534,0.261061900245019,0,0,0,0,0,0.0471803364226328
XRP,0,0.199978850776462,0,0.665539104863945,0.447519562394816,0,0,0,0,0.333377535521091,-0.404673286222458,-0.153274656551104,0,0,0,0,-0.430283166152531,0,0,0
BCH,0,0,0.122967242984416,0,0.131753489554633,0.0624321164973177,0.000653694233677178,0.272952210202986,0.231043475247065,0,0,0.0308598370365588,0,0,0,0,0,0,0,0.0745497375459229
EOS,0,0,0.343649272922526,0,0,0,0,0,0,0,0.278095841374424,0,0,0,0.341267491481241,0,0,0,0,-0.0524112512247017
XLM,0,-0.141593091731998,0,0,0.0434345006484168,0,0,0.162910111973898,0.313702505687816,0.0857080325046227,0,0,0,0,0.412072831972944,0,0,0,0,0.0391253608422469
LTC,0,0.170351725809908,0.0157685052464295,0.313689532769054,0,0,0,0,0,0.257096431996129,0,0.0340622188651428,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0601364644822179,0,0.414981146601128,0,0,0.0215936998044635,0.086320634864134,0.306874277112705,0,0,0.107406023662074,0,0,0,0,0,-0.0703512506272679
XMR,0,0,0,0.174037326032644,0,0,0,0.173370712949159,0,0,0,0.0972225367707444,0,0,0.460363720688037,0,0,0,0,0
MIOTA,0,0,0.626402451838556,0,-0.835033299575164,0.428704573398402,0.194705177394883,-0.346535485720982,0,0,0.513347184030578,0,0.144485318486201,0.476384491855484,0.0972169178631245,0,0,0,0,0.0212343281375901
TRX,0,0,0,0,0.0444799182881179,0,0,0.47589333924123,-0.0855108113789498,0,0,0,0.115904277575984,0.500515140438203,0,0,0,0,0,0.100156177427288
ETC,0,0,0,0,0,0,0,0,0,0.40609248184236,0,0,0,0,0,0,0,0,0,0
DASH,0,0.406498139387865,0,0,0,0,0,0,0.439365552819105,0.0868238582444934,0.277973289552965,0,0,0.0884176053759297,-0.504643249119727,0,0,0,0,-0.0933031290529692
NEO,0,0.622933490690967,0.178879802279952,0,0,0,0,0,0,0.133829147942053,0.260932590257254,0,0,0,0,0,0,0,0,0.0916441611211227
XEM,0.944261058080247,0,0,0,0.159923206717754,0.238903649801091,0,0,-0.0601334914035278,0.0230500294860628,0.0290074971538834,0.0167801525718934,-0.296945282275699,0.196600006737363,0,0,-0.16414888467385,0,0,-0.190846405121778
BV010082.Index,0,0,0,-0.00242660366108407,-0.0537840402554308,-0.01872998487858,0,0,-0.0340838592137482,-0.0548466379830367,0,0,0,0.0865158335940735,0.132505924477717,0,-0.0610538953654647,0,0,-0.0500715522135367
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00755004216313431,0,0.00829755367052374,0.00613442583994893,0,-0.0355326541542226,0.00706082292564044,0,0.010281196402354,0.00962791279858844,0,0,0,0,0.0349090698402753,0,0,-0.0180106204025218
SPX.Index,0,0,0,0,0,0,0,0,-0.0145427090037305,-0.00386342055966284,0.00297569536393198,-0.00157218379125255,0.0030205989478051,0,0,0,0.0371959200260312,0,0,-0.0663492606172792
VIX.Index,0,0.0186700800380446,0,0,0,-1.73472347597681e-18,0,0,-0.056234834403155,-0.0865512024664071,0.299739386218543,0,-0.369133420832064,0,0,0,0,0,-7.52829724283771,0
