,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.105494937986667,0,0,0,0.0138469791120603,0,0.280041231366478,0.263767672722048,0.094164654672924,0,0,0,0,0,0,0,0
XRP,0,0,0.122078584150241,0.136800886781759,0.0914952774176906,0,0.209224651408661,-0.0369524785170005,3.46944695195361e-18,0,0,0,0,0,0.0395710077676734,0,0,0,0,0
ETH,0,0.182762530656542,0,0.0783958365350926,0.00191902530729939,0.0962622993010394,0.32329111362045,0,0,6.93889390390723e-18,0.12645522665999,0,0,0.312177936845762,0,0,0,0,0,0
XLM,0.473669223180612,0.433221667651526,0,0,-1.38777878078145e-17,0,0,-0.0456611244588111,0,0,0,0.416514281992867,0,0,0,0,0,0,0,0
BCH,0,0.542176995879277,0.312944651595,0,0,0,0,0.0728809929764348,0,0,0,0.117376834910223,-0.464500372106043,0.643794354151673,0,0,0,0,0,0
EOS,0,0.4877471121568,0.542483147468258,0.10718682473148,0,0,0.0756163351120096,-0.00418777914798952,0,-0.118053682550374,0,0,0.302401099012972,-0.411760690601577,0,0,0,0,0,0.00390187254969343
LTC,0,0,0.0347867211456609,0,0,0.23137989464903,0,0,0.346718944208575,0.0894695816842548,0,0.038441890402319,0.152911997202177,0,0,0,0,0,0,0
BSV,3.96775759378238,-4.8095582232452,0,-2.13188332997789,1.92002146212162,0.234119103050615,0,0,0,5.55111512312578e-17,0,0,1.32197319283498,5.55111512312578e-17,-1.41110535357074,0,0,0,0,3.46944695195361e-18
ADA,0,0,0,0,0.163841300737539,0,0,-0.0231654187751414,0,0.320739766564073,0.218381198149451,0.143321228341091,0.137095802044892,0,0.0447779680673317,0,0,0,0,0
TRX,0.0189734282496757,0,0,0,0,0,0,0,0.5169564457695,0,0.184683781541898,0.126322657787905,0.139075232765732,0,0,0,0,0,0,0
XMR,0,0,0.681214761027792,0,0,0,0,0,0.162503399005129,0.131947839053614,0,0,0,0,0,0,0,0,0,0
MIOTA,0.243166023768221,0,0,0.249031476916233,0.055338929299262,0,0,0.0408519592326042,0.380656107065308,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0349834708986805
DASH,0,0,0.324346064767144,0,0,0,0,0.0142618473990053,0.433043047886191,0.100675161893956,0,0,0,0.120029718245121,0,0,0,0,0,0.0894910564934515
BNB,0,0,0.338136818633011,0,0.131144111974352,0,0,0.00122954464271775,0.102179809997004,0,0,0,0.315382319308191,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.21861729425642,-1.73472347597681e-18,0.122957460176663,0,0.0710451855232055,0,0.371260401207604,0,0,0,0,0,0,0
BV010082.Index,0,-0.111088253334503,0.227425583544542,-0.130729023057219,0,-0.0120114868758543,0,0.00130539291262349,0,0,0,0,0,0,0.0572815819391298,0,0.0565305752173766,0,0,-0.0126102573005891
CVIX.Index,0,0,0,0,0.0146037567735411,0,0,0.00847322297652489,0,0,-0.0582971950708528,0,0,0,0,0,0,0,0,0.106044672506581
DXY.Curncy,-0.0171994441647737,0.0268447035264525,0.0127608451868461,-0.0253315583752582,0,0,0,0.00516931131173157,0,-0.0138129816040409,0.0262933908052211,0,0,0,0,0.128879440997462,0.0589803855168584,0,0,0.00361541041536199
SPX.Index,0.00199247023136921,-0.100292648354819,0,0.030689392221644,0,-0.0286183548620101,0.0689673023279991,-0.000210759679424564,0.0491429756087923,1.73472347597681e-18,0,0,0,-0.0503467428633135,0,0,0.14936030087931,0,0,-0.132897272618481
VIX.Index,0,-0.953299618196387,0,0,0,0,0,-0.0536060418276343,0,0,-0.343550623236266,0.548935783175268,0.883871320406579,0,-0.314501362533754,0,0.0178505039465289,0,-3.30455070929932,0
