,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,ETC,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.137768536501362,0,0.316928309036757,0,0.0189478136912845,0,0,0,0.160251192031997,0.0539270546888782,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.114569283350664,0,0.202971974530603,0,0,0.152812542943529,0,0.203381075453695,0.16726928666088,0,0.0823299082065001,0,0,0,0,0
XRP,0,0,0,0,0.43091406425799,0.0549569120149666,0,0,0.268392261720504,0,0,0,0,0,0,0,0,0,0,0
BCH,0.00950385558420591,0,0.026230030012701,0,0.234661972467456,0,0,0.0469058472771278,0,0.295750974592098,0.209051552136976,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.295752083258107,0,0.0308413659077757,0,0,0,0.387852590466058,0,0.158761899176281,-0.0890906787366638,0,0.374020289776447,0,0,0,0,-0.197203785383355
XLM,0,-0.064246392994748,0,0,0,0,0,0.150912219580869,0.0729142016523686,0,0.721312373524374,0,0,0,-0.0647296724494126,0,0,0,0,0.212897989686059
LTC,0.210677837313012,0.497044557823023,0,0.0823694148256256,0,0,0,-0.0266681984953297,0.175962069742062,0,0.108464650273373,0.0068630899195733,0,0,-0.148158240065958,0,0,0,0,0.0298726902573937
ADA,-0.385370497170782,0,0,0.408204034145403,0,0.236438376514018,0,0,-0.222747469347663,0.333258272847288,-1.0842021724855e-19,0.192500133196852,0,0.121975054937193,0.105661758705046,0,0.0972334099168247,0,0,-0.185693261261623
MIOTA,0,0,0.535835727258333,0,-0.506588227789048,0.365394534328971,0.253974344210378,-0.567196923529361,0,0.270935170046881,0,-0.107696703423892,0.381626124591075,0.680967258105664,0,0,0,0,0,0.194828533686961
TRX,0.172936698663836,0,0,0,0.131882422223981,0.0727774100867823,0,0.271919300675824,0.000389886497869859,0,0,0,0.44214343109356,0.0471948537173302,0,0,0,0,0,0.164994424500092
XMR,0.477294061766485,0,0,0.304758739691816,0.113451918587872,0.0570784382445084,0,0,0,0,0,0,0,0.196532598726984,0,0,0,0,0,0
ETC,0,0.116367745274024,0,0,0.88867991696152,0,0,0,0,0,-0.290316986440706,0,0,0,0,0,0,0,0,0
DASH,0,0.403929000381088,0,0.114956359375212,0,0,0,0,0.0668031923377288,0.180751816244446,0,0,0,0,0,0,0,0,0,-0.086081370665684
NEO,0,0.274525464055126,0.392644138832956,0,0,-0.0703539816444414,0,0,0,0.294167301741907,0.122734789755689,0,0.0526638588018387,0,0.0933586020181226,0,0,0,0,-0.0477635792024091
BNB,0,0.118598833416208,0,-0.891268649969974,0.947712894652215,-6.93889390390723e-18,0,0.346732040170101,0.0860344980838173,-0.514780690434758,0.000814910885422607,-0.276747338428772,0.291981718023905,0.305970339932248,0,0,0,0,0,0.32975751352423
BV010082.Index,0,0.161215485903764,-0.0239003324523714,0,0,-0.0237769067384471,0,-0.0642266094686373,-0.0257152410957627,0,0.00472888226670299,-0.0846497102066803,0.0610831571757039,0,0.069246323580703,0,0,0,0,-0.0206694942318333
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0.0790955779614241,0,0,0,0,0,0,0,0.0832609850500065
DXY.Curncy,0,0,0,0,0,0,0,0,-0.00138153194375298,0,0,0.0124635781108938,0,0,0,0,0,0,0,-0.0154281312427851
SPX.Index,0,0,-0.00770330249910165,0,0,0,0,0,-0.000211832805945066,0,0,0,0,0,-0.0102990674931406,0,0,0,0,-0.0532858225944451
VIX.Index,0.721866459031964,-0.41160567358042,0,0,0,-0.0504587033003043,0,0,-0.156418543543372,0.663744713939199,-0.676044461701085,0,0,-0.344245803505137,0.675921618209159,0,0,0,0,0
