,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.205922948229452,0,0.0397922885366204,0,0,0,0.0223444157136557,5.42101086242752e-20,0,0,0,0,0,0,0
ETH,0,0,0.153045158226879,0.521438668522192,0.522526745513068,-0.197913857061778,-0.462789962052737,0,0.0652514007712429,0.385321722302581,0.0627587131175119,0,0.284055505964254,0,0,0,0,0
XRP,0.161825943351823,0.0267685526500021,0,0,-0.11531602830221,0,0,0,0,0.0152828967000119,-0.060107212580785,0,0,0,0.283282926489056,0,0,-0.26162272601416
LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.599842141033293,1.17505625712132,-0.447563906552277,-1.09806635661049,0,-0.0413781544317219,1.19794750413698,0,-2.715962780247,-0.571220679091019,-0.023766451324182,-0.999589361172619,0.705122202230305,0,0.0211783090703158,0,0,-0.33257892223002
ETC,0.670486430153028,0,-0.819032797241855,0,0,0,-0.156813575734932,-0.144865981469955,0,0.00251251914096967,-0.0785089459499397,-0.0976185814778849,0.311023624703389,0,0.0299247407500438,0,0,6.93889390390723e-18
DASH,0,0,-0.176446058443741,0.242552951448597,0.154033236500411,0.0037525100702711,0,0,0,0.133594679238149,-0.0528168926275583,0.268187908343477,-0.0977583632158849,-0.418088764986616,0,0,0,0.117098841074236
XEM,0,-0.163935599283337,-0.0752809702173906,0.70733235317013,-0.108215685377009,-0.268053547511499,0,0,-0.844981527120906,0.0731845614789141,2.16840434497101e-19,-0.307166212375696,0.921246986755941,-0.500190350003264,-0.115925540413881,0,0,0.189163088804068
DOGE,0,0.0684152322010206,0.0861548560005707,0,-0.0778297930485576,0.0678942782610358,0.147224800362213,0,0,0,-0.00555195076096408,0,0.102682015285953,0,0,0,0,0.139862401386353
XLM,0,0,-0.26468160883637,0,-0.0462316872399149,0,0,0,0,0,0,0,0,0,0,0,0,-0.587927938251222
ZEC,0,0.321848439492504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0.0595846957192612,0.175266017238227,-0.195842602646124,0,-0.270368313311915,0,1.19665955401501,-0.198743586185718,0.250094024810174,-0.228897127359795,-0.172026582526312,0,0.670156562140438,0.667895100481924,0,0,0,-0.41992849348916
DGB,0,0.273126657713704,0.145612160062553,-0.64547249286819,0.163943655765291,0.128806318140119,-0.212071573225636,0.349749863690394,0.176004003944484,0,0,0.681993408786374,0,0,0.336918725640913,0,0,0.123379080288678
BV010082.Index,0,-0.062769714474311,0,0,-0.0333530697849912,0,0,0,0,0.0188854159078055,0,0.111865123421268,0,0,0,0,0,-0.0798464297489988
CVIX.Index,0,0.0404179286929218,0,0,0.0964049681814605,0.0675784010053216,0,0,0,-0.0977660954945673,0,0,0.00708407125019809,0,0,0,0,-0.124625800134765
DXY.Curncy,-0.0958844190796878,0.00269588202181899,-0.00357247531184017,-3.46944695195361e-18,-0.0215857427890909,0,-0.0343873759493018,0.011527772743633,0,-0.00150128767152695,0.014145995124771,-0.0343332289349723,0.0198580725322775,0.124721706413076,0.121359331628492,0,0,0
SPX.Index,0,0,0,0,0.00696709469170784,0,0,0,0,0,0.00259547025141574,0.0166135682657384,0,0,0,0,0,-0.046268619221491
VIX.Index,-0.182110787761287,-0.0632000926021131,0,0,-0.164871633658126,0.204647745040955,0.723474068458346,0.139251428734302,0.0970221319363769,-0.321455038387192,0.0247184817174217,-0.532110063743488,0.0245813835181533,-0.216699164605567,-0.58594703076932,0,-1.00446431061779,0
