,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.428309808510958,0.0226545439774132,0.0236452916620574,0,-0.0365786783569772,0,0.155444152352037,0.0480811124414139,0.0756476722670091,0,0,0,0,0
ETH,0,0,0,0,0,0,0.305608674481516,0,0.154447755788121,0,0.132934936776903,0,0.15295817199878,0,0,0,0,0,0,0
XRP,0,0,0,0.0479335749369571,-1.38777878078145e-17,0,0.0436260962022667,-0.0176936023014121,-0.034197123565714,0.207194814421615,0.128951297976546,0.114429876751368,0.0427237422249246,0,0.0959120976434377,0,0,0,0,0.0804055399518349
BCH,0,0.408099201362041,0,0,0.046646998131315,0,0.302504732274747,0.285698823630711,0,0.0810604924401516,0.233491615487232,-0.288941361939564,0,0,-0.283773902839722,0,0,0,0,0.110551693068016
LTC,0,0,0,0,0,0.119002597310111,0.226752313565604,0.103470004180648,-3.46944695195361e-18,0,0.564695684876943,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.15188362912096,0,0.31830055953263,0,0,0,0,0,-0.0596285030189037,0,0.283092366297454,0,0,0,0,0
XEM,0,0.120590780159256,0,0.146928830586829,0,0.254451472515395,0,0.0298128745900495,0,0.136558421527531,0.249499435663673,0,0.11415478553266,0,0,0,0,0,0,0
NEO,0,0,0,0.812915160972749,0,0,-0.216264293076442,0,-0.799195355203818,-0.446543437013781,-0.110020027035044,0.563786334313341,0.748691266051978,0,0.651752023198272,0,0,0,0,-0.726527863144923
MIOTA,0,0.530844204452972,-0.97733500852898,0.443537163337438,0,0,0,-0.537977348353762,0,-0.484522999661917,0,0.652589145110353,0.5448411696331,0.0685626613121921,0.400119302375229,0,0,0,0,-0.449048054796551
XMR,0,0,0,0,0,0,0,0.133295564677236,0,0,0.497766116713868,0.0976978554250527,-1.73472347597681e-18,0,0,0,0,0,0,0
ETC,0,0,0,0.0158327617251246,0.894344562727883,0,0,-0.100851340526238,0,0,0,0,0.315192884867795,0,-0.0487738438508571,0,0,0,0,0
ZEC,0,0.817483607837438,0.025437790355979,-0.212469932294299,0,0,0,0.168567694193941,0,0,0,0,0,0.0526578387891801,-0.11995426659684,0,-0.980082403755653,0,0,0.304009948748933
XLM,0,0.311278623586544,1.04376187754772,-0.304544784717666,0,-0.641513859837582,0,0.125720039572538,0.0478996580125498,0.228990539053078,0.272555615819834,-1.73472347597681e-18,0,0,0.145793287930231,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.108854094535645,0.170960950588047,0,0,0.447643428386818,0,0,0,0,0,0,0,0
BAT,0,0,0,-0.306363650345879,0,0.380800794617921,0,0.363521525434967,0.0369762844607338,0,0,0,0.324944241296378,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0423102716676013,0,0,0,0.00329296655919459,0,-0.097469854448098,0,0,0,0,0.0318287740711745,0,0,0,0,-0.0702602383558745
CVIX.Index,0.201591273407575,0,0,0,-0.0399943275936808,-0.0356921502679746,0,0.0866716127102028,0,-0.00991209362958888,0,-0.180521332587879,0,-0.0760369130046444,4.33680868994202e-19,0,0,0,0,0.122368801580268
DXY.Curncy,0,0,0,0,0,-0.0190223105323682,0,0,0,-0.016773475594331,0.0109619909795457,0.00280637694605237,0,0.020670809526633,-0.0119962052222825,0.159833071165113,0,0,0,0
SPX.Index,0,0,0,0.00561185488813235,0,-0.00790764699362134,-4.33680868994202e-19,0.00357031184414741,0.00100461361174849,0,0,-0.00757821337712236,0,0,0,0,0,0,0,-0.0332397276786766
VIX.Index,0.135165007270164,5.42101086242752e-20,0.150457159423828,0,0,0,0,0.0108440894077908,-0.00124792239679404,0,0,0.191346982818492,0,-0.318057107148532,0,-0.805621002293684,0.0430496976331019,0,0,0
