,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.16888781480911,0,0.0275824064183204,0,0,0,0,0.0632676782896385,0,0,0,0,0
ETH,0,0,-0.0361711402422243,0,0,0.0353418580739247,0,0,0,0.199644259234199,0.0258051880357217,0,0.0816986314855251,0,0,0,0,0.0888953062468098
XRP,0,-0.404515178472331,0,0.0480356142097337,-8.67361737988404e-19,-0.347992407141909,0,0.256794443515947,0.193976476601416,0,0,0.0850294475531611,0.108949054568537,0,0,0,0,0
XEM,0,0.211863780446959,0.0243469052764175,0,0,0.146150085848156,0.0655954550433169,0.243994686042343,-0.0955714857826112,0,0.169679209644022,-0.0189819219952811,0.0654279508974486,0,0,0,0,1.31849661825185
ETC,0,0.692873131821422,-0.0826252752297541,0.176786998909112,0,0,0,0,0,0,0,-0.037139248141096,0.0439849944178805,0,0,0,0,0.000761250734297038
LTC,0.752222625086711,-0.108604721440508,-0.189712952612753,0.109818503405465,-8.67361737988404e-19,0,0,0.100682741252196,0,-0.0887504573313541,0.0756802980904955,0.0373756309697214,0.154500135127602,0,0,0,0,0.170670357521703
DASH,0.417489417444649,0.230223123191403,0,0.0967251822339076,0.160854242960981,0,0,0.214840095833063,0.0971104178300039,0,-0.0854054674541273,-0.00742786019847294,0.052498820924288,0,0,0,0,0
XMR,-0.216624282484042,0.0915632775419069,-0.212740213218274,0.347411233537474,-0.251038412618877,0,1.02241424587262,0,0.0639817937266629,-0.139643154399688,-0.0588819932072421,0.087726953110814,-0.152072166705667,0,0,0,0,-0.231801177782895
XLM,0,0,0.596554634062952,0,0.423706438774605,-0.554344119076741,0,0.536418485432232,0,-0.28442640249159,0.196466890633711,0.0359417887595173,-2.77555756156289e-17,0,0,0,0,0
ZEC,0,0.322384181864112,0,-0.137894206393245,0,0,0,0.375564211001435,-0.00624118168372947,0,0.144687484155227,0.0243321056143613,0.12623067252868,0,0,0,0,0.125055441661071
DOGE,0,0,0,0.35343143204357,0,0.0192348754553409,0,0,0.144852852386591,0.327862033560733,0,0.0312869404556691,0.167857625662099,0,0,0,0,0
DGB,0,0,0,-0.713447122810493,0,0,-0.581813360433709,0.634610154355301,0,-0.238189819604187,1.05026343484039,0,0.0803471282774206,0,0,0,0,0.158816687456129
NEO,1.33327442473914,0,0,-0.052889351438653,0.671728246390862,0.17113501787918,0.800293773213869,-0.16823122137978,0,-0.0495570086606009,-0.166166311586692,0.117718166356001,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0279094417914953,0,0,0,0,0.0120201011548259,0,0,0,0.0301397218248161,0,0,0,0,-0.0362275558426202
CVIX.Index,0,0,0.0250420348786804,0.0547727250155196,0.00501170720970041,-0.0924947925950828,0.0794597538733942,0.0231920551829057,0,0,-0.000757046410574818,0.0297934205302552,0.0581020235084812,0,0,0,0,0.0823523254839339
DXY.Curncy,0,0,0,-0.00642351354024599,0.0198413226440374,-0.00508298813889788,0,-0.00455480873489414,0.00795107185196731,0.00704844769052626,-0.00812102880183864,-0.00290706847413933,-0.00464246709425052,0,0,0,0,0
SPX.Index,0,0,-0.00371740964050178,-0.00700246569788692,0.00335107778943766,0,0,0,0.00732067431108958,0.00598713494467518,-0.00489168665329714,0.00332534880505771,0,0,0,0,0,-0.0337195667731013
VIX.Index,0,0,0.122139273409286,0,0,0,0,-0.135123648273732,0.0331909133908388,0,0,0,0.0150888241261686,0,0,0,0,0
