,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.224979547096322,0,0,-0.00586203257130197,0.237514561702313,0.167007212151525,0.145213302601478,0.100029901263382,0.0192992079307063,0,-0.190653435255526,0,-0.217536382501199,0,0,0,0,0,0
ETH,0.0274163424923696,0,0.421270762738746,0,0.145004245318526,0,0,0,0.163155531971109,0.0239559804654662,0,0.413827748780522,0,-0.0212049643092533,0,0,0,0,0,0
XRP,0,0.165634108511555,0,-0.170236335680423,0.148093339038262,0.215655961906314,0.285499343682017,-0.0137779279941181,0.11075600041255,0,-0.118168152794825,0,0.202439403309828,0.0885774500189846,-0.0329907712696656,0,0,0,0,0
LTC,0,0,0,0,0.182811599564369,0,-0.0949354874607296,0.149385189311262,0,0.107699076236474,0,0,0.044689632877776,0,0,0,0,0,0,0
ETC,0,0.419646247189113,0,0.211041091478246,0,0.17387674608264,0.0362299769072955,0.0130190374997498,0,-0.00799320830761699,0,0,0,-0.156152210135504,0,0,0,0,0,0
DASH,0.500879133129741,0,0,0.14693775180736,0,0,0.104906474371844,-0.0229878745798177,0.140355891085728,0.0166851027808073,0.246299362978288,0,0,0,0,0,0,0,0,0
XEM,0.290914211919048,0,0.680575561488996,0.412314395464856,0.206014291820492,0,0,0,0.172095202000218,0.0632098554990706,0,-0.238911522256581,-0.22191321640056,0.0572514749392186,0,0,0,0,0,0
MIOTA,0.0575419761118803,0,0,0,0,0,0.859402546703264,0,0,-0.162329653405425,0,0.509802627692623,0.122508917629973,0.322044257723162,0.0129032356923806,0,0,0,0,0
XMR,0.205806162206961,0.096845361432023,0,0,0,0.20806067034029,0.105337782565357,0.0343834997605032,0,0.0232629588567632,6.93889390390723e-18,0,0.135208689725369,0.123836246350006,0,0,0,0,0,-0.111801470962925
EOS,0,0.394746556961992,0,0,0,0,0.383166337339812,0,0,0,0,4.33680868994202e-19,0,0,0.378433461723568,0,0,0,0,0
NEO,0,0,0,0,0.375151447861337,0.460095562529527,-0.114241757347036,0.201884997021172,-0.106478603519846,0.0246519898141817,0,0.309726774719999,0,0,0,0,0,0,0,0
ZEC,0,0.174034385229698,0,0,0.162847388340036,0,-0.519730968904403,0.329943839079191,0.140265463263756,0.0978926567199679,0.301183282547242,0,0.0955411348000847,0.0574937772475761,0,0,0,0,0,0.290114360821
DOGE,0,0,0.511739230894587,0,0,0.297533251051773,0.0673599494472003,0,8.67361737988404e-19,-0.0787722952091151,0.0399383483569618,0.0648109382779751,0,0.0511247049002044,0.0687583316197619,0,0,0,0,0
XLM,-0.181630030772545,0.0727234473522302,0,0,0,0.304431926327757,0.078884386643849,-0.0100162909421408,0.0851021954171983,0,0,0,0.135618994022182,0,0.386674723158642,0,0,0,0,-0.564362147497043
DGB,0,0,0,0,0,0,0,0.167124053012341,0,0.0544542397034086,0,0.349683588503567,0.153981540393099,0.393450004847953,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0523715029766566,-0.0168332055629119,0,0,0,0,0.00126357660559844,0,0,0,0,-0.0093008323556735,0,0,0,0,0
CVIX.Index,0,-0.00816573101897661,0,-0.0646601404998225,0.0128745311472497,0,0.0146404243750268,-0.0262064346447631,0,0,0.0371614450690395,0.147832071429435,0.00801459360037553,0,-0.0688172646759895,0,0,0,0,0.0540738582736335
DXY.Curncy,0.013242336338082,0.0112852428093814,0,0.0242089620170411,0,0,0,0.00532803791744726,0,0,-0.0207060529560619,0,0,-0.0135881248903014,0,0,0,0,0,-0.0293865490579275
SPX.Index,0.00412619333828846,0,0,0,-0.00590788501121944,0,1.35525271560688e-20,0.000115889460398919,0,0,0,0,0,0,0,0,0,0,0,-0.0495892019953824
VIX.Index,0,0,0,0,0.165656262288116,0,0.077365680105768,0,0,0.0320786116429082,0,0.0274918842635099,0,-0.42272195311724,0.138155497515565,0,0,0,0,0
