,BTC,ETH,XRP,LTC,EOS,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0103612561896923,0.0158058561496992,0.165632340013418,0,0.0711616345953175,0,0.0889010161402976,0.0604134301726231,0,0,0,0,0.0207773807803664,-0.0372498385168357,0,0,0,0,0
ETH,0,0,0,0.0708210854487186,0.093202852136612,0.230164848977014,0,0,0.0147102039324,0,0.408126936681137,0,0.0325015297059668,-4.33680868994202e-19,0.0349308033769375,0.111189982026214,0,0,0,0.0108492850828925
XRP,0,0,0,0.00548968683224673,0,0.223466309614214,0.00278723870689093,0.279147368558588,0,0,0,0,0.11514318314765,0.0802069529382079,0,0.169004704998128,0,0,0,0.0361432285322984
LTC,0,0.953052520506178,-0.160256796622906,0,0.424324932377454,0,0,0.0580063921589267,0,-0.120686845522803,0,0.13637527560503,0,-0.150646118817633,-0.378808953332712,0,0,0,0,0
EOS,0,0,0,0.403920371277158,0,0,0,0,0.0285514829626837,0.180751498673528,0,0,0,0.128686307384904,0.0703374185876204,0,0,0,0,0
BCH,0,0,0.480935409306417,0.10859206186027,0.0662858642809322,0,0.000504705839427161,0,0.0776962135655259,0.255753243558807,0,0,0.194288017459339,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.140655996644348,0,0.340070496803356,0.0540567681989278,0.139860937372173,0,0,0,-0.122879542432199,0.101085724135531,0,0,0,0,0
XLM,0,0.170108854522013,0.180899899971147,0.0682124715792387,0,0.0356910667683759,0,0,0,0.113962264899692,0,0.0283452375859873,0.261751645023062,0.239154754844667,0,0,0,0,0,-0.138201556282218
BNB,0,0,-0.625121783489724,0,-0.109959754055032,0,0.592587132826454,0,0,1.34089264224668,0.677740342240853,0,-1.0862807513866,0.585366314205419,-0.0928423709712886,-0.705016905627047,0,0,0,0
BSV,0,0,0,-0.161921231189277,0.258899113327713,0.379784857603588,0.143509233140473,0.385485539009673,0.0205187850189837,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0
ADA,0,0.675963818502377,0.191906752324023,0.0443037869967747,0,0,0,0,0.0300901025763127,0,0,-0.054423931088962,0,0.107593550993643,-0.0143282669954013,0,0,0,0,0
XMR,0,0,0.0594252640400036,0.0167533932576828,0.558517911094435,0,0.0444512845646613,0,0.0971509415939891,0,0,0,0,0,-6.93889390390723e-18,-0.601802701046765,0,0,0,0.121518461357552
MIOTA,0,0.546323566369072,0,0.0373618574872481,0,0.100214673724651,0,0.136371332377773,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.482539131984426,0,0,0,0,-0.187950941713798,0.122849181921825,-0.0463518372574509,0.40151823399249,0,-0.0178677489234952,0,0,0,0,0
MKR,0,0,-0.414189205762307,0,0.62133915854402,0,0,0,0,0.390804412368327,0,0.131995473716994,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0536412764908454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.0205612717002472,0.0609911971892858,0,0,0.0576437708548126,-0.0851106654293025,-0.0287932598631704,0,0,-0.0630666334000275,0,0,0.0243517383720138,-0.217612261603119,0,0,0,2.16840434497101e-19
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,-0.025491438888901,0,0,0,0.00416515216315842,0,0,0,0,1.0842021724855e-19,0,0,-0.0465598243807688,0,0,-0.0838199114877754
VIX.Index,0,0.227774175204788,0.193224869744794,0,0,0.172488517538341,0,-1.31396120282058,-0.36107763747984,0,0,0.742603955008632,0.542533772300674,0,0.146928755421236,0,-0.569725425549007,0,-3.40022837976729,0
