,BTC,ETH,LTC,XRP,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-1.73472347597681e-18,0.250857928897186,-0.0613636640436611,0,-0.0273571166020203,-0.0354645126274296,-0.0846741416662653,0,0,0.0261392312864251,0.0308444942997357,0,0,0,0,0,-0.0208769797134494
ETH,0,0,0,0.0140254927696153,0,-0.398137294317923,0.469196589350672,0,0,0.0646855085299884,-0.150755861485565,0.197303504151708,-0.0410620263121593,0,-0.549009866687653,0,0,0
LTC,1.517416206686,0.391569692893796,0,0,-0.274155506706186,-0.00919430853604093,0.0283414482989627,0.343334520852443,0,-0.0494549938520159,-0.0124012050666884,-0.121553403399681,0,0.186578237050082,0.125449595490889,0,0,0.208896552545524
XRP,0,0,0,0,0,0,0,0,0,0.0895089217155978,0.0135598241851719,0.00513667159167642,0.0419441029750463,-0.191734723842408,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0.110540371755136,-0.0834008183486498,0.324476015298435,0,0,0,0,0.177255982478606
ETC,0,-0.383171994691261,-0.310430534716156,0,0.399706083593608,0,0,0,0,0.0681923465831307,-0.0910867559409678,0.125246792014265,0.116020192206472,0.610701232195239,0.331797159506403,0,0,0
DASH,0,-0.101181890065974,0.30800937446718,0,-0.0149000717471734,0.382038312077411,0,0.416853697945351,0,0.150373073822604,-0.0631669305131353,0.0599598144249565,-0.366079811316541,-0.623888235344545,0,0,0,0
XEM,0,0.322781905043692,-0.111911419357596,0,0,0.0931515079401919,0.362070079532988,0,0,-0.0309572358184889,0.307386763576132,-0.119028506788639,0,0,0.950018567692031,0,0,0
DOGE,0,-0.0663300881874944,0.141210694031834,0,0.0238022789458308,0,0,0,0,-0.0326651233845756,-0.0335169551201637,0.0238515041340093,0,0,0.104005199104536,0,0,-0.14929505011758
XLM,0,0,-0.519000214054296,0,1.11897436668534,-0.824638575583005,1.70270067811561,0,0,0,0,0.264429690007912,0.808034914595076,0,0,0,0,-0.0990768582994135
ZEC,0,0,0.556577676518265,0,0,-0.111783956197221,0,0.270571774780135,0,0,0,0.214371289643746,0,0,0,0,0,-0.0463142544960404
NEO,6.02553826987526,0.820295227593526,-1.89822915076014,0.262067406269919,-1.43253344747669,0.387839814184292,0,-0.25430391662269,1.2923201201966,-0.0860075191549056,0.0726183416198818,0,0.495640402492814,-0.189342170592211,0.664146439772752,0,0,0.552089141606456
DGB,0,0,0,0,0.485760404181177,0.0677502566065764,0,0,0,0.0537567448970187,-0.188086823155178,0.266209055098277,0,0,0,0,0,0.167833034775545
BV010082.Index,0,0,0,0,0,0.0565787204876059,0,0,0,0,0,-0.0249954301235904,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0.0697118233064224,0,0,0,-0.041520851828128,-0.0265593061083957,-0.018576457571231,0.102799556748278,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0.0113341558977149,0,0,0,-0.00716857280636524,0,0,0.0176426088710496,0,0,0,0,0
SPX.Index,0,0.0130089280987105,-0.00741794161493533,0,0,0,0.0021048654074453,0,0,0,0,0.00615530845225891,0.0221794779177291,-0.0654464694507014,0,0,0,-0.0117224790830667
VIX.Index,0,-0.545770755664542,0.0937682817594908,1.09107096293469,0.321645701846083,0,0.104657577027571,0,0,-0.137584839663609,-0.0719230798518239,0.122846600838956,0,0,-0.175876886782804,0,0,0
