,BTC,ETH,BCH,XRP,LTC,DASH,ETC,NEO,XMR,XEM,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.2248693187075,-0.185771415775846,0.238998566794708,0,0.0645242843386346,-0.299463362855738,0,-6.93889390390723e-18,-0.198492371419788,0.0415642375784044,0.138968620678359,-0.170657449174018,0.254696386327498,0,0,0,0,0.0633452778777483
ETH,0.157480617838659,0,-0.0156375836030651,0.149344185707588,-0.180435329197633,0,0.182594500745469,0.0359582862134429,-0.0270002076150188,-0.0897782140041482,0.123229552989831,0.170560963445906,0.107792700393529,0.0225404244916969,0.0283365965435532,0,0,0,0,-0.166385520095845
BCH,-1.05791901386827,0,0,0.148566565573228,0,0,0.361418787597978,-1.0511842245974,-0.22410037714053,0.125281939718147,0.575635269730153,-0.0782002457786652,0.272959300275381,-0.598738052784191,0.553553941530611,0,0,0,0,-0.380570574102568
XRP,0,0,-0.0255790572084543,0,0.277567269283546,0,0.065169890765326,0,0.0346613240378475,0,0,0.0106138289179524,0,0,0.0117964572019594,0,0,0,0,0
LTC,0.163421716305183,0,-0.0938113790723277,0.118060340575732,0,0,0.121776777985252,-0.300627912745009,-0.0333120147350727,0.15221429058998,0.204429951750636,0.0754673809135906,0.15816761427692,-0.0723841595092519,0.0405519120807443,0,-0.0847095084794517,0,0,-0.0674596204114805
DASH,0,0,0.046835773058895,0,0,0,0.0792113380180852,0.145398919042982,0,0,0.0832542895054703,0.0311253396876759,0,0.061666912094443,0,0,0,0,0,0
ETC,0,0,0.164606670138681,0,0,0,0,0,0,0,0.104629783551834,0.122781979521993,0,-0.0544713870194208,0,0,0,0,0,0
NEO,-0.662540857550591,0,-0.280022972336597,0,0,0.161295430135081,0,0,0,0.336582100963583,0,0.0189853257831038,0.306110578840091,-0.279512739450529,0.268210636734901,0,0,0,0,0.156604892043636
XMR,0,0,-0.147414213869926,0,-0.270265593113556,0,0.138229117257345,0,0,0.108012560931404,0.316727448181459,0.0924177118454635,-0.114130325553878,0.0472025493311108,0.153904864416672,0,-0.349162252585849,0,0,-0.198739778780187
XEM,0,0,0,0,0,-0.35400050966458,-0.0298180448539057,0.273196056448688,0,0,0.285743437903313,0.254689602291204,0,0.0265604340089345,-0.0377024929821956,0,0,0,0,-0.329503372155788
MIOTA,-0.286600585178214,0,0.321879537264534,0,0.298882462475829,0,-0.0956954258275854,0.74160048526637,0.409697848379293,0,0,0.0804457982356755,0,0.171480503457572,0,0,-0.0618561253369064,0,0,0.261499029308329
ADA,0.381582007669578,1.02743313623858,0,0,0.593615164488029,0,-0.119811323039858,0.436995333377511,0,0.133996251442108,0.272365301617165,0,0,0,-0.464105632417487,0,0,0,0,0
ZEC,-0.0933028179390266,0,0.0866825638473413,-0.0884496925626699,0.656050517935138,-0.391079306429717,0.104974210358659,0.364521690157237,0,-0.19889211466605,0,0.00965657461976933,0,0.316362059015747,0,0,0,0,0,0.0472518823192383
XLM,0,0,-0.252154122558453,0,0,0.199270895276285,-0.100475657784728,0,0,0.387772119928103,0.403956388336522,-0.273601025848015,0.365709109816745,0,0,0,0,0,0,0
EOS,0.975596277856479,0,0.15314873814178,0,-6.93889390390723e-18,0,0,0.520920869109157,-0.276476467143403,0.0734963063456311,0.296926090449215,0,0.112053147477881,0.24460230598315,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286647493254572
CVIX.Index,-0.0136767826315232,0,0,0,-0.0968614833190622,0,0.0228019826553962,0,0,0.0749385597091533,0,0.0445171926019602,0,0,-0.0137806486490711,0,0,0,0,0
DXY.Curncy,0,0,-0.00152536096579936,0.046765280839555,-0.0125192865706079,0,-0.0114802306900385,0.00190697255695075,0,0.0231898693522413,0.00798161609305396,-0.0118603285351082,0,-0.00662256752838639,-0.000389198234982988,0,0,0,0,-0.0189955245040392
SPX.Index,0,0,-0.0013325487477927,0,0,0,-0.00175580478717669,0,0,0.00673831829632424,0.0100444438366522,0,-0.0213808193878701,0,0.00152282141509485,0,0,0,0,-0.0458481510786825
VIX.Index,0,-0.557655920728496,0,0,0.11348262188289,0,-0.102746715145382,-0.0717377773636656,-0.0896106130880139,-0.415210106928915,0.672455750216377,0,0.351837345534166,-0.0823411707030663,0,0,0.971458186288008,0,0,0
