,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.427061108435315,-0.0525177275097425,0,0,0,-0.107134441444255,1.0842021724855e-19,0,0.0180487222402789,0.106201254763453,0,0,0,0,0,0,0
ETH,-0.477445236579383,0,-0.10238080450308,-0.0257186073029124,0,0.391914785893222,0,-0.217846952952551,-0.224896960367095,-0.131086670828418,0.301173412832504,0.103335025300226,0,0,0,0,0,0
XRP,0,0,0,-0.225546659311899,0,0.798583227836478,0,-0.387788947711263,0,0,1.60466929837694,-0.431464263131691,-0.491867772929938,0,0,0,0,0
LTC,0,-0.306711346359788,0,0,0.427694200871902,6.93889390390723e-18,0.99262290315695,0.154474328305555,-0.901752285013857,0.686000361723851,-0.018986041403204,0.204397123402837,0.218012982429625,0,0.371972975791387,0,0,-0.0758761697181753
DASH,-0.408325782595397,0,0,0.0918885089814698,0,-0.193609267384755,0,0,0.175948112234596,-0.273831018205779,-0.080335461254662,0,0.299669815055693,0,0,0,0,-0.144085769524895
XMR,0,0,0,0,0,0,0,0.0319560062110841,0.172330473202006,-0.089273320280391,-0.0169680252867278,0,0.0212415731804441,0,0,0,0,0
ETC,-0.108193936433031,0.246920889935899,0.020721472798885,0.34007541867728,-0.15941550839963,0,0,0,0.570018715790965,-0.271259345573174,0,-0.248936279183067,-0.0261576686744582,0,-0.654239883552067,0,0,0
XEM,0,-0.0417974444811912,0,0,0,0,0,0,0,-0.107708837864768,0,0.248186330435038,0.252581307228371,0,0,0,0,0
ZEC,0,-0.489120446654846,0,-0.345222917554539,0.18909162078028,0.0157150991687996,1.22905284733609,-0.0426695422668304,0,0.423302637940451,-0.0976636619112785,0.423076799623654,0.179756028372721,0,0,0,0,-0.0497369409192052
DOGE,0,0.913418257537476,0.136914921672695,0.440703853887179,0,0.0633565708091419,-0.577637431329962,0.00904631524057692,0.626307088134477,0,0,0,0.112536539665679,0,-0.843245920824663,0,0,0.129076010446468
XLM,0.066135420923785,0,0.39009773481393,0.255353839802849,-0.0871875293234804,0,0,-0.353543263041155,0,0,0,0,0.43248492690772,0,0,0,0,-0.289604577280491
NEO,0,0.0471035788223921,-0.133967860424822,0,-0.297424282472324,0,-0.155552755884951,0,0.370236613412687,-6.93889390390723e-18,0.21498055347005,0,-0.0300382926159587,0,0,0,0,0
DGB,0,0.206210451521788,-0.234827125678528,-0.106425779293221,0.301261609527704,0,0,0.404609365095989,0.302044979922054,0,0.371306981454909,0.362719739247135,0,0,0,0,0,0
BV010082.Index,0,0,0.000618791142171347,-0.0245971926923599,-0.00895022072757076,0,-0.0291602818846054,0,0,0,-1.0842021724855e-19,0,0.02394309404917,0,0,0,0,-0.109764531052926
CVIX.Index,0,0,0,0.0267200423086593,0.0509964710574911,0,0,0,0,0,0,0.0187420913567094,0,0,0,0,0,0
DXY.Curncy,0,0.00761090191046569,0.00208598687898889,0.00763831141384303,-0.0311834493701601,0.0137437720310427,0,0,0,-0.00388297999802778,-0.0105313087882008,-0.0225672147183659,0.00441507514997243,0,0,0,0,-0.0297304730109267
SPX.Index,0.0107603545462152,0.00955159018692268,0.00119381845902233,0.00373501111335492,-0.0194266331657688,0.00922291516439132,0,-0.000982110656468503,0,-0.00547427155034075,-0.00352564390354256,-0.0137731606076902,0.00651334394977146,0,0,0,0,-0.0509977026753703
VIX.Index,-0.00525732466775279,0.0411954733562504,-0.0214335395617803,0,-0.0604042684972965,0,-0.209398556125776,0,0,0.0262769847040846,0,-0.0857956139068836,0,-1.67472096011901,0,0,0,0
