,BTC,ETH,BCH,XRP,BTG,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ADA,ZEC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.633504085513674,-0.252255207599469,0,0.0520147925967175,0,0.293855346314833,-0.291198534242477,0.195433766537502,0.490985081909432,-0.220545367041668,-0.416400592477885,0.0070087291706077,-0.118665817678114,-0.4449139744788,-0.851476711303498,0,0,0,-0.210950957576808
ETH,0,0,0,0,0,0,0,0.170764427037203,0,0,0,0.132803497287239,0.114632246750789,0.0324721731866932,0,0,0,0,0,0
BCH,-0.13180697664478,0,0,0,0.165552089874743,0.214917222371048,-0.77473055313643,0,0.402575158504877,0,0,0,0.105446376589168,0,0,0,0,0,0,-0.756428460825049
XRP,0,0,-0.011800121925804,0,-0.00521565941189949,-0.0951810484055036,0.308450335719074,0.0337362593517594,0.0594455097689296,0.0628221504735285,0,0,0.0340378830598229,-0.0451583112387041,0,0,0,0,0,0
BTG,0,0,1.44372143542525,0,0,-0.167943285640642,1.46987635950948,-0.450103675459213,0,0.666139342810454,0.0866087952957187,0,-0.699217515031917,0.737353527918353,0,0,0,0,0,0
DASH,-0.780423451432133,0,0,0,0.0400409241986601,0,0,0.313504609703492,-0.0293643020014987,0,-0.462857644549058,-0.521393759637419,0.201398932151438,0,1.04741013172061,0,0,0,0,0
LTC,0.127777573352391,0,-0.097255056383131,0,0.00759945299945238,0,0,-0.0187245571697282,3.46944695195361e-18,0,0.157889894389348,0.18318150275011,0,0,0.146743409851005,0,0,0,0,0.102716916430929
XMR,0,0,-0.0370138099624431,0,0.0226731003470181,0.114788318878013,0,0,0.256877134085576,0.0548057101976625,0,0.448399654449249,0,0,0,0,0,0,0,0
NEO,0,0,0.258976754309661,-1.05118123211507,-0.115142385710394,-0.348133669399501,0.813374692835477,0.698748604516289,0,0,-0.222279752323201,-1.38777878078145e-17,0.282726150143221,0.0207692257530084,0,0,0,0,0,-1.38777878078145e-17
MIOTA,0,0,0.0246133787602137,0,0,0.0278430537843199,0,0.509895795331113,0,0,0,0,0.135441525833021,0.344148630736577,0.0398463913551549,0,0,0,0,0.58954968570665
ETC,0,0,0.0955616410431623,0,0.11040399740164,-0.405013564447461,0.174327425121725,0.275662717608628,0,6.93889390390723e-18,0,0,0.193464344508484,0,0.105563377526786,0,0.138367342860358,0,0,0
XEM,-0.0717432014505596,0.648580402238721,-0.0822629546420316,0,-0.0312186514130118,0.0821145593018997,0.136971647704038,0.0446627261168484,0.140003325441516,0.220404923572212,0,0,-0.0998139216728495,0.131979446398318,-0.318304027897137,0,0,0,0,0
EOS,0.976388653938164,0.18000248981614,0.172988977971553,0,0,0.263130941268454,0,-0.432553243300769,0.378836295066347,-0.173337766765929,-0.15429342257054,0,0,0.590377860391334,0,0,0,0,0,0
ADA,0,0,-0.120903709590333,0,0.0449517436248952,-0.106320959027825,0.0464499218953417,0,0,0.0356763528693608,0,0.77466817919413,0.074994672425431,0,0,0,0,0,0,0
ZEC,0,0.773995570276516,-0.0790986663514713,0,-0.0425217587211892,0.296050108013475,0,0,0,0.209025748949046,0,-0.199308806952507,-0.0879449047452416,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0.00681722186383162,0,0,0.031829272144698,0.0254875622710025,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-1.0842021724855e-19,0,-0.0132546981554689,0,0,0,-0.068356840719572,0.0276478948445356,0,0,0,0,-0.0426028908582277,0,0,0,0,0.017915416345652
DXY.Curncy,-0.0106501812410124,0,-0.00992219704846387,0,0.00237094922994118,0,-0.0381467725033275,0.0141530654919035,0.00279307970043996,0,0,0,0.0102716547521128,0,0,0,0,0,0,0
SPX.Index,0,0,0.00351217145141472,0,-0.000832369865678152,0,0,0.0114005228700628,0.000855370332282839,-0.00253791139547488,0,0,0.00531910392675004,0,0,0,0,0,0,-0.0277875114964449
VIX.Index,-0.127834885908664,0,0.0682606090296667,0,-0.00458184011117153,0,0.334315937122667,-0.459272548116276,-0.192971940422078,0.153113685085007,0.0974632024619489,0,0.0882846003364741,0,0,0,0,0,0,0
