,BTC,ETH,LTC,XRP,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0384943681000405,0.627294017738788,0,0.0605888821364019,0.0399694164733652,0.283940237917572,0.114159970876799,-0.407512407287827,0.0139965270888658,-0.134144903158916,-0.230587143873957,0,0,0
ETH,0.845316356779068,0,0,0,1.39607274062421,0,1.11005867699736,-1.05049419147659,0,0.16583904498311,0,0,0,0,0.21274819251237
LTC,0.657540281028491,0.00924097830275522,0,0,0,0.0218528867012468,0,0,0.092930967828015,-0.0587162022731997,0,0,0,0,0
XRP,-0.143729908727248,0.022461486084771,0,0,-0.331691023517438,0.0140414850957701,0.175310766158351,-0.11746940547082,0.17482002214206,0.0351660553562349,0,0,0,0,0.183847233458024
DASH,0,0.0462189552771402,0,0,0,-0.0495954242657595,0,0,0,0.0804103870438218,0,0,0,0,0
XEM,0.444451812690215,0,0.389735039728223,0.354252567789875,0,0,0,0,0,0.128970345314951,0,0,0,0,0.15919088292822
DOGE,0.459365480101812,0.0920746419345736,0,0.548190187548482,0,0.0526729066960213,0,0.11587540453879,0,0.090823860951207,0,-0.280311117262079,0,0,-0.124673329354335
XMR,0.09670406685768,-0.337570376788934,0,0,0,-0.176550379944419,0,0,0.682696096358461,0.0314148841613252,0,-0.12433699949944,0,0,0
XLM,0.421182657273755,-0.0819365880905401,0.185307006208183,0.596214212845979,0.000395954991345229,0.105981917645171,-0.402475357536827,0.0407798242888756,0,0.110272805174261,0,-0.961569527996576,0,0,0.384433217547837
DGB,0,0.175423194896315,0,0,0,0.218384352056865,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.0801609709289335,-0.023947168368944,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337073647394824
CVIX.Index,0,-0.00778828300420203,0,-0.134090053668934,-0.318984927090896,-0.0311558549522941,0,-0.134632733188088,-0.0163980309121413,-0.0297409009350705,0.272811020793219,0,0,0,0.402860099303133
DXY.Curncy,0,0.00263596995630759,0.0358790677743226,0,0.0202774218849389,0.0052512329657548,0.0025459863238588,0,-0.0251015788626786,0,0.133692172951719,0.108366878322478,0,0,2.16840434497101e-19
SPX.Index,-0.00687899701364397,0,0,0,-0.00948984490669079,-0.0113270162052602,0.0230447647250707,-0.0280976560535175,0.0394263275132256,0,0.0530070188211566,0,0,0,-0.0534372813846158
VIX.Index,0,0.0571598123571296,0,0.778942350808446,0.425444033630882,-0.0325393011080047,-0.00550820240934994,0,0,0.0401283464206404,-0.338877054176751,1.10250302434159,0,0,0
