,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.171281756106043,-0.0833593969399384,0.0673614363802642,0.128689144158933,0,0,0,0.027235867451636,0,-0.147178342280531,-0.00553948484287133,0.0661911484741726,0.237958759240508,-0.0267394042268362,0,0,0
ETH,0.557204159404877,0,0.195390297855784,0,-1.09716468742645,0,-0.300970344519654,0.137636935667795,-0.134948219422216,0.410821547976772,0.210311620665702,0.448948574686762,0.0577291436282932,0,-0.489861200696885,0,0,-0.0828758525596504
XRP,0,0,0,0,0,0,0,0,0.154907276913409,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.133053072885628,0,0,0,0,0,0,0,0,0
DASH,0.0225573589370731,-0.604006581976561,0.108067187953165,0.105934275214236,0,0.148006333665337,-0.185539289949594,0.127958864601232,-0.043894866619573,0.585336418711918,0,0.222621663688516,0.0832513871283441,0,-0.229572567024906,0,0,0
ETC,0,0,-0.39600993172029,-0.109465823069719,0.227649897675962,0,0.260668123470595,0,-0.100616326529878,0,0.335989625707141,0.508546987301968,-0.153308788634781,0,-0.261530256231359,0,0,0.17428073748573
XEM,0,0,0.16770927206132,0,-0.206041213753164,0.385409889815958,0,0,8.67361737988404e-19,0,-0.134501434214833,0.0174889051949153,0.218102000051572,0,0,0,0,-0.419300096363066
XMR,0,0,0,0,0,0,0,0,0,0,0,0.114494255530834,0,0,0,0,0,0
XLM,0,0,0.441423423125149,0,0,0,0.061984728670426,0,0,0.142833491442204,0.231583620785802,0,0.300129020323131,0,0,0,0,0
ZEC,0,0.14230829047761,0.154733695472863,-0.110589723154087,0.74078471360298,0,0.151078249645874,-0.249345885702322,0.0179280362624258,0,0.089045730218354,0,-0.0718317186459655,0,0,0,0,-0.0595594509081987
DOGE,-1.58556621189857,0.235102077339213,0,0.178227783870284,0,0.0392852634452455,-0.0497142664573089,0,0.228366718102333,0,0,0.0510862145712905,0.0671928199469608,0,-0.218894590654583,0,0,0
NEO,0,0.0481206579465231,0,0,1.02203331016971,0,0,0,0,0,0.0991397116592384,0,0,0,0,0,0,0
DGB,0,-0.038058831546144,-0.150614776784157,0,0,0,0.0280343095041063,0,0.593940198257943,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0.0623194616401779,0,0.00969088720061967,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.0448202185914883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0159935126616489,0.00316021172479446,-0.00542279167531023,0,0,-0.0126203530901241,0,0,0.00201119575086913,-0.0058320976310485,-0.00400438348781048,0,0,0,0,0,0.0239423744437549
SPX.Index,0.0259064837739178,0.00243348144830337,0,0.00287299879411636,0,0.00190237274984861,0,0.00178636382322705,0,0,0.0124094694492534,-0.010655569747305,0.00240212199533201,0.0464913992450306,-0.0234471368863418,0,0,-0.0418090595475485
VIX.Index,0,0,0,0,0,0.264198377118367,0,0,0.0603167335182714,0,0,0,0,0,0,0,0,0
