,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0910772456548461,0.274526675506418,0,0,0.124514708199238,0.0685145461978905,0.0149880279033736,0,0.0590914266352227,0.05171881728839,0,0,0,0,0,0,-0.162354220275809
ETH,0,0,0.0155976154462139,0,0.132491978026356,0,0,0.143622637623637,0.0812413089602696,0,0,0,0,0.0579145959709648,0.0127476491621828,0,0,0,0,0
XRP,-0.276954972507872,0.305787745400583,0,0,0,0,0,0.372902531818288,0.0965527317243571,0,0,-0.0366168210382225,0,-0.00675144095901684,0.0379452567665153,0,0,0,0,0.462908696719489
BCH,0,0,-0.0559697233469902,0,0.267700047768989,0,-0.117533259557552,0,0.199731940380501,-1.73472347597681e-18,0.210537381090576,-0.135668667493834,0.110579548456549,0,0,0,1.30486604579812,0,0,0.13425906272601
LTC,0,0,0.0639507185166079,0,0,0,0,0,0.335026508085984,0,0,-0.0564459577504016,0,0,0,0,0,0,0,0
DASH,-0.145306700632545,0.302098534773345,0.0794319702180568,0.298080623185004,0.0618313453678389,0,0,0.138109949508596,-0.0631567180941823,0.0844207777035266,0,0.0889714143244527,-0.0818103123058067,0.0580615508118065,0.029610070542904,0,0,0,0,0
XEM,0,0,-0.224850139700752,0,0,0.341696568129842,0,0,0,0.153024282196292,0,0,0,0.08517682510244,-0.0467521039618025,0,0,0,0,0
XMR,0.10743777462606,0,0.110165953506076,0.0428579083834313,0,0.153898688768619,0,0,0.0442171452460482,0,0.206218558002363,0.065349804862823,0.223867339170041,0.0180680224908152,-0.121462391928854,0,0,0,0,0
NEO,0,0,0.0845122390141399,0,0,-0.117493794341893,0.0750705037587107,-0.225984174427894,0,0.421033007998958,1.12447411865611,0.1557413608667,0,0.37504750484132,-0.254817496451694,0,0,0,0,0.0442462239572053
MIOTA,-0.198448350992619,0,0.0819573958180491,0,-0.135995416348482,0,0.414949628103001,0.853459389676341,0.0983334283102714,0,-0.967451184586244,0,0.399236309153899,-0.108698022573309,0.225422522287024,0,-0.666629041486579,0,0,0
ETC,0,0,0,0.0195769651773474,0.153485195966361,0,0,0.228904392554423,0.0710518169562779,0,0,0,0.058660457153374,0,0.0553864387737103,0,0,0,0,0
ADA,1.75942452567101,0,-0.818815221955011,-1.15485870164222,0,2.34667941795983,-1.0787709717071,-1.08544404967664,-3.46944695195361e-18,0.655335929886099,0,0,0.0157566939915027,0,0,0,2.86436077991662,0,0,0.905678851590713
ZEC,0,0,-0.174128153527103,0.492302702417968,-0.231557697080851,0,0.0882446276653723,0.447269139661341,-0.156390998471726,-0.0781447953562112,0,0,0,0.0812469689893049,0.361004858475228,0,0,0,0,0.163938411171033
XLM,0,0,0,0,0,0,0.176896719928975,0,0.194118703300888,0.212180973426324,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.110573469664961,-0.0668792098944534,0.309283944791696,0,0.089841755847816,0,0,0.132590153189168,0,-0.0434960959852203,0.280690421453735,0.043187133568407,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0171615318776841,0,0,0,0,0,0,0,0.00797490195858386,0,0.0125771047636518,0.0358919440371194,0,0,0,0,0
CVIX.Index,0,0,0.0668935068438858,0.226240514817375,0,-0.295537349938717,0.0658920033616985,-0.00530229232955953,-0.0447758571760212,-0.0234865279193798,-0.145194476927608,0.0431631391869988,-0.0152340612443895,0.0278374157660355,0,0,0,0,0,0.149571919714561
DXY.Curncy,0,0.0277967345474525,-0.0132482839425684,-0.00854044063046792,-0.00628880470014539,-0.0218448493834797,-0.0205909969230307,0,0,0,0,-0.0149544778980654,0.0276463561669092,-0.0123184966901799,0.00264827328533741,0,-0.0847325178160809,0,0,0.033876038775576
SPX.Index,0,0,-0.00115080169622902,0,0,0,0,-0.000202927447725386,0,0,0,-0.00599165855652309,0,1.35525271560688e-20,0,0,0,0,0,-0.0289063815106368
VIX.Index,0,0,0.163923225162384,0,-0.0135940513721654,0,0,0,0.0765359700283938,0,0,0.0729842590541318,0,-0.0604093100233269,0,0,0,0,0,0
