,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0938560722104345,0,0.0435951608661828,0,0,0,0.100528407558769,0.0765623892758726,0.0156783724819683,0,0,0,0.194099059512962,0,0,0,0,0
ETH,0,0,0,0.0359144402707738,0,0,0,0.0513225222036432,0.264477029886964,0.0939966007111041,0.0697362502831114,0,0,0,0.167757332962061,0,0,0,0,0.0495638341713114
BCH,0,-1.21967012994902,0,-0.106547869121584,0.262646480903128,0.182970023076271,0,-0.212052145548086,0.224976293985059,0,0.169212292432788,0,0.700442911745142,0,0.292189159899774,0,0,0,0,0
XRP,0,0,0,0,0,-0.0960820899715009,0,0,0,-0.163077675853416,0,0,0.599919977673896,0,0.0669769867037102,0,0,0,0,0
LTC,0,0.0461944632067738,0,0,0,-0.133430582834281,0,0,0,0.599782500060318,0,0.183709951329918,0,0.15600029878444,0.0292947937026753,0,0,0,0,0
DASH,0,0,0.211998779396536,0.15541153333304,-0.277943453692187,0,0.142558908050915,-0.0809233934910126,0,0.155426866441156,1.73472347597681e-18,0.622794318804534,0,0,-0.153683220612682,0,0.335374654441572,0,0,-0.20240220452288
XEM,0,0,0.17278377203435,0,0,0.00377373371308793,0,0,0.19904450389885,-0.103258395425136,-0.0862131555954016,0,0,0,0.373041233013577,0,0,0,0,0
XMR,0,0,0,0.343254552706639,0,0,0,0,0.0749579366367888,0,0.0978959902125593,0.237969335461176,0.0622700951510536,0,0,0,0,0,0,0
MIOTA,1.04003512822292,0.0232801787007352,0.104290598670177,-0.00763638147977417,0.170882518597764,0,0.415661124996816,0.197920342268755,0,0,-0.0322312451672327,0.494868237569071,-0.35632559118131,0.414419142254918,-0.810239665700234,0,0,0,0,0.593137898559885
ETC,0.372322454802084,0,0,0,0.576227914199677,0,-0.101587556714033,0,0,0,-0.0752370095090576,0.0476187533396197,0.242563350160566,0,0,0,0,0,0,0
NEO,0,0,0.0316592866869193,0,0,0,0,0,0,0,0,0,0,0.689493727985688,0,0,0,0,0,-0.191039502749235
ZEC,0,-0.370412207706176,-0.203311634519325,-0.193484945718762,0.200909410955587,0.343248714558104,0,0,0.249133202173303,0,-0.0869592321362538,0,0.613080142064104,0,0.303448316129888,0,0,0,0,0
XLM,0,0,0.0180881769982359,0.513392410019655,-0.135995670563547,0,0,0.0930012315897791,0,0.312585391264975,0.0743861323081319,0.268128018775172,0,0,0,0,0,0,0,0.164122412685732
EOS,0,0.567403633749263,0,0.0639526639771493,0,0,0,0.0819082094517189,0.114076901518006,0.0518656458348177,0.272730283537423,0,0,0,0.528795648280596,0,-0.748836141713774,0,0,-0.0615112862074702
BAT,1.52033294105933,0,-0.129833338528897,0,0.218577358382581,-0.166937478128297,0.332992579346908,0,-0.120464988808787,-0.0391948340859085,0,0.31824260855339,-0.0925609834301431,0,0,0,0,0,0,-0.0998575436934355
BV010082.Index,0.102240599527886,0,-0.0213934536553347,-0.0300185003373675,0,-0.0858152449324165,0.0369108337527849,0.0239000445573564,-0.0192627553856832,-0.0281428640582648,0.0139735568890616,0.0888364319831906,0,0,0,0,0,0,0,-0.085250867898832
CVIX.Index,0,0,0,0.041098122519084,0,0,0,-0.0418121621627944,0,0,0,0,0,0,0.0199185144369661,0,0,0,0,0.00818706153378125
DXY.Curncy,0,0,-0.00427673049969513,0,0.00855954597541499,-0.0155314844380036,0,0.00520584849691242,0,0.0011895231401677,0.010351888033399,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.00641799022940214,0.00498525033056004,0.00254021685676092,0,-0.00785796220000551,-0.00707741948796385,0,0,0,0.00316334353433066,0,0.00309313904855431,0.00126168750993609,0,0,0,0,-0.035428086478888
VIX.Index,0,0,-0.292498867670397,-0.260607781630669,-0.280842828245535,-0.20733222356458,0.160110842189397,0,0.393638928620364,0.0622174841055958,0.0611842925734985,-0.262545997967076,0.352770928219175,-0.209456442717961,0.246380366559032,-1.23609035347977,0,0,0,0
