,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.19711287217901,-0.00451670159544588,-0.0461471043794743,0,0.0143143224466648,-0.0496846197102536,0,-0.0625125488620242,0.0271980189415901,0,0.0500862246615843,-0.0593022208184435,0,0,0,0,0.00974697531303055
ETH,0,0,-0.0668708241120525,0.0258758103608555,-0.229697548399711,0.666683295702426,0.555973491080984,0,-0.0505000097962748,0.148097240651695,0.214068715882741,0,0,0,0,0,0,0.0644031387139487
XRP,0,0,0,-0.304786855339937,0,0,0,-0.589111895055664,0,0,1.40667004771272,-0.100837420158597,0,0,0,0,0,0
DASH,0,0,-0.140339648165558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,-1.27878827143684,-0.106811869046987,0.768994398694867,0,0.382702439693353,1.92705778640767,0.150265311133287,-0.313460001998835,0.596189037905867,0.5238865717956,0,0.795766587581016,0,0,0,0,0.787925179278256
XMR,0,0.221540121673877,0.000212168065159283,-0.168269449595314,-0.0887227741750003,0,0.266500242275049,0.319458867194269,0,0,0,0.0837510173031907,0,0,0,0,0,0.207745805895818
ETC,0,0,0,0.165889432533499,0.0710197842012432,0,0,0,0,0,0,-0.0559954552567586,0,0,0,0,0,0
XEM,0,0.507335524845899,-0.0953806664470776,-0.242060684998821,-0.0699724250910937,0,-0.12422684912671,0,0.588254707140036,0,0,0.0960199693091522,0,0,0,0,0,-0.510026476428173
ZEC,0,-0.558532949397765,0.0369796899623578,0.343321706463363,-0.321214930659996,0,1.05556470614682,0.225374477344532,0,0.266668475782538,0,-0.134481318213519,0.720409003292212,0,0,0,0,0
DOGE,0,0,0.297103748865296,0,0.598053470893437,0.438511202702851,-1.2765013122668,0,0.395938073112698,0,0,0.0953428326237739,0,0,0,0,0,0
XLM,0,0.78989123599372,0.289702958962595,0,0.258489292573557,0,0,0,0,0,0,0.00509537650260118,0.473976502749886,0,0,0,0,0.129459814181517
DGB,0,-1.21572860562071,-0.279728925453488,0.303507567020791,-0.447351335525555,0.625589691476139,0.844335654096352,0.507297556259358,-0.828235149929377,1.20255029725416,0,0,0.881016512089815,1.41208514561008,5.04970010062683,0,0,-0.92004305207108
NEO,0,0,-0.0934235256624613,-0.255245481698521,0.14300788760601,0,-0.409175582655253,0.0400312032580581,0.121241578249023,0,0.0984376416655718,-0.15460116839726,0,0,0,0,0,3.46944695195361e-18
BV010082.Index,0,-0.00652099975612731,0,-0.0145828269551654,-0.015674189975812,0,-0.053090965560052,0,0,0,0,0.0204676597004605,0,0,0,0,0,-0.117110711193293
CVIX.Index,0,0,0,0.0544677363226981,0.0192491169497407,0,0,-0.0203717734335016,0.00841304699353332,0.0124595397228357,0,0,0.0634365552150044,0,0,0,0,-0.00277382156550302
DXY.Curncy,0,0,0.0121780305546158,0,0,0.0180618207926459,0,0,0,0,-0.0226831820580471,0,0.0036367499684209,0,0,0,0,0
SPX.Index,0,0,0,-0.00418951171336242,0.000371105310896754,0,0,0,0,0,0,0.0042449305136718,0,0,0,0,0,-0.0297119192413378
VIX.Index,0,0.0980570721638088,0,0.0713223478924367,0.1031886997851,0,-0.730618126109062,0.0372552043386454,0.237497902787851,0,-0.0294693548497133,-0.0928635587327809,0,-1.73188827666185,0,0,0,0
