,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.164802604173493,0,0,0.311902315341171,-0.0684783193790079,0.201814672164323,0.0599641170156277,0.124001782777198,-0.00325402041654631,0.113051433718476,0,-0.278899854843548,0,-0.0677945783329038,0,0,0,0,0
ETH,0.0955655650606354,0,0.44901300567589,0,0,0.155844169319284,0,-3.46944695195361e-18,0,0.0286124973748148,-0.146315759480192,0.518536289897638,0,0.0561673130478492,0.0380742599053366,0,0,0,0,0
XRP,0,0.37671080178242,0,-0.0668285042179635,0.288500949483614,0.142867000782396,0.22567767474183,0,0,0,-0.129312686334138,-0.0510179889436717,0.0502993705199923,0.068088955478326,-1.73472347597681e-18,0,0,0,0,0
LTC,0,0,0,0,0,0.134395993645616,0,0.0246050566738215,0,0.0985312335552722,0.139715580451651,0,0,0,0.066058213329027,0,0,0,0,0
XEM,0.388808287072489,0,0.773573753403762,0,0,0,0,0.0461771353969157,0.0593084231164032,0.0820730642209965,0,0,0.0188559069325963,-0.405524635190669,0.35709392748607,0,0,0,0,0
ETC,0,0.327105809969381,0,0.141147185273019,0,0,0.0852992067388345,0,0,0,0,0,0,0,0.070161713140649,0,0,0,0,0
DASH,0.761416529956978,0,0,0.121321735485684,0.0282882862087344,0.134559173992179,0,0.0226763390156189,0,0.027123160310034,0,0,0.0787307354934449,0,0,0,0,0,0,0
MIOTA,0.486322776663799,0,0,0.653551866425766,0,0,0.282359261013315,0,0,-0.0741299312121313,0,0.536110999000148,0.363736874998512,0,-0.17818885579859,0,0,0,0,0
XMR,0.114559822240368,0.0433137292771835,0,0,0.163395610901673,0,0.156980669643388,0,0,0,0.107556978210781,0,0.0400340919156727,0.15196398943153,0.100833803479649,0,0,0,0,0
EOS,0,0.618022073560139,0,0,0.460664550165232,0,0,-0.0391357140620247,0,0,0,0,0.117831742101627,0,0,0,0,0,0,0
NEO,0,-0.00420608037494729,0,0,-0.0707566773444339,0,0.373906431352205,0.139995324648859,-0.176612862483482,0,0,0.607981778871763,0.226397636263302,0,0,0,0,0,0,0
ZEC,0,0,0,0,-0.119322897738773,0.16864790078816,0,0.115279247161156,0,0,0.447006821196832,0,0.257377581416552,0,0.0105358982678526,0,0,0,0,0.293013453514235
XLM,0,0,0,0,0.198150888036487,0,0,0.038187619695985,0.370647412001239,0.0665068846894775,-6.93889390390723e-18,0,0,0.194104845851462,0,0,0,0,0,-0.658706871426068
DOGE,0,0,0.400129525044704,0,0,0,0.384140497528249,0,0.0739684327893637,-0.0687287260249008,0.0414362751118095,0,0.0943672436508424,0,0.118700241942256,0,0,0,0,0
BAT,0,0,0,0,0.44436131784345,0.248507873467192,0,0.0364334829305549,0,-0.0407535772826026,0,0,0,0.453165498885996,0,0,0,0,0,0
BV010082.Index,0,0,0,0.04912745415257,0,-0.033929711095649,0,0.00188682325233504,0,-0.00324663319850926,0,0.023504934129692,-0.0254969018118449,0.0179409507010536,0.0203144785850806,0,0,0,0,0
CVIX.Index,0,-0.146665458867777,0,-0.0739643309789014,0.0359072882305037,0.117590279050387,0,0.0330561023290785,-0.00167377716747937,0.0205963647086999,0,0.0854422447925756,-0.104103310906478,0.173885831967905,-0.0843259403081713,0,0,0,0,0
DXY.Curncy,0.0277302865495555,0.00537337889782531,0,0.0226230667244397,0,0.00357326428803952,0,0.00256406234919516,0,0,-0.0340852779725778,0.012638940481163,-0.0119979788240617,-0.000444348756726861,0,0,-0.00349424953708173,0,0,-0.0380545608523845
SPX.Index,0.0097798514507434,0,0,0,0,-0.0033620262360314,0.0016342844863667,0.00061376128279198,0,-0.000281744936827655,0,0,0,0,-0.00658717034437546,0,0,0,0,-0.0555388213538455
VIX.Index,0,0,-0.415108248316766,-0.207345993560309,0.112074897369178,0.175347498469859,0,0.0744386424890073,0,0.0723872381747064,-0.097644896036643,0,-0.292554892328219,0.307223905590785,0.108053140312455,0,0,0,0,0
