,BTC,ETH,XRP,BCH,XEM,LTC,NEO,MIOTA,DASH,ETC,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0574402626874318,0,-0.0924195548255995,0.370397898457972,1.06555587847234,0.0434319776303779,0.316295278307793,0,-0.935555739960878,-0.465419016810048,0.17493397816994,1.38777878078145e-17,-0.29171454946512,0.807408706018877,0,-0.175248418381278,0,0,-0.411556846277815
ETH,0.00899872823876522,0,0.45556525653651,0,0,0.201654297598641,0.052657645056474,0.0533885346069839,0.321625160018067,0,0,-0.114449143138326,0.308660249792735,-0.0686699651813244,0,0,0,0,0,0
XRP,0,0.452701136581671,0,-0.0051325309492986,0,0,-2.16840434497101e-19,0,0,0.116278316051618,-0.0403051739933753,-2.16840434497101e-19,0,0.0973021767119003,0.00997470889183145,0,0,0,0,0
BCH,0,0,0,0,1.23711096462959,-0.995550673195862,-0.0621252511739173,-0.306399687930084,0,0,0,0.434143009475549,1.66134127947339,-1.49564898469043,0,0,0,0,0,-0.571996694886098
XEM,0.191747004579406,0,0,0.115224738819636,0,0,0.131507283231716,0.271706028487248,0,0,0.160652104472742,0,-0.250962658785248,0,0,0,0,0,0,0
LTC,0,0.182158626093311,0,-0.0896744542343074,0,0,-0.0493811376708541,-0.0760864298732556,0,0.43176959893509,0,0.114323709770337,0,0,0.0682463185454771,0,0,0,0,0
NEO,0,0.576053377799886,0,-0.032159654033466,0.423827909203574,0,0,0,0,0,0,0.220810723557129,0,0,0,0,0,0,0,0
MIOTA,0,0.609833853126418,0,0.0297359992901272,0.108579347066545,0,0.0896788779684084,0,0,0,0.268201750356297,0,0.106956607309272,0,-0.580878921793222,0,0,0,0,0
DASH,0,0.00605022047060103,0.140249554366766,0.0263466649810116,0,0,0.0784254930874848,3.46944695195361e-18,0,0,0.123945234076319,0.0222234109000656,0,0.153743703047157,0,0,0,0,0,0
ETC,0,0.268629602497014,0,0.0112481414482021,0,0,0,0,0,0,0.0465034385234799,0.0514944239110618,0,-6.93889390390723e-18,0.215457597608338,0,0,0,0,-0.0704963464365794
XMR,0,0,0,0.0415405980177971,0,0,0,0,0.353269368761502,0,0,0,0,0.378562816316048,0.20360492839102,0,0,0,0,0
EOS,-0.115173272942624,-0.664815220490309,0.189823814313696,0.0937268989930446,-0.114695458835116,0.3577825397005,0.141151737573763,0,0,0,0,0,0.160278727554034,0.285449122814565,0.45953226076123,0,0,0,0,8.67361737988404e-19
ZEC,0,0.699537049571366,0,0,0.0498528427308642,0.0203750647883307,-0.0504400293913234,0,0,0,0.183420349657409,0,0,0.104051039159243,0,0,0,0,0,0
XLM,-0.0392005365293758,0,0.474171821872472,-0.0463731972906268,8.67361737988404e-19,0,0,0.0171205883648869,0,0.385396505683328,0.314017484979622,0.04599518491479,0.165329979965833,0,0,0,0,0,0,0
DOGE,0.0916393038719418,0,0,-0.0400449668070299,0.0886809195142147,0.0606401516362621,0,-0.0707516016653841,0,0.182214075324546,0.193451348610515,0.310107665734924,0,0.0821951558590123,0,0,0,0,0,0
BV010082.Index,-0.0685212685158901,0,0,0.00942534344393082,-0.0143352436108126,0,-0.00229686265912773,0,-0.0303074559716319,0,0.029532135874535,-0.159563834222351,0,-0.0252331490002225,0.188469918074338,0,-0.217578554261641,0,0,-0.0234150604774505
CVIX.Index,0,0,0,-0.00538188192120997,-0.0300859694575542,0,0.00979507661986161,0.134014759906895,0,0,0.0196499158213987,0,-0.238766062743997,0,0,0,0,0,0,-0.0562984304830717
DXY.Curncy,0.0294279325242226,0,0,0,-0.017017559010609,0,0,0.0070229859273678,0.0151681497939768,-0.0394043748021291,0.0248907549836816,-0.0279401196736698,0,-0.0143394611925357,0.0111096529830665,0,0,0,0,0
SPX.Index,0.00698879054143691,0,0.00138510265337498,0.000622907149329016,-0.00167266254080759,0,0.000761533996041398,-0.0021555101003447,0,0.0168596397908824,0,0,0,-0.00484551353656593,0,0,0,0,0,-0.0147919423446631
VIX.Index,0,0,0,-0.00376257716549542,-0.032993859213724,0,0,0.171551462737199,0,0,-0.0207862123733579,0,-0.142455386251125,-0.0288331417791981,0,0,0,0,0,0
