,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.157423227422623,0.0965593044206256,0,-0.0736955252366271,0.0345758312733194,0,0.0131271615998519,0.167623947922271,-0.0217094096127477,0,0,0.0989479004808862,0,0,0,0,-0.0310340953288833
ETH,0,0,-3.46944695195361e-18,0,0.204498133743804,0,0.108346646511463,0.0328483548750618,0.104848095831052,0.0384776889629094,0.433174509158595,-0.0108376172083419,0,0,0,0,0,0,0,0.139159719614967
XRP,0,0.167947211788071,0,0,0.0972961007138857,0,0.111205863681089,0.138176456218397,0,0.0261784211028165,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.36195103017407,0,0,0,0,0.0819531602221983,0,0.0528643564320826,0,0,0.0606457906468586,0,0,0,0,0
ETC,0,0.197010764288274,0,0.286051201254932,0,0.010476660955563,0.0287189110082639,0,0,0,0,-0.00696467141971364,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0573288394138601,0.363404349654821,0,0.0802128788410052,0.0592557778523926,0.12487429360036,0.0414866544362425,-0.168821299580998,-0.0430227454734739,-0.397038036714736,0,0.595831369570525,0,-0.416467221962711,0,0,0
DASH,-0.16044339335006,0.113810135111251,0,0,0.059919930348131,0.384791387099421,0,-0.0891802489278334,0.481078027560358,0,0,0.0819863491647233,-0.046858845573541,0,0,0,0,0,0,-0.220231327865353
MIOTA,0,0,0.176174350555239,0.192600389499831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.154142401085476,0,0.147070751293367,0,0,0.176186594555608,0,0,0.0041559808932831,0,-0.039808052261599,0,0.169246453774378,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0.373197946351618,0.334956165992174,0.200353042153543,-0.0261374933874629,-0.107792003057436,-0.0899792215625939,0,-2.16840434497101e-19,0,-0.0420388057078172,0,0,0,0.248558409938513,0,0,0,0,0,-0.0329827750463095
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0,0,0,0,0,0,-0.0568828210602351,0,-0.0254631890351226,0,0.266239684541216,0,0,0,0,0,0
XLM,0,0,0.278121869064441,0.0176997467122842,0,0,0,0.0168957776533613,0.56287421617146,0.0437720112535195,0,0,0,0,0.222174860359865,0,0,0,0,0
DGB,0,0.270424752238822,0.300007650160835,0,-0.14486375713276,0,0,0,0,0.0332285551729323,0.2971205680042,0.0169705162221187,0,0.204377048010034,0,0,0,0,0,0
BV010082.Index,0.062401491152476,0.0317181770220674,0.0920407458083109,0.0377511905413636,-0.110997210862765,0.0612044562843282,0,0.0154909461015701,0,0.00190983257148797,0,-0.00947553355002662,0.0512554046013996,-0.0832310640016317,-0.0803310122622087,0,0,0,0,0.12613979414411
CVIX.Index,0,0,0,-0.0176731673454562,0,-0.0285255947806187,0,0,0,0.00693615041984259,0,0.0052290537780555,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,-0.00564996513036653,0,0,-0.0031670124848534,0,0.00111366366688404,0,0,0,0,0,0,0,0,0,-0.0574482133838392
VIX.Index,0,0.0537231006461993,0,0.100656244472877,-0.271231713454089,-0.0397927728587751,0.0578886394952051,-0.145161034239765,0.0107571384881883,-0.0117270017103222,0,0,0,0.315460071275852,0,0.981238328957204,0,0,0,0
