,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.220248589792403,0.0787791405879275,0.00499160286070335,0.670887589026476,0.237977973394376,0.124400560304684,0.0358959057261459,0.110425615490541,0,-1.41608685938032,1.34107603310201,0
XRP,-0.333548168604106,0,-0.0604493160615085,0.268151988553742,0,0.273413337561305,0.422995759418881,0.0787666940444178,0,0,0,0,0
LTC,0,0,0,-0.653740546763678,1.51842058512443,-0.343544121564839,0,0.125199678696619,1.09585774916284,0.198477602478251,0,0,-0.124850872256123
XLM,0.141242779895933,0.164337185419908,-0.207301667678216,0,0.617467097215572,0,-0.223448347666019,0.155097283763498,3.09699962100589,-0.0136223448610989,0,-1.102758221817,-0.24248012754085
DOGE,0,0.0736648428705073,0.073491743120036,0.247190825708295,0,0.432554145011021,0.122906832150557,0,0,0.228703238796945,0,0,0
DASH,0.666236923051251,0.209778095030406,0.136016566400286,0.144386416372413,0,0,0,0.0507858302350172,0,0,0,0,0
XMR,0.89963469399794,0.194743338017665,0.132119082422274,-0.378658974802299,0,0,0,0,0,0.166681221708093,0,0,0
DGB,2.68334367609855,0.375249199433207,0.674207125947258,0.410209927483386,0,-1.53812374035142,-0.965978909248958,0,0,0.563203030559744,0,0,-0.0664476913920121
BV010082.Index,0,-0.0547881269519496,0,0.0245405439998853,-0.0843015143695278,0.0619504334275828,0,-0.00240725938558218,0,-0.0328785285309831,0,0,-0.0646117816741934
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0.0344508419551352,0,-0.00875957851514117,-0.00538327683509421,0.00820016465939586,0,-0.0382889106705112,0.00160453516222182,0,2.16840434497101e-19,0,0,-0.101900495550648
VIX.Index,0.223665958519682,-0.0379738518022692,-0.0436663500161505,-0.104299516614046,0,-8.67361737988404e-19,-0.314649173532301,0.0578620208708407,0,0,0,-7.57510481936301,0
