,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.264794490014083,-0.102202958983908,0.0525002250480641,0,0.00886903003840583,0,0.25769848449092,0.182374884425065,0.0692313337035421,0.0323444770806565,0,0.0725895656394182,0,0,0,0,-0.0181778667503242
XRP,0,0,0,0.0816633466467796,0.131646428115476,0,0.283238218805629,-0.0514496504544975,0,6.93889390390723e-18,0,0,0,0,0.0292933394175443,0,0,0,0,0
ETH,0,0,0,0.125732974912975,0.121732754917041,0.129983833419899,0,-0.019528487193551,0,0,0.357899408728768,0,0.1224458596083,0.159590635937925,0,0,0,0,0,0
XLM,0.823442851409002,0.0441124135679195,0,0,0.164075896828164,0.0487596775177668,0,-0.089764893437834,0,0,-0.0108789414887488,0.180677117143242,0,0,0,0,0,0,0,0.0813995443695886
BCH,0,0.568180865499301,0.355761680544092,0,0,0,0,0.0607883638826946,0.217772016074547,-0.0237812453605214,0,0.512003217391734,0,-0.678588115532711,0,0,0,0,0,0.325582974718286
EOS,0,1.07143966796662,0,0.087674037876516,-0.102906355269849,0,0.239404739613718,0.0970369270483846,0,-0.179099561166557,0,0,-0.0715982988151211,0,0,0,0,0,0,0.232545440023561
LTC,0,0,0,0,0,0.208284162214353,0,0,0.309095255547257,0.107724644209421,0.0740105670096373,0,0,0.201434662439634,0,0,0,0,0,0
BSV,4.6698542576328,-4.62620544723401,-1.41349436462641,-2.60682842339251,2.02601464616798,1.3384702989598,-1.67846303046891,0,0,0,0,0.0100554202043446,0,4.54697037071686,-2.20890324398604,0,-1.11022302462516e-16,0,0,-1.44914997100299
ADA,0,0,0,0,0.168891200875001,0,0,-0.0271385339726327,0,0.29027109634715,0.0766979868839253,0.232087570727357,-0.0544778086097389,0.199503885549056,0.112944873006347,0,0,0,0,0
TRX,0,0,0,0,-0.0872463541567811,0,0,-0.000400060799356741,0.488069256285712,0,0.040494490914316,0.337985549909243,0.0175054498950746,0.200229159228918,0,0,0,0,0,-0.116505656251863
XMR,0.0849226969768954,0,0.685625969743329,0,-0.213253828324052,0,0,-0.0170581888169403,0,0.0687156502987459,0,0,0.042001650760229,0,0.490334862427748,0,0,0,0,-0.0712373413457492
MIOTA,0.301285231037095,0,0,0.222036047240605,0.0837129643673585,0.0989128519996313,0,0.0255517860876796,0,0.137151519009582,6.93889390390723e-18,0,0.139337564824842,0,0.0304469994603059,0,0,0,0,0
BNB,0,0,0.315007918986992,0,0.142709449876193,0,0,0.000681234868780443,3.46944695195361e-18,0.143934709472574,0,0,0,0.19982841106061,-8.67361737988404e-19,0,0,0,0,0
DASH,0,0.287083734398647,0,0,-0.359983622757156,0,0.204790230308579,0.0416225460175485,0.527392756178136,0.019955535672437,0.0717211801634206,0,0.244899526096076,0,0,0,0,0,0,0.205425090515962
XEM,0,0,0,0,4.33680868994202e-19,0,0,-0.0143292123395019,0,0,0.215619796577075,0,0.247178774687201,0.403114691454436,0,0,0,0,0,0
BV010082.Index,0,-0.0540056404841466,0.173883868262323,-0.163450633851734,-0.00320997615939927,0,0,0,-0.0549061108078589,0,0,0,0.132296537271454,0,0.0473856699037546,0,0.0699175713794697,0,0,0
CVIX.Index,0.0788625022332399,-0.489593624847116,0.473989177775328,0,-0.00149103190722067,0,0.0641081804195145,-0.0332325266618097,0.21470423253223,-0.0812069563910408,-0.371313883827629,0,-0.041556186287292,0.108344910025072,-0.121982702307001,-0.252715409008905,0,0,0,0
DXY.Curncy,0,0,0.00159898491092536,0,-0.00682870067179028,0,0,0.0043034447776957,0.0506042171009609,-0.0496607312752452,0,0,-0.000147181019994204,0,0,0.12772165704215,0.0217830280767475,0,0,0
SPX.Index,0.0530248657132248,0,0,8.67361737988404e-19,0,-0.0788194221422803,0.0358272364515884,-2.47822926185986e-05,0.0106125633631527,0,0,0,0.0133996945461863,0,0,0,0.115445815584112,0,0,-0.104191043822623
VIX.Index,0,-1.24208192790857,0,0,0.0306727246374965,0.838109160353611,0,-0.134438597770233,0,0,-0.566860488637698,0.15748794535725,0,1.13081649971456,-0.341818186546576,0,0,0,-1.6686963637447,0
