,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.107772718339121,0,0,0.0141408707442087,0,0.279223221117296,0.263933011731083,0.0928332650420404,0,0,0,0,0,0,0,0
XRP,0,0,0.398708858722238,0.093613046588792,0.253244629148674,0,-0.118622339703061,-0.0239095871754943,0,0,0,-0.18983417697621,0.0537383614362822,0.171539540993343,0,0,0,0,0,0.027688995604373
ETH,0,0.287286246199322,0,8.67361737988404e-19,0.036464542160608,0.147976596402125,0.341765076645848,0.00390803496584434,0,0,0.140031014859053,0,0,0.0432706762820381,0.206644892877394,0,0.177593320685927,0,0,0.00302403099497893
BCH,0,0,0.233596362249829,0,0,0,0.455487154041148,0,0.114868144140819,-0.243700909669623,0,0.622495047928273,-0.326654055458672,0,0.274758738603828,0,0,0,0,0
XLM,0.845856233568256,0.435701634058703,0,0.0484916826008943,0,0,0,-0.0294841777093433,0,0,0,0.11512550534933,-0.0316896017891095,-0.0930106949179176,0,0,0,0,0,0
EOS,0,0,0.568927044864964,0,0.163877954845003,0,0,0,0,0,0,0,0,0.0828832432076467,0,0,0,0,0,0.00446542210451187
LTC,0,0,0.426403379781748,0.0855359437204729,0,0,0,-0.00539637409554131,0,0.178476427725658,0.1710179241515,0,0.071939653540464,0,0,0,0,0,0,0.0186026243005136
BSV,9.59247938742209,0,0,3.15582501724449,-3.2843417513594,0,-2.19865477912713,0,-7.19238382532854,0,-1.05197685645966,2.65095837928691,6.75832097596174,-2.23973590534142,-3.76964610756155,0,1.13009169992228,0,0,-1.8197469509017
ADA,0,0,0,0.165794855104037,0,0,0,-0.023582051788354,0,0.319486233382943,0.214598505315281,0.14188943850037,0.168491256313628,0.0359475802624975,0,0,-0.00844406225671364,0,0,0
TRX,0,0,0.0368347207020579,0.0681433417185271,0,0,0,-8.67361737988404e-19,0.277182049338955,0,0.327343199136679,0.0812357766465808,0.0741186428931073,0,0,0,0,0,0,0
XMR,0.515715502690594,0,0.31565053102844,0,0,0,0,-0.017813076152676,0.0216057535476106,0.0198834960733657,0,0,0.203185836604638,0.0584561655813758,0,0,0,0,0,0
MIOTA,0.279203484226194,0,0,0.145881010461015,0.175572883028441,0.0563058323709394,0,0.0260008267472718,0,0.159093376714556,0,0,0,0.180612488788841,0,0,0,0,0,0.0516424398744343
DASH,0,0,0,0,-2.77555756156289e-17,0,0,0.00556521389423196,0.155888447768163,0.0568539486131463,0.128584025792099,0,0,0.252621221303839,0.315726699809812,0,0,0,0,0.110068208904188
XEM,0,0,0,0,0.175999059612092,0,0.0624732057329689,0,0,0,0.0691934100525664,0,0.507657928698507,0,0,0,0,0,0,0
BNB,0,0,0.365794661180324,0.142479683889746,0,0,0,0.000960086699612885,0,0.082416807699553,0,0,0.253078722246861,0.00302725095419839,0,0,0,0,0,0
BV010082.Index,0,-0.173489426723692,0.111108395815354,0,-0.158390039418114,0,0.0743115299274323,-0.0105222701340504,0,0,0.00821070492142221,0,-0.0416949616350256,0.0379654695076631,0.165136631609385,0,0.0209084001903145,0.811992783122474,0,8.67361737988404e-19
CVIX.Index,0,0,0,0.014611293264395,0,0,0,0.00847058963192177,0,0,-0.0583031215150354,0,0,0,0,0,0,0,0,0.106043922044921
DXY.Curncy,-0.0193065873417911,0.0276964755019691,0,0.00110002321339682,-0.0148547168184039,0,0,0.00506868064989554,0,0,0.018573537244829,0,0,-8.67361737988404e-19,0,0.161956130765711,0,0,0,0.0170339245424186
SPX.Index,0,-0.0203407135486722,0,-0.0118832704591268,0,-0.0148081527445835,0.0680678263121744,0,0,0,0,2.16840434497101e-19,-0.028201611301203,0.0174229209773804,0,0,0.179098635451603,0,0,-0.138639976254171
VIX.Index,0,-0.487584830356584,0,-0.350808502984863,0,0.172470483354993,0.634964171765218,-0.071420897299217,0,0,-1.25403623606396,0.851505035993812,0.620409711794097,-0.0877511191690427,0,0,-5.55111512312578e-17,0,-2.63974649898368,0
