,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.136361273565443,0.0902771214543931,0.0251293819463065,0.121121289924873,0.176757272375131,0.0752559130975225,0.128101680293194,0.0671072761673942,-0.0260955900955256,-0.0954126114522475,-0.162815010663421,0,0,0.00516190774735575
XRP,0,0,0.248236770567946,-0.0382357532478122,0,-0.0579505999731326,0,0,0,-0.109758330206725,0,-0.189010579914353,0,0,-0.167539674548423
LTC,2.63980797380129,0.239466999030331,0,-0.106631990244346,-0.634806690253602,0.411839960953655,-0.51245197162605,-3.46944695195361e-18,0.18602738073759,0.413134598641987,0.282171873581252,0,0,0,0.131367556098404
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,1.10429493700098,0,0,-0.0123742766332122,0,6.93889390390723e-18,0,-0.205944947573086,-0.0801465680423633,0.0529951906072885,0.235611959516628,0.701540846121955,0,0,-0.106240772859712
DOGE,0,0.297078679599187,0.276681451237497,0.0287190372201432,0,0,0,0,0,-0.032351022866079,0,0,0,0,-0.0300745236931216
XLM,1.2571030999947,-0.214539465046062,-0.479778887610127,-0.0453733636885779,-0.0723678320832308,0,0,0,-0.118344146186683,0.308321529011944,0,-0.945803724152212,0,0,-0.0405081335415939
XMR,1.50735312419753,0,0.262827608023816,0.00680569575085656,-0.337096706169972,-0.613403636387399,-0.141235123323014,0,-0.41174186494734,0.258334421805085,0,0,0,0,0.18770549367767
XEM,0,-0.500548487938892,0,0.0537807459486368,-0.238843123468444,-0.281416735119831,-0.377965357124827,-0.291449300613367,0,-0.0570960172162855,0,0,0,0,0.352944967961932
DGB,0,-0.865220658663766,0.698380799304491,-0.0595031058975072,0.320003936187995,0,0.417607325162402,0.230573052092083,0,0,-0.036441727434801,0,0,0,-0.25693244669554
BV010082.Index,-0.34663775498818,-0.0543695793868463,0.205895160498954,-0.0175823876731776,0,0.0161537073376828,0,-0.0239468415358509,-0.127436522488008,-0.0158296021982943,0,0.271619429095,1.07180662813981,0,-0.0404138006519652
CVIX.Index,0,-0.1621378583296,1.73472347597681e-18,-0.0158059673699349,0.432492653476889,0,0,0.117060838646437,0.036796595380677,-0.0314438534213989,0,0,0,0,0.0373846910453809
DXY.Curncy,0,0.0472505193891142,-0.0107263215611366,0.00763616996372597,0.0222561446518846,-0.0525517633076356,0,0,0.00935917420511039,-0.00497006015519769,0.139372094182647,0,0,0,-0.0147262991030638
SPX.Index,0,-1.0842021724855e-19,0.0160844929137925,0.00334960397906263,-0.00308972584127528,-0.0192499447974964,0.0141133738595309,0.030734973161203,-0.000185787458220208,-0.0113771250274054,0.0531234096716454,-0.0665309292557972,0,0,-0.091090359725291
VIX.Index,0,0,0.261187571896208,0.0253139250203184,-0.131062510982501,-0.0412881712256671,0,0.211493681186753,0.00148165510432768,-0.20129422273198,0,-0.67405607637656,0,-6.62421118808839,0
