,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0393445334324652,0.528252285040888,0.145460722362763,0.0588671403040588,0.176077137094591,0.144843103459824,0,0,-0.121162320333953,0.138839954825161,0,0,0,0,0
ETH,0,0,0,0.0722154812378622,0.0557837368268753,0.217681616274918,0,0,0,0,0,0.00951884963890285,0.0767729456039157,0,0,0,0,0
XRP,0.756088954253817,-0.311965587447893,0,0.113789557153801,-0.299873477165031,-0.251827999491921,0,-0.199508510756938,0.207040110074511,0.171232471405523,0,0.0866765424105597,-0.164328601094321,0.474926788949369,-0.697874775897102,0,0,0
LTC,0.111124912032413,0,0.256197058281325,0,0.206195442682287,0.318395659743285,-0.261899798140834,0.212511161263698,0,0,0.145155316089825,0.0428987591861025,0.177948594301244,0,0.391907086859704,0,0,0.131159652775768
XMR,0.603487289896252,0,0,0.154995675843582,0,0,0,0,0,0,0.0223483952821633,0.0898557628380197,-0.103453387259705,0,0,0,0,0
ETC,0.227415910990464,0,0,0.688369539640774,0,0,0,0,0,0,0,0.205360550900643,-0.0398384689239717,-0.246539878455403,0,0,0,0.0471263442980202
DASH,0.914598075734583,0,-0.435007729754366,-0.634329419465955,-0.422301202387686,0,0,0.121839374773225,-0.946003415795193,0.846937233436688,0.809178229837218,-0.0273909410037453,0.49276282170008,0,0.0995628038563575,0,0,0.140526893751478
XEM,1.58932301225722,-0.450794399475396,-1.35546579581697,1.98239653753247,-0.0233505231133115,-0.228528099097288,0.0625630395700772,0,0,-3.1706882559544,-0.28218960101335,0.440946252941219,-0.621251282128012,3.10676590501826,-2.00401271446202,0,7.01864382241041,-0.361920045914643
ZEC,0,0.200029971417384,0.263349888649109,0,0,0.123662174344591,-0.13944824529517,0.0408009223236481,0,0,0.486217025766148,-0.12999109749116,0.31668700513052,0.257377893064406,-0.0216555462606721,0,0,0.0842088229060372
DOGE,0,0,0,0.199474817137141,0.271159986649671,0.0432593987963854,0,0,0,0,0.0318201672459267,0.0797780785281154,-0.0264678034306674,0.628858453725107,-0.0500091227810469,0,0,-0.0937600130928758
XLM,0,-0.0558696514534585,-0.292643741772991,0,0,0,0.125125077803783,-0.0875831280437657,0.938583745801839,0,0,0.273504064743651,-0.290284140350016,0,0,0,0,-0.0898396348003546
NEO,-0.241002545078711,0,0,0,0,0.34800927512745,-8.67361737988404e-19,0.362372209627658,-0.753447058823231,0,0.792802240560583,0,0.486448612124224,0.343196836622577,-0.165886051300731,0,0,0.0738600260094148
DGB,0,0,0,0,0.0916898945407263,-0.0490113656919897,0.238390451639372,-0.0379167450447987,0.53728045153043,0,-0.402520379635173,0.478495425274137,0,0,0,0,0,0
BV010082.Index,-0.189312070476122,0,0.426140662012417,0,0.0481854562736393,5.42101086242752e-20,0,0,0,0.316454445365312,-0.0406599021097363,0.00295559575456459,0,0,0.279678399482789,0,0,0.0803796679110188
CVIX.Index,0.261601728476546,-0.253429749704464,-0.437650387054804,0.395546773996367,0,0.0402266775685558,0.0677929520054203,-0.104390334787771,-0.157545383819076,-0.595048705583521,0.220144106863973,-0.173016451899632,0,1.12332806901545,0,0,0,-0.0631166230646159
DXY.Curncy,-0.012706631940966,0,-0.0142841391762452,0.0408238898391621,0.0102905069696253,-0.028300093927048,0.00432969913119576,-0.0204661367593139,0,0,-0.00584569172127152,0,0,0.148812949417512,0.0507764056144174,0,0,-0.0294291066180726
SPX.Index,0,0.0152271583852994,0,0,-0.00225785810758337,-0.0103381073986755,0.012602673422619,0.012797011804504,-0.0325613853432757,0,0.0136496767036194,0.00483762684113178,0,0.0410305193293219,0,0,0,-0.0503097624175262
VIX.Index,0,0,0,0,0,0.0503011757374103,0,-0.176082219550517,0,0,0,0,0,0,0,0,0,0
