,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.533336587577341,0,-0.513119439772549,-0.171515438725213,0.0758952397034256,0.0575921696205022,0.0226255152954562,0.187043170826274,-0.15031826942781,0.289432153338704,-0.0855921453787128,0.724728829887906,-0.0337886577479225,-0.366826111535873,0.277457865750487,0,0,0,0.139284565322999
ETH,0.244503841621268,0,0.261425518298138,4.33680868994202e-19,0.206795059181678,0,-0.0603834377256715,-0.0927981312017051,0.256325686683072,0,0.0265451298270623,0,0,0,0,0,0,0,0,0.0128349000586968
XRP,0,0.0813932739244252,0,0,0,0.145379924644452,0.0694339840904935,0.159884378757265,0.228628537022814,0.159556480978532,0,0,0.0749654418791808,-0.0319819437877844,0,0,0,0,0,0
BCH,-0.162539703149924,0.200977492411131,0.117392738725139,0,0.0467226320802488,0,0,0,0,0,0.0980711065485377,0.0988574724307722,0.409791591678426,0.00942617300323789,0,0,0,0,0,0.0205228869242728
LTC,0,0,0.287898407340512,0,0,0.0222120112119031,0.0395359867009779,0.0437597666719655,-1.38777878078145e-17,0.0857600517750001,0.0963226405984375,0,0,0.0909519962695991,0.0681481112942328,0,0,0,0,0.141252031624949
EOS,0,0,0,0.44152616652966,0,0,-0.0259322837873379,0,0,0,0,0,0,0.0729680418591668,0,0,0,0,0,0
ADA,0,0,0.89820380590223,-0.284853609797229,-0.213618691791968,-0.139855468286999,0,0,0.137246285295596,0.065840826803868,0,0,0,-0.0995660955489023,0.726779760624058,-1.79471722320244,0,0,0,-0.135382470143404
XLM,0,0,0,0.149778531779012,0,0,0.0412080616139966,0,0,0,0.821961045615261,0.195869427219739,0,-0.138351674716197,0,0,0,0,0,-0.122603215056062
MIOTA,0,0.595506822835017,0,0.0087875617194693,0,0,0.244640846453571,-0.0783987037558697,0,0.121350309157651,0,0.411076088934783,0,0.0422253595990792,0,0,0,0,0,-0.224557233015957
NEO,0,0,0,0,0,0,0,0,0.1694529461426,0,0.131488588641862,0,0.215391645165858,-0.0145308975733779,0.504618492470362,0,0,0,0,0
XMR,0,0,0,0.448386234522191,0.156452421129298,0.00724405454244125,0.0317402454210565,0,0.120184469250564,0,0,0,0.169495684859476,0,0,0,0,0,0,0
XEM,0,0,0.12472831199125,0.129248405695427,0,0.00967825370281536,0,0.297198905014542,0.101263000165622,0.217120279169824,0,0,0,0.0632200395614057,0,0,0,0,0,0
DASH,0.734982588577411,-0.12237702696168,0,0.234620605533151,0,0,0.00705928755976191,0.0736314338238998,0,0.159211417770128,0,0.0546912626201766,0,0.0944312575177657,0,0,0,0,0,0.000134852172323278
TRX,0,0,0,0.476606395601406,0,0,0,0,0.342917814904344,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.133720653084235,0.0462830337838905,0,0.0723350076127579,0.03162931968495,0,0,0.554189032331978,0,0,0,0,0,0,0
BV010082.Index,0,-0.0674202746676513,0.254528283206492,0.0540450000913082,-0.142843662027426,0.00279169471365766,0,-0.0121262751762609,-0.0520305054669988,0,-0.0402529910571324,0.00227385945661803,0.00790528680300545,0,0,0,0,0,0,-0.0651311254048639
CVIX.Index,0,0,0.0670199284075311,-0.136072210368023,-0.0407638259880297,-0.0388500329532432,0.0797702288417834,0.00193887900993498,-0.101913517726951,0,0,0.0954353049246025,0.0854668296959046,0,0,0.341873397061208,0,0,0,-0.00114376436952035
DXY.Curncy,0,-0.0184652885255843,0.0411100965599767,0,-0.0012148027268308,-0.0151218641739148,0.00217144704405561,-0.0259134810822904,-0.013127765833643,0,0,0.0238778008135467,0,0,0,0,0,0,0,-0.0174329042527474
SPX.Index,0,0.0472208178217624,0.0241391275512804,0,0,0.0262474038073395,0.0313587960714404,0,-0.126091236044755,0.024303724120105,0,0,0,0.0157279703030325,0.00937643775229351,0,0,0,0,-0.138950566259738
VIX.Index,0.381416358884241,0.00856172474949746,0.225084430593757,0,0.0020131512905012,0.131632854027072,0.183147754211063,-0.143333017725375,-0.877875013916103,0.190233475033389,0,0,0,0.0637890259740028,0.225842264571711,-0.476748510333536,0,0,-6.13174223008774,0
