,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0853702267372889,0,-1.73472347597681e-18,0.291492972829531,0,0.286549501470224,0.092220844858921,0,0.00564886201957619,0,0,-0.242101574096912,0,0,0,0,0,0,0
ETH,0.0765079269546627,0,0.170830405718874,0,0,0.299322910467882,0,0.0304865556722507,0,0,0,0.199877551952673,0,0.193307022447072,0.076368316709236,0,0,0,0,0
XRP,0,0.403538838381036,0,-0.0641528381712584,0.292015885140649,0.132068245852179,0.32821485036859,-0.0397534296184426,0,0,-0.174970639250505,0,0.0696355810872419,0.0249227370700561,-0.00858794528728403,0,0,0,0,0
LTC,0,0,0,0,0,0.203885500050467,0,0.135444557252583,0,0.0493242607407057,0,0,0,0,0,0,0,0,0,0
XEM,0.437898970143958,-6.93889390390723e-18,1.03767256417898,0.568018085898134,0,0,0,-6.93889390390723e-18,0.0667917542756935,0.0898761166929817,0,-0.24953510324602,0.201850166688335,-0.428548020870252,-0.0669139860248536,0,0,0,0,0.242650907387472
ETC,0,0.357536211159555,0,0.217176914793405,0.00661030747163127,0,0.192368155772327,0.0306051308892314,0.0442513585089023,-1.0842021724855e-19,0,0,-0.13346773197657,0,0,0,0,0,0,0
DASH,0.603977557792435,0,6.93889390390723e-18,0,0,0.117360354106352,0,0,0.0379907288835418,0.0972237833504619,0.0852499025439845,0,0,0,0.0458523501344171,0,0,0,0,0
MIOTA,0.251453855583672,0,0,0.748023669200757,1.38777878078145e-17,0,0.430714493848603,0,-0.156680293513655,-0.10055794473584,0,0.95337415416969,0,-0.243565254178368,0.172437182367203,0,0,0,0,0
XMR,0.111483684214059,0.0335556336982641,0,0.00953607263554768,0.191928853825661,0,0.121041340077926,0,0,-1.73472347597681e-18,0.163570458846353,0,0,0.233113777207571,0.0155789683403953,0,0,0,0,-0.211614289638496
EOS,0,0.460139558634731,0,-0.399740404083652,0.217944203540119,0.517381004911364,0,0,0,0,0,0,0.157942346511105,0,0.168056737401159,0,0,0,0,0
NEO,0,0,0,0,0,0,0.485717868982799,0.127557246469841,-0.25203539750037,0.0897600325696332,0,0.514026422369946,0.0411924645526082,0.0122393014153915,0,0,0,0,0,0
ZEC,0,0,0,-0.107175435241659,-0.103529523211582,0.201022490802806,0,0.0780069855017992,0,0,0.531676550011006,0,0,0.190197007095055,0.114372608719628,0,0,0,0,0.110250387743683
XLM,-0.73489108078891,-0.00814876512148181,0,0,0.371550334906444,0,0,0,0.550174674419152,0.00364753287211485,0.522094844195049,0,0,0.11555120891297,0.0587440591132329,0,0,0,0,-0.186594531563119
DOGE,0,0,0.365689599817154,0.0834400024475577,0.0881248039085053,0,0.357682159510304,0,0.0274059381536834,0,0,0,0.137103925608725,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.103499772485456,0,0.294615712843608,0,0,0.190781049795091,0.135629818401974,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0320657351637703,0,-0.0255587588381765,0,0,0,-0.000466306976845842,0,0,0,0.0356003336635,-0.00298003653494518,0,0,0,0,0
CVIX.Index,0,0,0,-0.0292546521238195,-0.0106321704037649,0,0,0,0,0.0431833662326325,0,0.076834007593251,8.67361737988404e-19,0.0296961068418387,-0.0813015436862348,0,0,0,0,0.0235399711251518
DXY.Curncy,0.0283553853170109,0.00436344076579516,0,0.0239626698594442,-0.000524245185319183,0.00419572981940765,0,0.00293915682391072,0,-0.00111971309855411,-0.0373051142481668,0.0128630375593958,-0.0117838274783913,0,0.00329271353549228,0,0,0,0,-0.0378193508783012
SPX.Index,0.0175204519451506,0,0,0,-0.00620478739180645,-0.000979618761745032,0.00178943824181141,0.00192199126225871,0,0,-0.00765865326197736,0,0,0,0,0,0,0,0,-0.0613606199776849
VIX.Index,0,0,0,0,0,0,0,0.032644354881736,0,0.0360897438430042,0,0,-0.119190676420778,0,0.0478868616923303,0,0,0,0,0
