,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.422893518174556,0.039985597181884,0,0.0410188841384724,0,0,0.0466681445133125,0.0295761923895646,0.129342463624607,0,0,0,0,0
ETH,0,0,0,0,0,0,0.376965167687769,0.124774031243305,0,0.0133506259990168,0.0358905780943558,0,0,0,0.230777651386813,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0.238861669913071,0.522480558260344,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.207344218973217,0.0957252988131989,0.0981886945026258,0,0.160237368127612,0.00807496169643923,0,0.00484141364808436,0,0,0.0139957477438843,0,0,0,0,0.0849837610054368
LTC,0,0,0,0,0,0.118289743532264,0.181183168833077,0,0,0.0927566541729401,0.597902739467514,0,0.0321709967524541,0,0,0,0,0,0,0
DASH,0,0,0,0,0.149857580066148,0,0.273545753444905,0,0,0.00899632520638621,0,0,0.25535535144323,0,0,0,0,0,0,0
XEM,0,0,0.0605432850936965,0,0,0.261583746713435,0,0,0.0152657324126496,0.0805134669682051,0.443035667473663,0,0,0,0,0,0,0,0,0
MIOTA,0.0706176917240428,0.307623392869404,0.484332818655357,-1.1509220972722,0,0,0,0,-0.413918564550608,-0.531261578919997,0,0.628942222174754,0.4196203823708,0.150829067592833,0.630487379613405,0,0,0,0,0
XMR,0,0,0,0,0,0,0,-0.0909265529832823,0,0.0846681307200153,0.473810931891718,0.29089328469978,0,0,-3.46944695195361e-18,0,0,0,0,-0.101842957280453
NEO,0,0,0.69405537506793,0,0,-0.171453382955335,-0.246125091179841,-0.772867827846408,-0.317722150096949,0,-0.142077919318829,1.02171328834947,0.589400688023508,0,0.638200428989568,0,0,0,0,-0.692633644289704
ETC,0,0,0.0663316360529638,0,0.857101005497386,0,-0.0360296140620895,0,0,-0.115389542006734,0,0,-0.0470856564628014,0,0.352701851691399,0,0,0,0,0
ZEC,0,0.719018900622147,-0.0759846042517047,-2.77555756156289e-17,0,0,0.12945122189187,0,0,0.153537682495777,0.0153833847474711,0,-0.147726193372887,0.154645773981574,-0.207553595854503,0,-0.846834197460942,0,0,0.409905671798799
BAT,0,0,-0.507924323783324,0,0.378498640988602,0.47717062787855,0,0.494670328198612,0,0.399538859740123,0,-0.492959607753173,0,0,0,0,0,0,0,0.201459011403014
EOS,0,0,0,0,0,0,0,0.200200458219843,0,0.0797569135368413,0,0.411367630775308,0,0,0,0,0,0,0,0
XLM,0,0.192152860372429,1.38777878078145e-17,1.03645712231444,0,-0.344460294321549,0,0.318582931000552,0,0.09889615184989,0.175453273906701,-0.168823306863273,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,4.9413044136379e-05,0,0,0,0,0,0,0,0,0,-0.122025505822884
CVIX.Index,0.316167009858722,0,0,-0.175269458005045,0,0,0,-0.0129287591013086,0,0.0765888076227396,-0.0500310919288531,-0.208916656210649,-0.0254304546049016,-0.0514503963213304,0,0,0,0,0,0.199201661041322
DXY.Curncy,0,0,0,0,0,-0.015626800697801,0,0.00552856969368394,-0.0250442757691427,0.00194402668766467,0.00926933965717966,0,-0.0206579442876519,0.0237458714454974,0,0.193012208997357,0.036022782884513,0,0,0.00229960145534127
SPX.Index,0,0,0,0,0,-0.00506142524600261,0,0.000878376389908115,0,0.0051715798406437,0,-0.0105674262800032,0,0,0.0037792753488215,0,0,0,0,-0.033203912353696
VIX.Index,3.46944695195361e-18,0,0.0373963933924422,0.261817173172989,0,0,0,-1.0842021724855e-19,-0.0320226532905348,-0.0235143470058414,0,0.277111443968972,0,-0.290332996295144,-3.46944695195361e-18,-0.694661611798428,0.404179950108179,0,0,0
