,BTC,ETH,XRP,BCH,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.223042068163764,0,8.67361737988404e-19,0.645828093392269,-0.179054234168591,0.116560916832138,-0.162313203837265,0,0.352592392651856,-0.407540368502433,0.37444380910825,0,0,0,0,0,0
ETH,0,0,0.732790650277643,0,0,0,0,0.0863014611592201,0.0987511372815484,0,0.168399248086728,0,0.0643963838441824,0,0,0,0,0,0,0
XRP,0,0.398148731336124,0,0,0,0.265327832833406,0,0.0906028821305815,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,-0.813314639987301,0,0.224989120583631,3.46944695195361e-18,0,0,0,0.110499216998002,0,0,0.219394288853455,0,0,0,0,0
LTC,0.10757566606019,0.0424191994417851,-0.454075978966225,0,0,0,0,0.253296618200149,0.175670367955484,0,-0.0842823997058768,0.194131650272034,0.111916613355089,0.247057183168257,-0.162172697478054,0,-0.854939019641008,0,0,0
XEM,0.649543010899767,0,0,0,-0.237207536320566,0,0.143039530628772,0,0,0.131160724563786,0,0,0,-0.0675858193024817,0.577283138134276,0,0,0,0,0
DASH,0.127611500331623,0.175308615725184,0,0,0,0.148420392816829,0,0.0569684945621483,0.0896297455334149,0.145349038734987,0,0.0497206357354317,0,-2.16840434497101e-19,0,0,0,0,0,0
ETC,0,0.276454311488225,0.0370398271758279,0,0.28246254907533,0,0.0708617078149872,0,0,0,0.105100114285813,0,0,0,0,0,0,0,0,0
MIOTA,0.611868312389533,0,0.495465715976774,0.0788826108791376,0,0,0,0,0,0,0,0,1.07572835484659,-0.522149171948537,0,0,0,0,0,0
XMR,0,0,0,0.21260982526297,0,0,0.614504871745534,0,0,0,0,0,0,0.128841766158698,0.210129236394544,0,0,0,0,0
EOS,0,0,-0.261848961507817,0,0,0,0,0.569878123896336,0,0,0,0.360448346986712,0,0.330362024622448,0,0,0,0,0,0.184167466312408
NEO,0,0,0,0.0286371046039943,0.602540389863677,0,0.142375904045455,0.0525396796387545,0.0740574724989317,-0.30741821013151,0.126474775116781,0,0.279363857915715,0,0.394151205701642,0,0,0,0,0
ZEC,-0.0487585883107957,0.699543547082148,-0.754291571802394,0,0,0,0,0.221492417919937,0.0733349118205091,0.206359708289678,-0.156233988043444,0.337606713413842,0,0,0.131474131166644,0,0,0,0,0
DOGE,0.136291508780746,0.153708590048993,0.254524926164334,-0.0292617272564683,0,0,0,0.0207937862464763,-0.0317653547555855,0.41138443026503,0,0,0,0,0.0917659993932075,0,0,0,0,0
XLM,-0.359350868581711,0,0.156563153312333,-0.0845979832197757,0,0.28954823388955,-0.435287969542865,0.314108787564961,-0.201771917369103,0.619168256720196,-0.28776304879055,0.650303642069803,0.227887931748588,0,0,0,0,0,0,-0.526570870856456
BV010082.Index,-0.0218474625336595,0.0267052678397948,0,-0.0305673934210564,0,0,0,0,0,0.0573297406407866,0,-0.0628064309070039,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0.015118892347425,-8.67361737988404e-19,-0.0130969893415853,-0.0186300657744449,-0.0183553313696563,0.102136677918334,0.0117686924476643,0,0,-0.067037966479751,0,-4.33680868994202e-19,0,0,0,0,0,0.179696952257698
DXY.Curncy,0.0347588965784603,0,0.00427231170831648,0,0.00244913057138327,-0.0144544522866045,0,0.0184502393775081,0.00912582016431258,0.0159542331320914,-0.00963391673468228,-0.0299595731197607,0,0,-0.0114049188490924,0,-0.0506467193137837,0,0,-0.00674237943322307
SPX.Index,0.0107240905249765,0,0,0.00105400815880788,0,-0.00530057214728934,0,-0.00360576933193905,0.00107838425144446,0,0,0,0,0.00249900046717516,0,0,0,0,0,-0.0266419940417617
VIX.Index,0,0,0,0,0,0,0,-0.0665181902597284,0.0185574652540635,0,0.156873843080357,0,0,0,-0.119273600803004,0,0,0,0,0
