,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.197327765001325,0.0290616350251868,0.145119515650156,0,0.0819616116746066,0.0114524864036985,-0.00321214137906986,0,0.0813605501722169,-0.118530281793661,-0.153698896640966,0.139977431856223,0,0,0,0,0
ETH,0,0,0,0,0.199791929576997,0.0325355638187371,0.00168617170782252,0,0,0.02574117691272,0.482278801751345,0,0,0.110742932645345,0,0,0,0,0,0.145790619673569
XRP,0,0,0,0,0.129884538292524,0,0.0400155371344679,0,0.0433456746650132,0.0364345049200973,0.249987202129512,-0.0436191193524163,0.275299944069082,0,0,0,0,0,0,0.0439585814398911
LTC,1.25463743200911,0,-0.821959251470321,0,0.0663971611366137,0,0.754641339660064,0,0.0975970077721627,0,-0.16527974656813,-0.0678197041032784,0.393532654146829,0.235818911761852,-0.216443615197066,0,-0.813252129871737,0,0,-6.93889390390723e-18
ETC,0,0.305247504322853,0,0.23705134394086,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0
DASH,0,0,0,0,0.0684161991535774,0,0,0,0,0.0540797978694893,0,0.0822407831657547,0,0.260801731572986,0,0,0,0,0,0
XEM,0,0.274312538227374,0.290973307821419,0.314352778902648,0,-0.0821326503802864,0,0.0834033724519763,0.206772436365716,0.0569222472382448,0,0.0605505865336593,-0.260669730053787,0,-0.0199562745702512,0,0,0,0,0.160482607114653
XMR,0,0,0,0.318583644788693,0,0.133559184958486,0,0,0,0.0165903935689403,0.192839372352246,0.0380868610195821,0,0.172125194870427,-0.0787351185690155,0,0,0,0,0
MIOTA,0,-0.214093092332959,1.04468747414632,0.271624359964503,0,-0.32062767449727,0,-0.369372141499317,0,0,0.762128926678521,0,0.385373679366877,0,0.0980529469529175,0,0,0,0,-0.283685943921984
EOS,0,0,0,-0.483117152052958,0.690318270610359,0,0,0,0,0,0,0.322310302821022,0,0,0.302932706711763,0,0,0,0,0
ZEC,0,0.475666725046007,0.0371804196748671,-0.0992586760818173,0,0.0264166815356172,0,0.25464543842474,0.182591245295689,0,0,0,0,0.000138441841621938,0.0610061918334559,0,0,0,0,0
NEO,0.478665041675349,0.808409423088076,0,-0.0232829177141545,0.322741773038518,0,0,-0.121474472610998,0,0,0,0,0,0,-0.0157276569290495,0,0,0,0,-0.466251103096436
DOGE,0,0,0.105376147618204,0,0.0604365290272469,0,0,0,0.282601369167372,-0.0457666811814057,0,-0.0118235698104414,0,0.203640513040539,0,0,0,0,0,0.221833132769662
XLM,0,0,0,0,0,0.169553513548874,0,0.352784049517294,0.0472905034746915,0.0656404991624922,0,0,0.250076844372904,0,0.203790903411109,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.0807890484994439,0.0352580694160193,0.514332211569461,0,0,0.428738407635101,0,0,0,0,0,0
BV010082.Index,0,0,-0.171871532085343,0.0797714300345895,-0.0235931231749989,0,0,0,0,0.00343088704977039,0.10856939961332,-0.0124984658154628,0.0716034840834374,0,-0.0436739926884704,0,0,0,0,0.0632111942898951
CVIX.Index,0,0,0,-0.0223464118423749,0,0,0,0,0,0.0181606122849495,0,0.0506725184669819,0.0829834605536227,-0.055663453951273,-0.0486714983525406,0,0,0,0,0
DXY.Curncy,0.0443815011431275,0,0,0.0149867039677577,0.00540017623732129,0,-0.000828282373324119,0.00238805614567459,0,0,0,-0.0285245822040231,-0.00300267867445233,0,-0.00233988211973521,0,0,0,0,-0.0358345439679629
SPX.Index,0.00859205207236003,-0.00844728139055697,0,0,-0.000591938899950464,0,0,0.00551670747293362,-0.00307879057223946,0.000625894275557553,0,0,0,0,0,0,0,0,0,-0.0633053351399539
VIX.Index,0,-0.154938495125108,0.747947917909338,0,0.00344890437853403,0.0870310534620366,0.0297665323249004,0,-0.227693799104177,0.0205134700130404,0,0,0,-0.329134549407279,0.0826399151153012,0,0,0,-4.71088880983527,0
