,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0837835135306317,0.0360827853286958,0.588525971791313,0.15693919541793,0.102591492434064,0.117548319366398,0.193494747672906,0.0156038883279629,0,0.0490059874218683,0,-0.00255651180108304,0,0,-2.16840434497101e-19
ETH,0,0,0.0774432114246308,0.337457922642106,0,0,0.320615994502865,0.151486009284229,0.0892345165542719,0,0,0,0.21510405005903,0,0,0,0,0.251390490763654
DASH,0,0.430526901292242,0,0.110523759016423,0.755056858433621,0,0.738717328017988,-0.144457083611916,-8.67361737988404e-19,0,0,1.0734708172003,0,0,0,0,0,0.17261632796367
XMR,0,0.78764001507634,0.0918725687015232,0,-0.164467478515684,0,0,0,-0.0828546268942592,0.439378513187884,0,0,-0.267614523331645,0,-0.0428287267431545,0,0,-0.839971714323367
XRP,0.339059179572153,0,-0.00918913660240939,-0.0760852210010509,0,0.241908228054309,0,-0.0131254838127416,0,0,-0.0115786235955811,-0.211691026510849,0.103059126403758,1.1256788500468,0.081052809378158,0,0,-0.308258684738269
LTC,0.283543008249584,0,0.00847443029520836,0.0380698226445124,0,0,0,0,-0.0255617807733072,0,0,0,0.0116060820821415,0,0,0,0,0
ETC,0,0.0741229783209341,0.131188482882392,1.73472347597681e-18,-0.00441499976944875,0,0,0.00157058266380626,-8.67361737988404e-19,0,0.0642286755052986,0.1160885426912,0.100893445299609,0,-0.421096866164596,0,0,0
XEM,0,0.822423714498393,0,0,0,0,0,0,0.0247627119376423,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.284877660449451,-0.197716566323276,0,0,0.392122441004087,0.0350163860878265,0,0.440365666174902,0,-0.0164405339503222,0,0,-0.470523784674928,0,0,0
DOGE,0.220307713602613,0,0,0.0701529763677692,0.23829404297947,0,0,-0.126243555876816,0.137401025958071,0,0,0,0,0,0.120977101006016,0,0,0
XLM,0.142582358646024,0.31654761001909,0,0,0,0,-0.0815887157692185,0.021305579459715,-0.233499355261941,0,0,0,0.156361685714592,0,0,0,0,-0.516897277035149
NEO,0,-0.0715964440911876,0.124045241005379,-0.0561324221534334,-0.725795550627049,0,0.813311007006805,0,0,0,0,0,-0.0697237092273808,0,0,0,0,0
DGB,0,0,0.217659468469064,0,0.130424688077954,0,0,0,0.261441879375413,0,0.420062336772589,-0.142670469125585,0,-1.06214899383543,1.13569251299706,0,0,0
BV010082.Index,0,0,-0.0268122210213661,0.0581451049530628,0.403826495369896,0,0,0.00944730273365611,0,0,0,0.117103432482871,-0.0490237554486266,0,0,0,0,0.0496262204454061
CVIX.Index,0,0,0.0261888938961272,0,0.305941389436501,0,-0.0538789920786676,-0.102744437426892,0,0,0,0,0.0987205580742208,0,0,0,0,0.110161828221101
DXY.Curncy,0.00552772067751528,0,-0.00731697614292378,0,0.025041134953084,0.0872046913401525,0,-0.0132780432341974,0,0,0.0102887614334639,0,-0.00292883126901259,0.0253040590415377,0,0,0,0.0551187716665815
SPX.Index,0,0.0107141583355501,0,0,-0.034459238314386,0,-0.00271193783656761,0.00159741699862645,0,0,0.0116762135022538,-0.0150357161288977,0,0,0,0,0,0
VIX.Index,0,0.191637244585892,-0.0238392878598129,-0.185785087064243,-0.665200972667206,0,-0.322831478026107,8.67361737988404e-19,-0.0362846518175853,0.154518289485116,0,0,-0.0601519629458367,0.54677404579811,0.752902432583405,0,0,0
