,BTC,ETH,BCH,MIOTA,XRP,LTC,DASH,BTG,XMR,XEM,ADA,ETC,NEO,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.00747076937214165,0,-0.34467551325632,0.116050784253373,0,0,-0.0130758968523471,0.02164712695189,0,0.129243647544951,0.128309325257242,0.110618444296779,0,0,0,0,0
ETH,-0.133895443794973,0,0.243645333577976,-0.00499823241392795,-0.213616384577559,0,0.118644789785098,0.0273341136679591,0,-0.0136125823826652,-0.113484840672126,0.542727286948153,-6.93889390390723e-18,-0.0189730302505653,0.0464548666016949,0,0,0,0,0
BCH,0,0,0,0.00308794149906238,0.402906411812608,0,-0.0575654404523979,0.0653109606931078,0,0.0980439967531907,-0.086741801080229,0,0,0,0,0,0,0,0,0
MIOTA,0,0,-0.231106888776491,0,0,0,0,0,0,0.224635719789165,0.0989709321852965,0,0,0.540315685170619,0,0,0,0,0,0
XRP,0,0,0.205488430250253,-0.00469237357058509,0,0.225689738304588,0,0.0787841742736137,0.18003377377486,0.0708897688681887,0.162268260328188,0.0507332824382758,0,0,-0.0552965448778756,0,0,0,0,-0.0708120738470063
LTC,0,0,0,-0.059975158851638,0,0,0,0,0,0.212721232957627,-0.0272104047778521,0.282842930589737,0.163182537576788,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0,0,0,0,0,0,0,0.118820704960771,0,0,0,0,0,0,0,0,0,0
XMR,0.147277571228018,0,-0.0611468265520224,0.0942119344107867,0.644197685011551,-0.114378257389029,0.27911584967402,0,0,-0.0783855085176397,-0.114955254819624,0.152933395580799,0,0.294566724222781,-0.095409525364669,0,0,0,0,0
XEM,-0.202207442599037,0,0,0.17426573583266,0,0,0.221128114344166,0.078282418769085,0,0,0,0.328573722963529,0,0,0.125106420105707,0,0,0,0,0
ADA,-0.0900170806657479,-0.575037184720254,0,0.134385829472815,0.787448520714521,0,0.37693271208067,0,-0.337147040852072,-0.119732705557174,0,0.801537349356785,0,0.123290815824853,0,0,0,0,0,0
ETC,0,0.399550787048114,0,-0.00242459536214923,0.437316155387548,0,-0.0999524905155008,0.0170864735998793,0.0770458492132828,0.0443918352309586,0.243133948528047,0,0,0.0299847457765478,4.33680868994202e-19,0,0,0,0,0
NEO,0.111076993949508,0,0.21282743690174,0.417129679803136,0.844331055863729,0,0.606378419760167,-0.370248950039105,-0.544436959138826,-0.248833252753242,-0.433954993024781,0.959242709287701,0,-0.327986470616209,0.449671267320781,0,0,0,0,-0.0630132659045873
XLM,0,0,0.0374229294573048,0.0740055672081299,0,0.160319047233811,0,0,0.415855231002881,-0.0558248921405654,0.302821192531431,0,0.0307261304565058,0,0.477728242184401,0,0,0,0,0
EOS,-0.319642078545998,0,-0.438419516886889,-0.243488126863892,0,0.0306752216526959,0.00716895898870412,0.21145503064352,0,0.182836717278549,-0.175360376131866,-0.492119408799461,0.573833604001855,1.01646992400167,0,-3.66154608298161,0,0,0,0.618086892514871
BV010082.Index,-0.0493545076331824,0,-0.0520302048154816,0,0,0,0.0348890818190437,0.00128731803714946,0,0.00697430505387639,-0.037438547362609,0,-0.0047601866669246,0.0874768704002434,-0.0354068734331658,0,0,0,0,0
CVIX.Index,0.0359344449506934,-0.203312433136362,0.0280405247761578,-0.0282062395166268,-0.0856378744540008,0.0705284591608743,-0.00229592569838175,0.0227221415044157,0.0815416146386904,0.0240597700955786,0,0.0230548522255715,0.051603878099937,-0.0110070442325982,0,0,0,0,0,0.124839437631207
DXY.Curncy,0,0.000863362153828143,-0.0224400718629835,0.00828057716767189,-0.0139344559506951,0,0,0.00173946262803045,0,0.00471327333492982,0,0,-0.00900723200035697,0,-0.00609685849256435,0,0,0,0,-0.0173684321887178
SPX.Index,-0.012249839771144,0,-0.00239878336812942,0,0,0.0118098686923265,0.0133208326262668,-0.00157897260138761,0,-0.00143381809875567,0,0,0,-0.00223226116447618,-0.00794649288328021,0,0,0,0,-0.0122004273739849
VIX.Index,0,0,0.0487810005939757,0.286449370147566,0,-0.12249439040217,0.00147856085896643,-0.0856021535644056,0,-0.100708924223112,-0.00334898719449726,0.316151157689665,-0.4342067473112,-0.424714249193042,0.339082234640249,0,0,0,0,0
