,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.214099002934375,0,0.0264145095188099,0.137524667009742,0,0.0644441804326934,0,0,0,0,0,0,0
ETH,0,0,0.162865405501735,-2.77555756156289e-17,0.0500657232173357,0,-0.223644108042087,0.521890040027521,0.147723705278258,0.152905959076457,-0.600414069589988,0,0,0.589872278994159,0,0,0,0,0,0
XRP,0,0.195256847725676,0,0,0.077545272177632,0.0443305022770256,0.136673929429741,0,0.0833152792275402,0,0,0,0,0.289768359104011,0.0411295390888714,0,0.195870758959021,0,0,0.112873009214429
BCH,0,0.322493208381106,0,0,0.0938270486638007,0,0,0,0,0.0293062618724794,0.402103033337103,0,0,0,0,0,0,0,0,-0.0660519301316068
EOS,0,0,0,-1.38777878078145e-17,0,0,0,0,3.46944695195361e-18,0.277378124846981,1.05201453788617,0,-0.407826997949251,0,0,0,0.710419012426054,0,0,-0.0270322884198834
LTC,0.127580157563087,0,0,0.0668356596764119,0.0737993090428319,0,0.251464670029984,0,-0.0447250833995645,-0.023679934869925,0,0,0,0.153130193087491,0.147579041971849,0,0,0,0,0
XLM,0,0,0,0.20917543213092,0.0134323711438658,0.122773885070366,0,0.166225458600904,0,0.124014824233325,0,0,0,0.230397576336193,0.13062477828971,0,0,0,0,-0.0290866907870375
ADA,0.47353517232083,0,0,0,0.239092023767027,-0.17938547484749,0.0881720644633755,0,0.129515898318624,0.0469950143051953,0.291063357299058,0.0206069406412089,0.108662389912653,0,-0.109948399554663,0,3.46944695195361e-18,0,0,0.167382858079072
TRX,0,0.548031668154861,0.162989608996451,0,0,0,0.0813715908528164,0.582626239356424,0,0.115440179406223,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0265414358089013
MIOTA,0.0250930915637006,0,0,-0.572358043821639,0.286797679644408,0,0.695763861339674,0,0,0,0.331602184410722,-0.263270440832624,0.346269641267431,0,0.239053610062371,0,0,0,0,0
NEO,0,0,0,0.0840791848960816,0.12295056718059,0,0,0,0.286671798299684,0.021892564711234,0,0,0.242536880299878,0.0380625391876821,0.241116631189018,0,-0.0991041173938914,0,0,0
XMR,0,0,0,0,0,0,0,0.1833770077043,0.189827448441479,0,0,0,0.300452536739893,1.38777878078145e-17,0.11771649823464,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0.0466121467382824,0,0,0,0.585752489064495,0,0,0,0,0,0
XEM,0,0.163671334019915,0.196064042757669,0,0,0,0.224518827955903,0,0.0916528548356121,0,0.29539992173167,0.091197510821156,0,0,0,0,0,0,0,-0.0527844723322357
ETC,0,0,0,-0.0416742937447518,0,0.946242946518574,0,0,0,0,0.198154752862826,0,0,0,0,0,-0.220826800501251,0,0,0.0180387545010771
BV010082.Index,0.414362400458483,0,0,-0.0154430105003847,-0.118884423376053,0,0,0.0377855138630839,0,0.0224868243145081,0,0.0772178749304847,0,-0.0911161064688857,-0.173081439638311,0,0,0,0,0
CVIX.Index,0,0,0,0,0.221883650167656,0,-0.0424833944541718,0,0,0,0,0,-0.116166311484406,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0.00586841653842774,0,0.0118802347152226,0,0,0.011257915515771,-0.0176456163346054,0,-0.00169337846977528,0,0.0015265369485539,0,0.063602724567817,0,0,0.0349724967557963
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509300776423084
VIX.Index,0,0,0.411417274626889,0,-0.658121081645234,0,-0.533240311798488,-0.170694478927696,0,0.382033339070715,1.02596518844383,-0.240969372299034,-0.0346298386711838,-0.0629209434398679,-0.139483807736218,-0.795396441525011,0.181616821955281,0,-3.35826174495913,0
