,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.871844142991002,0,-0.0772187332046175,0,0,0,0.0530453972408659,-0.004452986661402,0,-0.0475093066499316,0,0,0,0,0.0658498206969505
ETH,0.299395225232095,0,0.083520678431979,0,0.023307382500743,0.25263962556611,0.397742261936596,0,-0.770747713496378,0.320178417934174,0.0463367268230817,0.0113993667537424,-0.182201353282162,0,0,0,0,0.247312447667345
XRP,0.265763802715402,0.0122645071269141,0,0,0.233138889763536,0,-0.0187834133389893,0,-0.167344717301665,0.349714837160476,-0.0488100441805303,-0.0329593788476819,-0.346266435640839,0,0,0,0,-0.201017051184861
LTC,0.751034130653292,0,0,0,0,-0.00735738847551445,0.0922762272086702,0,0,-0.0520313383562218,-0.00378262105746064,0,0,0,0,0,0,-0.0265351444558279
ETC,0,0.801633257655112,0.065794165056715,0,0,0,-0.50567671991252,0.216695364970899,0,-0.159489105537754,-0.0626083989736466,0.0181333166644168,0.766403014402259,0,-0.167010549835389,0,0,0
XMR,-1.41668113325723,0.621634995141364,0,0,0.374408391976171,0,0.105870729510827,0.0672915021492303,0.905647144788441,-0.225020578537257,-0.0333858173172418,-0.0546276295144214,-0.664331034647767,0,0,0,0,-0.482608256013439
DASH,0,0,-0.0455351751882674,0,-0.0389701931996982,0.400888915494447,0,0.0783343787442121,0,-0.362036667268327,-0.0508098040038331,-0.101382880520282,0.186386460620288,0,0,0,0,0
XEM,0,0,0.35924093136034,0,0.457759531527965,0.305081624717629,0,0,0.538249524908386,0,0.122238056705224,-0.000157045673792613,0,0,0,0,0,-0.144421744805493
DOGE,0,0,0,0,0,-0.0312962779584689,0,0,0,0,0,-0.00911975327980877,0,0,0,0,0,0
XLM,0,0.390013256847897,0.799049484480084,-0.411824697663584,0,0,0,0,0,0,0.0240303561254785,-0.00425681909118162,0.411687168534561,0,0.000546497591116773,0,0,0.0837399904721852
NEO,0.661252994616693,2.69610891731042,-2.34679149902797,0,-0.681367847631171,0,-1.86901160876599,0,2.24760390739164,0,0,-0.112803920944358,0,0,-0.335370982321995,0,0,0.388548198919509
ZEC,0,-1.43226914531638,0,0,0.893378085993374,0.573222645433951,-6.69460396330766,0,0,0,-0.392609256275726,0,-1.17734491788512,0,0,0,0,-1.23122072352191
DGB,0,-0.681198830054386,-0.196715975820559,0,0.456457139920099,-0.0575619159582362,0.379931582459938,-0.203705446944988,0,0.215800676041471,0.0196311276541212,-0.0137876378996519,0,0,0.383940199772712,0,0,-0.240597116136837
BV010082.Index,0,-0.0980824107540229,-0.0102140661292936,0,0,0.0925395344741704,0.102075137904829,0.00533264819949708,-0.25454814130023,-0.0563134790163119,0.0243558729852649,0.00470228233362469,0,0,0,0.526796782646781,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0.0124462608019899,0,0.00707035259069446,0.020190341264524,-0.00769475241678845,0,0.00210614466864575,0.00139840702078242,0,0.0138069453772023,-0.0509580463481437,0,0,-0.0270075499832212
SPX.Index,0,-0.0103553653604646,0.00565744850650022,0,0,-0.0181950468860775,0.00997177255480626,0.034313881403289,0,0,0.0056611857109099,0,0.00264733860354561,0,-0.0362626639360876,0,0,-0.0304263267980325
VIX.Index,0,0,0,0,0,-0.0101730099283657,0,0,0,0,0.0146247112859285,-0.0325994911964022,-0.284645478105301,0,1.66297527789605,0,0,0
