,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.142075707700362,-3.46944695195361e-18,0.278745596970627,0.0546506832662578,0.110832627231709,0.414915798910124,0.0720306005964158,0.109959829491432,0,-0.26065461622671,0.215179838844067,-0.115339242745831,0,0.00443838522286759,0,0,0
ETH,0,0,0,0,0.0330795051589333,0,0.167216790862582,0,0,0,0,0,0,0,0,0,0,0
XRP,-0.165897244571129,0.131021654241817,0,0,-0.114127162138029,-0.0962024485938329,3.46944695195361e-18,0.143682284825491,0.42643959355538,-0.0507974757999071,0.0811494486563197,-0.382813757376674,0.0779387869599673,0,0.135555695892839,0,0,0.353533142906594
LTC,0.260428816766316,0,0,0,0,0.0927164680012941,0.125333870475523,0.0271434830136261,0.0422647586442951,0,0.117583118863869,0,0.0108275750278635,0,0,0,0,0
DASH,0,0.574875187131773,0,0,0,0,6.93889390390723e-18,0.0420208634574495,0,0.0155265980319084,0,0,0.220567878348894,0,0,0,0,0
XMR,0.0386606759225608,0.315702802662799,0,0,0.448189327096491,0,0,0.224120187939717,0,-0.502624258028359,0,-0.268265420182559,-1.0842021724855e-19,0.639423347957501,0.304066107325623,0,0,0.103759239660204
ETC,0.674459429066662,0.357189915685706,0,0,0,0,0,-0.12622643085858,0,0,0.295339905761625,0,0,0,0,0,0,-0.0522310701735182
XEM,1.27760429009522,0,0,0,0,0.20685884524216,-0.798555697367496,0,-0.471296694599671,0.486450732333859,0.957664499864242,-1.73472347597681e-18,0,0,0,0,0,0.299063507599764
DOGE,-0.61222551780859,-0.530431418948442,1.01527462520255,0.764113923977206,-0.0210791695411303,0.0839303875751904,0.384037965562565,6.93889390390723e-18,0,0.437474092685578,-0.707990292892105,0.301499337036152,-0.181030155945586,0.703946439444975,-0.0848470656715758,-1.68290265121746,0,-0.318289921623492
ZEC,0.0392892626903285,0.42795651730928,-0.618222926216233,0,0.455330836874329,-0.282141450570692,0.115404335128968,0.154030530874709,0.835428444861377,0,0,-0.431761483975504,-0.0703620210022977,0,3.46944695195361e-18,0,0,0.468350236339723
XLM,-0.232732025639512,0,0.234776363813462,0,0.0944626297208237,0,0.293304683096942,0.0720514883405297,0,-0.305128203388643,0,-0.123519111009309,0,0.228778992862027,-0.261758599988896,0,0,0
NEO,0.219449322046945,0.251557794740326,-1.18323192402002,0,0,-0.253980778798962,0,0.328236537531715,0.434595704655475,-0.504928503796956,-0.0637855469397802,0,-0.0773777654698329,0.648961877247366,0.0198255357002958,0,0,0.814664859907488
DGB,0,-0.192913409289827,1.04761817164244,0,0,0,0.353146013559885,0.0628187273146753,0,-3.46944695195361e-18,-0.125734263581736,0,0,0,0.01439702387288,0,0,0
BV010082.Index,0.284150483638462,0,0,0,0,0.187778922967694,-0.311440685002864,-0.155287841627381,0.0125952933485662,0.126486787978682,0.422793623428885,0.0499841484791645,-0.0121530585203926,0,0.181488074935283,0,0,0
CVIX.Index,0.288700397915486,0.00986768538002732,0.525109035058247,0,-0.00371900523580362,0.0700935811529729,0,-0.0452380819873123,-0.395723620006546,0,-0.433903583485183,-0.0991930822060877,-0.0459927224075044,0.218217082547374,0,0,0,0.0633564169470484
DXY.Curncy,0,0,0,0,0,0,0,0,0,-0.0103769283606117,0,0,0,0,0,0,0,-0.00582471550849643
SPX.Index,-0.00823478227585902,0,-0.0188429897478272,0,0.00798592267553589,0,-0.00368012068021467,-0.0043268504718641,0,0,0.0195222167241158,0.0196893896883519,-0.00142053681978348,0.084896666004083,0,0,0,1.73472347597681e-18
VIX.Index,-0.293621192643706,-0.101659483879715,0.762948290952786,0,-0.311389551319728,0.346825171421666,0,-0.0944223314651127,-0.48363686290153,0.573265066584502,0,0.67104526697785,-0.075531228167063,-0.682823226435695,0.156908722563154,0,0,0
