,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB
BTC,0,0.0546571758727564,0.443216173787502,0.149087837807914,0,0,0,0,0.137940810750187,0.0814618331315094
LTC,0.471766074643455,0,0,-0.0619614004229574,0.768119951539561,-0.160192725373475,0.259059302627828,-0.219178418195005,-0.0135843327003151,0.0364835609181571
XRP,0.558772006449226,-0.33454015731222,0,-0.0785687611641147,1.09937031425466,-0.221084846519662,0.211092592706722,-0.174031621140488,-0.0251330693886166,-0.000779400043140958
ETH,0.361273666337713,-0.41640662359299,1.25122033065306,0,-0.485726189822518,0.64647223724291,-0.517877495576336,0,-0.102816397310597,-0.0873923084553541
DOGE,0,0.464802058857767,0,0.0101814695779334,0,0.161601523488861,-0.0280485882028845,0.0756760805411656,0.0952556166889701,0.008199115646311
DASH,0,0.414704308045344,0,0.0023398056052147,0.194770798789533,0,-0.34078733540417,0.10626241503459,0.0623121646322583,0.0161673135706869
XLM,0.0982600985431983,0.260401003333074,-0.149562234310785,0.133028447252934,-0.408223226790043,0.000277224990282945,0,0.0932246437262864,0.137713739266118,0
XMR,0.201349332956975,0,0.0058388029591627,-0.206759567827924,-6.93889390390723e-18,0.634198294414502,0.221160681541663,0,-0.0732560621216439,0
XEM,-0.357778313539375,1.12128682489008,0,-0.118475787431976,0,0.661223932874021,0,0.60238472548616,0,0.0575929780813332
DGB,-1.66716812457945,-0.549234345618394,0,0.764083629978906,1.35177751350704,-0.787766477668891,1.29003087428775,0,0.712659949462186,0
