,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB
BTC,0,0.0546571758727564,0.443216173787502,0.149087837807914,0,0,0,0,0.137940810750187,0.0814618331315094
LTC,0.501151816042912,0,0,-0.0418076501181575,0.715969955567695,-0.193600916361504,0.203815087549973,-0.209514855083693,0,0.0377790443039677
XRP,0.559693589216839,-0.33207737551065,0,-0.0772077055143244,1.09139816632728,-0.227589016022063,0.202769944712192,-0.170542502367443,-0.0209806127815901,0
ETH,0.233383990145725,-0.362112592783396,1.2710510533076,0,-0.456891315324921,0.688511924198876,-0.49546898193494,0,-0.113287139939218,-0.0862982201335989
DOGE,0,0.368478647046736,0,0,0,0.205599573044815,0,0.130079519106178,0.108355914416368,0.00723847883820206
DASH,0,0.538139452558183,0,0.038043728105189,0.225185777814314,0,-0.276672296284521,0,0.0303191998176054,0.0310658177607932
XLM,0.0982600985431983,0.260401003333074,-0.149562234310785,0.133028447252934,-0.408223226790044,0.000277224990282925,0,0.0932246437262864,0.137713739266118,0
XMR,0.179166849435679,0,0.0159945044732557,-0.194056151899462,0,0.688276729864342,0.205727986767072,0,-0.0946323206403973,-0.073340539919919
XEM,-0.401075697618889,1.35008607364699,-0.320162365153581,-0.097740053449118,0,0.624437718875116,0,0.666927033126132,0,0.0606918241704208
DGB,-1.73208156141939,0,0.504560400783043,0.72256603096409,0.970348077294985,-1.08851078268529,0.873435811381077,0,0.899050214268052,0
