,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0314554157891069,8.67361737988404e-19,0.0813363791373141,0.0201408745036372,0,0,0,0.0198646603118443,0.32381994053847,0,0.12125537034839,0,0,0,0,0,0
XRP,0,0,0,0.115778245914036,0.143979402238747,0.134918520512551,0,0,0,0,0,0,0.0310979456714028,0,0,0,0,0,0,0
ETH,0,0,0,0.139648946205891,0.104803845009672,0,0,0,0,0,0.0761909381668258,0.169821108631383,0.111800846827822,0.0412232259797384,0,0,0,0,0,0
BCH,0,0,0,0,0.226871806665752,0.0289736245751214,0,0,0,0.344353950722162,0.273423140821538,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0163982650130023,0,0.260790600984342,0.00617045596556939,0,0,0.216125288209409,0,0,0.170782869772642,0,0,0,0,0,0,0
XLM,0,0,0,0.209582085037774,0.200753287453622,0,0,0,0,0,0.0283304127299862,-1.73472347597681e-18,0.0448372011944425,0.0809983314746064,0,0,0,0,0,0
BSV,0,0,0,0.295136394448293,0,0,0,0,0,0,0.179457233122969,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0529620008454077,0,0,0,0,0,0.071579426368608,0.11822263545329,0.16252127821037,0.100294210137974,0.0864438392459586,0,0,0,0,0,0
TRX,0,0,0,0.117038521537935,0,0,0,0,0,0.357987427035173,0.0960085298911542,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.190055365930408,0.169724141127831,0.147464265954963,0,0,0.0840110186070597,0,0.107152062950357,0.0185698486545475,0.00429041470119413,0,0,0,0,0,0,0
MIOTA,0,0,0,0.201419679199813,0.130267426630537,0.071592754959131,0.0382141006487753,0,0,0,0,0.328661346814929,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0460441853694898,0,0,0,0,0,0.20251544114612,0.0141106240234577,0,0.36484675745528,0,0,0,0,0,0,0
DASH,0,0,0,0.119370053120555,0.143126892265993,0,0.0122828931012501,0,0,0,0,0.417759264256932,0,0,0,0,0,0,0,0
BNB,0.182029737714767,0,0,0.0159969696195213,0.175681347526306,0,0.0180329995198138,0.158268748774987,0,0.125717922548992,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.116399897866933,0,0.0863484440397847,0,0,0.110860680972175,0,0.0488381656078813,0.193976643127086,0,0.0402214868030121,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0425226860800322,0,0,0.00554488209458235,0.0722775922957004,-0.0476718534424876,0,0.0228288468980818,0,0,0,0.038396370343614,0,0,0,0,-0.0767820743590848
CVIX.Index,0,0,0,0.0242903157145091,0,0,0.00896812559653281,0,0,0,0.0287647665942122,-0.00598831996621453,0,-0.0735252213453566,0,0,0,0,0,0.0821847462596446
DXY.Curncy,0,0,0,-0.00173565619127426,0,-0.010640664041179,0.00495493001244652,0.00633826222490908,-0.0330752067017858,0,-0.00194349411416368,0.0230268765931944,0,0.000636622790763312,0.00922790313437456,0.00604801109508724,0,0,0,0.00728375508577428
SPX.Index,0,0,0,0,-0.00739265118105443,0,-1.0842021724855e-19,0,0,0,0,0,-0.0108366925569307,0,0.0197105747304492,0,0,0,0,-0.129488995447084
VIX.Index,0,0,0,-1.73472347597681e-18,0.216848449925045,0,0.0327233880623028,0,0.047168310900316,0,0,-0.317783123721996,0,0,0,0,0.471274435183617,0,-2.83254081214158,0
